N	2gram	Propp_Morf_1	Marksizm
1	может быть	52	28
2	и пр	37	25
3	и в	13	19
4	как бы	3	19
5	и не	12	19
6	не может	14	18
7	точки зрения	2	17
8	то же	7	16
9	как мы	6	15
10	в этом	14	15
11	таким образом	21	14
12	в сущности	3	14
13	не только	4	13
14	с точки	2	13
15	связи с	10	13
16	если бы	2	11
17	вовсе не	4	11
18	не в	3	10
19	в пределах	3	10
20	но и	4	10
21	том что	4	10
22	так и	6	10
23	как и	3	9
24	самом деле	4	9
25	а не	11	9
26	не является	3	8
27	по отношению	4	8
28	в то	3	8
29	с его	2	8
30	отношению к	4	8
31	только в	2	8
32	в связи	9	7
33	в том	6	7
34	его в	2	7
35	но в	2	7
36	прежде всего	9	7
37	одна из	4	7
38	на самом	4	7
39	и для	2	7
40	к тому	4	6
41	и как	5	6
42	того чтобы	3	6
43	ни было	2	6
44	между тем	5	6
45	во всех	4	6
46	быть и	2	6
47	если мы	5	6
48	для того	2	6
49	хотя бы	4	6
50	мы можем	2	6
51	то ни	3	5
52	в большинстве	3	5
53	смысле слова	4	5
54	к нему	3	5
55	в форме	6	5
56	так же	3	5
57	и здесь	5	5
58	большинстве случаев	3	5
59	лишь на	2	5
60	к этому	3	5
61	все же	7	5
62	тому что	4	4
63	это не	6	4
64	на то	2	4
65	то что	8	4
66	и тем	2	4
67	бы то	3	4
68	и их	2	4
69	к целому	2	4
70	пр и	2	4
71	того что	3	4
72	сказать что	2	4
73	что он	4	4
74	было бы	3	4
75	и ее	3	4
76	ничего не	4	4
77	не существует	3	3
78	учение о	3	3
79	перед нами	10	3
80	в этих	13	3
81	в какой	3	3
82	с другой	8	3
83	здесь мы	3	3
84	в этой	2	3
85	его и	2	3
86	в каком	2	3
87	а в	7	3
88	с этим	11	3
89	все эти	2	3
90	в другом	2	3
91	не имеет	2	3
92	мы постараемся	2	3
93	о том	2	3
94	так как	16	3
95	оно может	3	3
96	в различных	2	3
97	у нас	2	3
98	в качестве	5	3
99	еще не	3	3
100	он не	3	3
101	что и	7	3
102	только что	2	3
103	нами в	2	3
104	нашей работы	2	3
105	во всяком	2	3
106	могут быть	16	3
107	связана с	3	2
108	независимо от	3	2
109	что в	8	2
110	в нашем	3	2
111	вопрос о	7	2
112	в собственном	3	2
113	в тех	6	2
114	лишь с	2	2
115	что они	2	2
116	более или	2	2
117	всяком случае	2	2
118	друг друга	3	2
119	но для	2	2
120	о происхождении	2	2
121	но как	2	2
122	в начале	3	2
123	не с	2	2
124	но не	4	2
125	мы увидим	8	2
126	собственном смысле	3	2
127	или менее	2	2
128	приводит к	2	2
129	не на	2	2
130	или же	6	2
131	а с	2	2
132	мы не	8	2
133	или в	4	2
134	то мы	4	2
135	тем что	4	2
136	в виде	2	2
137	далеко не	5	2
138	если же	5	2
139	там где	5	2
140	это было	3	2
