N	2gram	Losev_Prob_1	EvropaiE
1	и в	32	37
2	в отношении	3	32
3	точки зрения	3	23
4	что в	12	21
5	не только	17	18
6	с точки	3	17
7	в то	6	16
8	хотя бы	3	15
9	то же	10	15
10	в своем	5	14
11	в качестве	2	14
12	но и	9	14
13	и не	31	14
14	но в	14	14
15	в этом	19	12
16	в их	4	11
17	в том	9	11
18	в области	2	11
19	так и	12	10
20	отнюдь не	10	9
21	прежде всего	10	9
22	не может	8	9
23	в себе	15	9
24	только в	7	9
25	так же	9	9
26	к тому	3	8
27	в ее	3	8
28	было бы	8	8
29	в своей	8	8
30	между тем	2	8
31	как и	3	7
32	по своему	9	7
33	между прочим	2	7
34	того что	7	7
35	а также	4	7
36	с другой	3	7
37	также и	11	7
38	так как	11	7
39	вовсе не	35	6
40	том что	12	6
41	может быть	14	6
42	для того	8	6
43	на то	8	6
44	как бы	14	6
45	то что	42	6
46	во всех	7	6
47	того чтобы	9	6
48	и даже	11	6
49	и на	8	6
50	то есть	33	6
51	же как	2	5
52	не в	4	5
53	но не	9	5
54	но если	2	5
55	как мы	7	5
56	тем самым	4	5
57	в виде	15	5
58	и потому	2	5
59	именно в	4	4
60	или иного	2	4
61	или иной	5	4
62	можно сказать	5	4
63	несмотря на	3	4
64	в самом	6	4
65	из числа	2	4
66	то в	5	4
67	той или	5	4
68	по себе	15	4
69	для нас	5	4
70	не на	3	4
71	мы не	2	4
72	и притом	4	4
73	не имеет	2	4
74	во многих	2	4
75	сказать что	13	4
76	тем более	5	4
77	в каком	3	4
78	того или	2	4
79	как это	6	4
80	с тем	5	3
81	уже и	3	3
82	можно ли	5	3
83	никогда не	7	3
84	в них	7	3
85	вообще не	2	3
86	на себя	2	3
87	этом смысле	6	3
88	россии как	2	3
89	мы можем	4	3
90	того же	3	3
91	известной степени	2	3
92	из них	3	3
93	всяком случае	3	3
94	себе не	3	3
95	не является	5	3
96	и тем	13	3
97	говорит о	3	3
98	не будет	2	3
99	ее в	2	3
100	как в	4	3
101	и только	4	3
102	и для	4	3
103	в таком	9	3
104	можно было	3	3
105	в которых	3	3
106	в результате	2	3
107	потому что	16	3
108	во всяком	7	3
109	тем что	7	3
110	ни на	4	3
111	в данном	9	3
112	о том	11	3
113	дело в	3	3
114	что все	3	2
115	он сам	2	2
116	не могут	2	2
117	для них	2	2
118	а не	15	2
119	в этих	3	2
120	в случае	3	2
121	и во	3	2
122	с этим	3	2
123	и все	7	2
124	к нему	3	2
125	чем больше	4	2
126	есть не	6	2
127	не нужно	3	2
128	же в	4	2
129	как же	3	2
130	и того	2	2
131	и как	6	2
132	есть в	5	2
133	что если	2	2
134	но как	6	2
135	или вернее	3	2
136	не можем	2	2
137	но именно	3	2
138	что это	3	2
139	не говоря	4	2
140	и если	6	2
141	она не	2	2
142	все другие	2	2
143	но еще	2	2
144	эти последние	2	2
145	по преимуществу	2	2
146	он не	3	2
147	в его	6	2
148	помнить что	3	2
149	в котором	5	2
150	говоря уже	2	2
151	не есть	29	2
152	при помощи	13	2
153	вместе с	2	2
154	данном случае	8	2
155	во всей	3	2
156	что к	2	2
157	что же	9	2
158	для этих	2	2
159	а в	4	2
160	таким образом	6	2
161	если бы	4	2
162	а именно	12	2
163	и что	9	2
164	на этот	3	2
165	другой стороны	3	2
166	поскольку он	2	2
167	в других	5	2
168	с другими	2	2
169	мы видим	2	2
170	или в	4	2
171	и с	2	2
172	хотя и	6	2
173	могут быть	2	2
174	и еще	3	2
175	в этой	10	2
176	и то	6	2
177	в истории	4	2
178	как будто	3	2
179	мы должны	5	2
180	далеко не	5	2
181	как оно	3	2
182	в эту	2	2
