N	3gram	Losev_Prob_1	Myslijsy
1	более или менее	3	8
2	сами по себе	3	7
3	во всяком случае	3	7
4	в том что	5	7
5	и того же	2	6
6	одного и того	2	6
7	по крайней мере	2	5
8	тем не менее	18	5
9	то и другое	2	4
10	до сих пор	3	4
11	подобно тому как	2	4
12	сам по себе	7	4
13	на то что	8	3
14	и т д	10	3
15	то что в	3	2
16	только потому что	2	2
17	в одно целое	2	2
18	то что мы	6	2
19	в этом смысле	6	2
20	в таком случае	6	2
21	не может быть	2	2
22	сама по себе	4	2
23	в то же	4	2
24	с другой стороны	3	2
25	для того чтобы	8	2
26	на самом деле	4	2
