N	2gram	Propp_Russ_1	Stilisti
1	и в	36	42
2	как бы	5	27
3	не только	22	27
4	но и	16	15
5	то же	3	15
6	и не	6	14
7	может быть	8	12
8	не может	4	12
9	точки зрения	3	11
10	как и	10	11
11	и как	2	10
12	мы должны	2	10
13	отнюдь не	2	10
14	как мы	10	10
15	в этом	12	10
16	при этом	6	9
17	то что	6	9
18	мы не	6	9
19	все же	5	8
20	в ней	2	8
21	таким образом	6	8
22	с тем	8	8
23	и на	10	7
24	потому что	10	7
25	так как	15	7
26	а не	2	7
27	мы можем	2	7
28	только в	4	7
29	ничего не	3	7
30	в свою	3	6
31	в нем	2	6
32	во всех	4	6
33	так и	7	6
34	в области	3	6
35	слова в	3	5
36	независимо от	2	5
37	в нашем	2	5
38	тому что	4	5
39	и их	4	5
40	а в	9	5
41	и с	2	5
42	как это	8	5
43	в его	2	5
44	вместе с	10	5
45	с точки	3	5
46	что это	3	4
47	в каждом	2	4
48	не просто	2	4
49	что именно	2	4
50	к тому	4	4
51	но все	3	4
52	связаны с	3	4
53	свою очередь	2	4
54	в качестве	3	4
55	один из	8	4
56	все это	6	4
57	того что	4	4
58	так же	3	4
59	о том	8	4
60	но в	2	4
61	не что	2	4
62	и к	3	4
63	у нас	8	4
64	мы видим	2	4
65	мы увидим	8	4
66	а с	4	4
67	уже не	6	4
68	и пр	2	4
69	то есть	3	4
70	в разных	3	3
71	до того	2	3
72	его и	2	3
73	что у	2	3
74	это не	10	3
75	главным образом	2	3
76	этом случае	5	3
77	для нас	6	3
78	но что	2	3
79	хотя и	2	3
80	в целом	2	3
81	из них	8	3
82	чаще всего	3	3
83	их в	3	3
84	и здесь	2	3
85	та же	2	3
86	в одном	3	3
87	этого слова	3	3
88	об этом	9	3
89	том что	19	3
90	в тех	4	3
91	еще не	4	3
92	должно было	2	3
93	так называемой	3	3
94	что и	7	3
95	только на	3	3
96	связь между	2	3
97	на самом	2	3
98	и для	2	3
99	связи с	4	3
100	и поэтому	2	3
101	в частности	2	2
102	но даже	2	2
103	в какой	2	2
104	иное как	2	2
105	как уже	4	2
106	в том	17	2
107	нас не	2	2
108	но это	4	2
109	до конца	2	2
110	несмотря на	3	2
111	подойти к	2	2
112	не с	3	2
113	в этих	3	2
114	как например	3	2
115	в связи	4	2
116	не было	2	2
117	все эти	2	2
118	и те	3	2
119	магический обряд	2	2
120	в которых	5	2
121	в своих	2	2
122	что иное	2	2
123	мы имеем	4	2
124	в жизни	2	2
125	для них	3	2
126	между собой	2	2
127	с этим	2	2
128	к этому	4	2
129	связанные с	3	2
130	с собой	4	2
131	значение и	2	2
132	должна была	2	2
133	представляет собой	4	2
134	но не	2	2
135	и потому	2	2
136	как не	2	2
137	природы и	2	2
138	с ней	2	2
139	как в	5	2
140	для наших	2	2
141	должны были	2	2
142	в дальнейшем	2	2
143	с ним	2	2
144	или в	2	2
145	останавливаться на	2	2
146	этот вопрос	2	2
147	между двумя	2	2
148	тем что	4	2
149	тем и	2	2
150	в середине	3	2
