N	2gram	Kanaev_Sov_1	Dialekti
1	и не	6	27
2	а не	3	26
3	точки зрения	12	25
4	и в	7	24
5	не только	4	23
6	что такое	2	21
7	не может	17	19
8	ничего не	6	17
9	и есть	2	16
10	и что	2	15
11	что все	2	14
12	в таком	2	14
13	с точки	5	14
14	может быть	12	13
15	таким образом	11	13
16	и даже	2	13
17	что это	2	12
18	не менее	2	11
19	что же	5	11
20	тем не	2	10
21	отнюдь не	3	10
22	что она	3	9
23	прежде всего	5	8
24	отличается от	3	8
25	в этом	7	8
26	в виде	2	8
27	если же	2	8
28	что в	2	7
29	в самом	2	7
30	ясно что	3	7
31	как и	6	7
32	все это	3	6
33	так как	4	6
34	и все	3	6
35	то же	3	6
36	самом деле	2	6
37	и пр	2	6
38	в том	4	5
39	жизни и	4	5
40	вопрос о	4	5
41	и к	3	5
42	было бы	3	5
43	уже не	2	5
44	мы не	9	5
45	это не	4	4
46	не могут	2	4
47	или иной	2	4
48	нет и	4	4
49	у нас	3	4
50	говорить о	2	4
51	все же	3	3
52	мы знаем	2	3
53	не в	3	3
54	из двух	3	3
55	в нем	3	3
56	из них	4	3
57	то и	2	3
58	с одной	2	3
59	все эти	5	3
60	с этим	2	3
61	он должен	2	3
62	зависимости от	4	3
63	одна из	3	3
64	как бы	4	3
65	быть и	2	3
66	или же	2	3
67	из которых	2	3
68	той же	2	3
69	только одна	6	3
70	из этих	2	2
71	для нас	3	2
72	на этом	2	2
73	еще не	3	2
74	не можем	7	2
75	при этом	3	2
76	всяком случае	2	2
77	совершенно не	2	2
78	и по	2	2
79	а в	4	2
80	их в	4	2
81	в первом	3	2
82	и потому	3	2
83	когда мы	3	2
84	но в	3	2
85	же мы	2	2
86	у него	2	2
87	в зависимости	4	2
88	на котором	2	2
89	и во	2	2
90	в условиях	5	2
91	ведь это	3	2
92	со всеми	2	2
93	и они	2	2
94	как мы	2	2
95	тот или	2	2
96	во всяком	2	2
97	могут быть	2	2
98	в себе	3	2
99	в его	2	2
