N	2gram	Potebnia_M_2	VrazhdaK
1	не только	15	9
2	в этом	8	8
3	и что	4	8
4	и в	24	8
5	но и	9	7
6	что в	16	7
7	то что	20	7
8	и все	3	7
9	в котором	4	6
10	в нем	9	6
11	все же	5	6
12	как и	7	6
13	но в	4	6
14	то же	12	5
15	не было	6	5
16	и не	19	5
17	у него	2	5
18	между тем	6	5
19	в то	6	5
20	же время	2	5
21	уже в	5	4
22	для нас	31	4
23	как бы	9	4
24	все это	2	4
25	это не	3	4
26	что он	4	4
27	так же	2	4
28	с ним	5	4
29	может быть	23	4
30	при этом	13	4
31	о том	5	4
32	в ней	3	4
33	и уже	5	3
34	с его	2	3
35	связи с	6	3
36	что у	2	3
37	и во	3	3
38	что есть	2	3
39	в связи	2	3
40	к этому	2	3
41	человека в	3	3
42	на то	5	3
43	и у	3	3
44	в том	18	3
45	и его	2	3
46	том что	8	3
47	и как	6	3
48	тем что	7	3
49	в его	2	3
50	далеко не	3	3
51	его в	3	3
52	но он	2	3
53	в чем	7	3
54	место в	4	2
55	его с	2	2
56	а с	2	2
57	и это	2	2
58	время и	2	2
59	из них	5	2
60	не менее	5	2
61	никогда не	4	2
62	вместе с	11	2
63	в них	5	2
64	столь же	5	2
65	так в	4	2
66	не может	12	2
67	а в	8	2
68	тогда как	10	2
69	отношения к	2	2
70	таким образом	11	2
71	рядом с	3	2
72	но это	3	2
73	о которой	3	2
74	уже не	4	2
75	от сознания	2	2
76	мы знаем	2	2
77	же в	5	2
78	и то	3	2
79	их в	2	2
80	в свою	6	2
81	в себе	10	2
82	для него	10	2
83	в нашей	2	2
84	еще не	4	2
85	во время	4	2
86	его на	2	2
87	с нею	2	2
88	одна из	4	2
89	в эту	3	2
