N	2gram	Bakhtin_Fr_4	Literetu
1	и в	29	19
2	может быть	2	17
3	своего рода	6	13
4	то же	10	12
5	и не	16	11
6	и т.п	12	10
7	в том	7	10
8	как и	12	10
9	но и	9	10
10	же время	8	9
11	не может	2	9
12	в этом	11	9
13	в то	10	9
14	с другой	4	8
15	не только	10	8
16	и даже	3	8
17	том что	3	7
18	то что	4	7
19	так и	11	7
20	с одной	2	7
21	в себе	3	6
22	одной стороны	2	6
23	при этом	3	6
24	себя в	2	6
25	и на	11	6
26	но не	2	5
27	в качестве	3	5
28	он не	3	5
29	в году	3	5
30	того что	3	5
31	то есть	21	5
32	тех кто	2	4
33	в частности	3	4
34	жизни в	2	4
35	прежде всего	8	4
36	того же	5	4
37	в ней	3	4
38	в его	8	4
39	один из	4	4
40	жизни и	4	4
41	и других	3	4
42	другой стороны	3	4
43	тем что	4	4
44	точки зрения	4	4
45	не случайно	3	4
46	никогда не	2	3
47	быть может	2	3
48	в себя	2	3
49	что он	4	3
50	в нем	5	3
51	и как	3	3
52	но это	4	3
53	такой же	3	3
54	в этой	13	3
55	в сущности	6	3
56	и др	4	3
57	со стороны	2	3
58	в их	2	3
59	и для	2	3
60	так как	7	3
61	с точки	2	3
62	как на	2	3
63	и его	8	3
64	и то	2	3
65	не столько	2	3
66	и с	9	3
67	как к	3	3
68	на этом	2	2
69	том числе	3	2
70	уже в	2	2
71	у него	5	2
72	в нашем	4	2
73	в них	7	2
74	в конце	9	2
75	в виду	2	2
76	в жизни	2	2
77	вовсе не	9	2
78	и к	2	2
79	а также	2	2
80	в ее	3	2
81	а затем	3	2
82	ведь это	3	2
83	до конца	5	2
84	тот же	3	2
85	еще не	4	2
86	и сам	3	2
87	одной из	2	2
88	в образах	8	2
89	как бы	8	2
90	традиции как	2	2
91	если в	2	2
92	как он	2	2
93	все же	3	2
94	с ее	3	2
95	из них	6	2
96	по преимуществу	3	2
97	и за	3	2
98	и до	5	2
99	как раз	2	2
100	и одновременно	4	2
101	той же	3	2
102	с образом	2	2
103	но только	2	2
104	уже не	2	2
105	для того	3	2
106	и наконец	2	2
107	на свете	2	2
108	друг друга	2	2
109	в своих	2	2
110	то в	3	2
111	в результате	4	2
112	в основе	2	2
113	даже и	2	2
114	подобно тому	3	2
115	он и	5	2
116	соответствии с	2	2
117	но как	3	2
118	что я	2	2
119	о том	2	2
120	тому как	3	2
121	с ним	2	2
122	но в	12	2
