N	2gram	Trubetskoy_1	Vvedenie
1	и в	26	32
2	в том	11	31
3	в этом	15	30
4	может быть	10	26
5	том что	7	26
6	не только	10	22
7	для того	5	21
8	того чтобы	5	20
9	таким образом	22	19
10	то что	7	16
11	потому что	7	15
12	так как	9	15
13	не может	4	14
14	в самом	4	13
15	в нем	4	13
16	о том	6	13
17	того что	3	12
18	в общем	8	12
19	и не	8	12
20	как на	8	12
21	представляет собой	3	12
22	в его	5	12
23	только в	4	12
24	ясно что	3	11
25	что в	9	10
26	но в	7	9
27	и как	3	9
28	между тем	2	9
29	то же	4	9
30	не менее	3	8
31	с другой	8	8
32	тем не	3	8
33	не в	2	8
34	именно в	2	8
35	прежде всего	2	7
36	точки зрения	13	7
37	о котором	2	7
38	но не	8	7
39	все же	6	7
40	не могут	2	6
41	из этих	10	6
42	до сих	5	6
43	же время	2	6
44	один из	2	6
45	но и	9	6
46	все это	6	6
47	и даже	3	6
48	в то	4	6
49	с тем	18	6
50	в качестве	3	6
51	сих пор	5	6
52	хотя бы	3	6
53	и это	2	6
54	уже в	2	5
55	течением времени	3	5
56	так что	3	5
57	так например	2	5
58	на этот	4	5
59	но если	2	5
60	как бы	12	5
61	с течением	3	5
62	одним из	2	5
63	в которых	4	5
64	сказать что	2	5
65	в них	2	5
66	по своему	2	5
67	вместе с	15	5
68	в течение	4	5
69	а не	5	5
70	связана с	2	4
71	с этой	3	4
72	как о	3	4
73	одной стороны	7	4
74	всяком случае	6	4
75	в котором	4	4
76	так или	3	4
77	смотреть на	2	4
78	этом отношении	2	4
79	с одной	7	4
80	и что	4	4
81	не имеет	5	4
82	а в	4	4
83	одно из	2	4
84	мы имеем	2	4
85	должен был	4	4
86	сравнению с	2	4
87	в разных	2	4
88	по крайней	5	4
89	что он	4	4
90	еще не	2	4
91	крайней мере	5	4
92	отношению к	3	4
93	по сравнению	2	4
94	только что	2	4
95	в виде	4	4
96	уже не	3	4
97	и для	5	4
98	или иначе	3	4
99	во всяком	6	4
100	в себе	6	4
101	и т.д	6	4
102	за собой	3	3
103	что это	3	3
104	в этих	4	3
105	в конце	6	3
106	можно сказать	3	3
107	к тому	6	3
108	но все	7	3
109	в этой	4	3
110	при этом	3	3
111	не вполне	3	3
112	в виду	2	3
113	к нему	7	3
114	мы видели	2	3
115	отношение к	5	3
116	из них	7	3
117	в своем	3	3
118	все эти	6	3
119	так же	5	3
120	и на	2	3
121	в результате	3	3
122	в начале	2	3
123	на нее	3	3
124	тогда когда	2	3
125	если бы	3	3
126	так называемой	2	3
127	не как	2	3
128	к этому	3	3
129	и к	5	3
130	связи с	9	3
131	так чтобы	2	3
132	том виде	2	3
133	одной из	5	3
134	в одном	3	3
135	а также	2	3
136	что и	6	3
137	но с	3	3
138	в области	9	3
139	же как	3	2
140	и другие	3	2
141	никогда не	5	2
142	них не	2	2
143	для этого	2	2
144	в отношении	6	2
145	точно так	3	2
146	или иной	2	2
147	несмотря на	6	2
148	значительной мере	2	2
149	не к	2	2
150	в связи	3	2
151	не было	2	2
152	и те	3	2
153	виде в	2	2
154	и с	10	2
155	той или	2	2
156	и здесь	2	2
157	же самое	2	2
158	его можно	2	2
159	а так	3	2
160	конце концов	3	2
161	так и	6	2
162	к культуре	2	2
163	не исчерпывается	2	2
164	влечет за	2	2
165	состоит в	2	2
166	надо было	2	2
167	не с	2	2
168	по существу	2	2
169	так называемую	2	2
170	и при	3	2
171	должна была	2	2
172	учение о	4	2
173	того же	6	2
174	во всех	2	2
175	что мы	2	2
176	без остатка	2	2
177	мы должны	6	2
178	жизни и	2	2
179	так называемые	3	2
180	с ней	3	2
181	быть и	2	2
182	в создании	2	2
183	и тогда	4	2
184	и сейчас	2	2
185	в значительной	3	2
186	из которых	4	2
187	с точки	6	2
188	у них	3	2
189	в силу	5	2
190	мы можем	2	2
191	иной раз	2	2
192	при жизни	4	2
193	но вместе	2	2
