N	2gram	Bakhtin_KF_1	Tragedij
1	и в	24	18
2	в этом	14	9
3	не только	5	8
4	и не	26	7
5	и на	3	7
6	может быть	45	7
7	как бы	9	7
8	что он	2	6
9	и его	17	6
10	же время	2	6
11	но в	5	6
12	все же	5	5
13	что это	3	5
14	так и	2	5
15	это не	10	5
16	не может	27	5
17	то же	5	5
18	как и	5	5
19	в то	3	5
20	но и	9	4
21	то что	7	4
22	в целом	10	4
23	что в	4	4
24	все это	10	4
25	я не	6	4
26	прежде всего	2	4
27	и все	7	4
28	в нем	28	4
29	том что	4	4
30	но это	6	4
31	в этой	2	4
32	что я	5	4
33	в себе	21	4
34	еще не	4	4
35	один из	2	3
36	с ее	2	3
37	отнюдь не	6	3
38	в своем	16	3
39	что за	2	3
40	как в	2	3
41	все эти	10	3
42	тем самым	4	3
43	жизнь и	2	3
44	и как	2	3
45	к нему	12	3
46	должно быть	6	3
47	в его	40	3
48	для него	8	3
49	при этом	4	3
50	в мире	6	3
51	с ним	5	3
52	не имеет	5	2
53	что и	7	2
54	раз и	2	2
55	ее жизни	3	2
56	и за	2	2
57	я буду	3	2
58	со мной	4	2
59	и я	5	2
60	а как	2	2
61	вопрос о	2	2
62	но эта	5	2
63	уже не	7	2
64	бы и	3	2
65	отношение к	5	2
66	и здесь	7	2
67	ни в	12	2
68	в ее	16	2
69	в том	6	2
70	до конца	3	2
71	но все	5	2
72	не в	12	2
73	что этот	3	2
74	в данном	2	2
75	и то	2	2
76	потому что	2	2
77	с тем	2	2
78	тем что	3	2
79	в виде	2	2
80	он и	2	2
81	и ее	2	2
82	в это	2	2
83	о том	3	2
84	его в	5	2
85	и это	12	2
86	нет в	4	2
87	это уже	2	2
88	ничего не	3	2
89	он не	6	2
90	в одном	4	2
91	никогда не	5	2
