N	2gram	Vinokur_Ku_1	Formalny
1	и в	24	38
2	в этом	14	27
3	т е	38	26
4	может быть	13	23
5	и пр	15	21
6	и его	5	21
7	таким образом	12	20
8	и не	12	20
9	в самом	10	16
10	прежде всего	9	15
11	не в	11	15
12	и т	33	14
13	не может	7	14
14	в нем	4	13
15	но и	6	13
16	связи с	7	13
17	языка и	8	12
18	в пределах	4	12
19	с его	4	11
20	с тем	5	11
21	языка как	5	11
22	в том	30	11
23	вовсе не	10	11
24	в его	12	10
25	в связи	3	10
26	с помощью	7	10
27	и с	5	9
28	как и	2	9
29	при этом	6	9
30	не только	10	9
31	т п	18	9
32	языка в	12	9
33	язык как	9	8
34	что и	4	8
35	все же	12	8
36	так и	7	8
37	самом деле	9	8
38	тем что	8	8
39	точки зрения	14	8
40	что в	17	7
41	не могут	2	7
42	по себе	2	7
43	по существу	4	7
44	во втором	2	7
45	слова и	4	7
46	в своей	2	7
47	этом отношении	5	7
48	лишь в	2	7
49	уже не	8	7
50	с точки	9	7
51	в первом	3	7
52	не было	3	6
53	в результате	5	6
54	то что	9	6
55	в истории	3	6
56	в ней	6	6
57	в этой	3	6
58	было бы	15	6
59	вместе с	7	6
60	в их	3	6
61	то же	8	6
62	все эти	6	6
63	а не	8	6
64	как раз	8	6
65	в языке	8	6
66	он не	2	6
67	только в	11	6
68	а в	5	6
69	хотя бы	10	6
70	в общем	3	5
71	должна быть	3	5
72	если бы	9	5
73	или иного	3	5
74	что он	6	5
75	именно в	6	5
76	это и	4	5
77	же время	2	5
78	в слове	2	5
79	по преимуществу	2	5
80	если мы	2	5
81	что же	6	5
82	с этим	4	5
83	т д	14	5
84	и для	2	5
85	сводится к	3	5
86	в то	2	5
87	бы в	7	5
88	и должно	2	5
89	во всяком	5	5
90	всяком случае	5	5
91	как о	2	4
92	оно не	3	4
93	не столько	2	4
94	к тому	5	4
95	лишь как	2	4
96	что они	4	4
97	в большинстве	2	4
98	в сторону	2	4
99	в сущности	3	4
100	социального общения	3	4
101	того или	4	4
102	как они	2	4
103	как бы	7	4
104	из них	4	4
105	как в	4	4
106	другой стороны	6	4
107	мы говорим	2	4
108	в особенности	3	4
109	языке как	3	4
110	что оно	3	4
111	что не	5	4
112	и даже	3	4
113	о языке	8	4
114	даже и	3	4
115	там где	4	4
116	здесь не	3	4
117	они не	3	4
118	ничего не	2	4
119	так как	9	4
120	но в	2	4
121	если в	2	3
122	для них	2	3
123	была бы	3	3
124	и может	3	3
125	в какой	6	3
126	с другой	7	3
127	из этих	4	3
128	как таковой	2	3
129	и здесь	3	3
130	и как	2	3
131	но все	2	3
132	зависимости от	6	3
133	например в	5	3
134	в зависимости	5	3
135	однако не	6	3
136	не является	2	3
137	следует что	4	3
138	то это	3	3
139	не есть	4	3
140	в целом	4	3
141	значение и	2	3
142	все это	6	3
143	то и	2	3
144	только и	3	3
145	на самом	2	3
146	того что	9	3
147	того чтобы	17	3
148	для того	16	3
149	роль в	4	3
150	или в	2	3
151	и на	4	3
152	речи и	5	3
153	хотя и	3	3
154	но ведь	2	3
155	и все	2	3
156	что это	5	3
157	так сказать	5	3
158	языка который	2	3
159	в области	7	3
160	это было	2	3
161	от этого	2	3
162	значение слова	3	2
163	языка если	2	2
164	уже в	3	2
165	и более	2	2
166	подойти к	2	2
167	никогда не	2	2
168	значения в	2	2
169	состоит в	3	2
170	в этих	4	2
171	в качестве	7	2
172	тому что	3	2
173	для этого	3	2
174	это не	7	2
175	язык в	5	2
176	представление о	3	2
177	не просто	5	2
178	между ними	2	2
179	в тех	4	2
180	а только	8	2
181	грамматических форм	3	2
182	до конца	2	2
183	том что	21	2
184	идет о	2	2
185	но не	5	2
186	очевидно что	3	2
187	было в	2	2
188	общения и	2	2
189	языка то	2	2
190	е как	4	2
191	на язык	4	2
192	же и	2	2
193	слова как	3	2
194	в котором	3	2
195	даже в	3	2
196	один из	4	2
197	и тем	2	2
198	этом смысле	3	2
199	ни в	2	2
200	ее в	2	2
201	со стороны	4	2
202	а именно	2	2
203	смысл и	2	2
204	превращается в	2	2
205	в той	5	2
206	этого термина	2	2
207	можно говорить	2	2
208	тем самым	4	2
209	не имеет	2	2
210	должно быть	3	2
211	есть лишь	3	2
212	в таком	3	2
213	с ними	4	2
214	и то	3	2
215	языка не	3	2
216	между тем	5	2
217	как например	2	2
218	языку как	3	2
219	нужно было	2	2
220	науки о	3	2
221	потому что	23	2
222	как это	3	2
223	в которой	6	2
224	с ним	5	2
225	в виду	5	2
