N	2gram	Potebnia_M_1	Mirosoze
1	и в	39	46
2	в нем	20	22
3	может быть	27	21
4	в этом	15	20
5	никогда не	4	18
6	для него	4	18
7	и не	18	18
8	не только	21	18
9	но и	20	15
10	не может	22	15
11	как и	9	13
12	не есть	10	13
13	а не	21	13
14	прежде всего	4	12
15	друг друга	5	12
16	потому что	52	12
17	не было	4	11
18	в ней	7	11
19	но он	2	11
20	у нас	2	11
21	но в	9	10
22	он не	3	10
23	в себе	13	10
24	не в	15	9
25	и есть	2	8
26	но это	5	8
27	как бы	6	8
28	в своем	3	8
29	так как	21	8
30	она не	3	8
31	в мире	3	7
32	в этой	3	7
33	человеческой природы	3	7
34	и потому	5	7
35	как в	10	7
36	хотя бы	2	7
37	и для	5	7
38	вопрос о	4	6
39	что это	3	6
40	так же	5	6
41	того что	8	6
42	нем есть	2	6
43	жизни и	2	6
44	в народе	2	6
45	то же	6	5
46	что все	3	5
47	в самом	3	5
48	человеческого духа	6	5
49	это не	7	5
50	и все	3	5
51	есть не	2	5
52	во всем	4	5
53	к тому	4	5
54	то что	10	5
55	в своей	3	5
56	для того	3	5
57	и его	5	5
58	в его	5	5
59	и это	3	5
60	что в	22	4
61	тому что	3	4
62	для этого	2	4
63	все что	2	4
64	есть уже	3	4
65	человека не	2	4
66	свободы и	3	4
67	не имеет	5	4
68	должны быть	7	4
69	самого себя	4	4
70	в жизни	3	4
71	думать что	3	4
72	народной жизни	2	4
73	в свою	4	4
74	мысль что	5	4
75	том что	16	4
76	что и	6	4
77	так и	13	4
78	уже не	2	4
79	того чтобы	2	4
80	народа и	2	4
81	вопроса о	2	4
82	его на	2	4
83	на деле	4	4
84	и от	3	3
85	в каждом	4	3
86	на все	2	3
87	в том	26	3
88	и всегда	2	3
89	не мог	3	3
90	не так	3	3
91	духа и	7	3
92	в своих	4	3
93	сказать что	3	3
94	и с	3	3
95	что иное	2	3
96	о том	2	3
97	нет ничего	2	3
98	с ним	3	3
99	и должно	2	3
100	иное как	2	3
101	к которому	3	3
102	не существует	2	3
103	если бы	14	3
104	в них	3	3
105	и во	3	3
106	не что	2	3
107	в строении	2	3
108	не будет	2	3
109	от того	4	3
110	того как	6	3
111	чтобы не	2	3
112	для человека	2	3
113	той же	3	3
114	тем что	9	3
115	с другим	3	3
116	только в	25	3
117	есть в	2	3
118	но на	2	2
119	в этих	7	2
120	и человеческого	2	2
121	в человеке	10	2
122	что человек	5	2
123	из глубины	2	2
124	так что	16	2
125	в действительности	4	2
126	и если	2	2
127	есть явление	2	2
128	и той	3	2
129	хотя и	3	2
130	выйти из	2	2
131	не имеют	5	2
132	по отношению	13	2
133	в разных	2	2
134	и других	4	2
135	должно быть	7	2
136	а в	5	2
137	увидим что	4	2
138	в более	4	2
139	точки зрения	8	2
140	в мысли	8	2
141	эта мысль	2	2
142	бы в	4	2
143	между тем	5	2
144	природы в	2	2
145	были бы	3	2
146	и самое	2	2
147	его с	2	2
148	то он	2	2
149	тогда когда	9	2
150	по себе	10	2
151	мы видим	4	2
152	то в	5	2
153	связи с	3	2
154	чем в	2	2
155	и что	10	2
156	мы увидим	3	2
157	мысль о	2	2
158	в сущности	2	2
159	во всех	5	2
160	к ней	2	2
161	оно не	3	2
162	отношению к	13	2
163	вместе с	8	2
164	что же	2	2
165	что природа	2	2
166	бы не	6	2
167	еще более	2	2
168	но с	2	2
169	одной и	3	2
170	что не	10	2
171	тому как	4	2
172	то все	2	2
173	подобно тому	3	2
174	как будто	2	2
175	души и	5	2
176	в которой	2	2
