N	2gram	Tiupa_Teor_1	Problema
1	то что	3	42
2	вовсе не	3	35
3	то есть	12	33
4	и в	18	32
5	и не	13	31
6	не менее	4	19
7	в этом	8	19
8	тем не	3	18
9	не только	16	17
10	потому что	3	16
11	а не	9	15
12	в себе	9	15
13	как бы	5	14
14	может быть	17	14
15	у нас	2	14
16	но в	9	14
17	и тем	3	13
18	в нем	4	13
19	сказать что	3	13
20	как раз	2	13
21	что в	9	12
22	а именно	2	12
23	том что	9	12
24	так и	10	12
25	и даже	2	11
26	если мы	2	11
27	то же	7	10
28	прежде всего	2	10
29	в этой	3	10
30	отнюдь не	3	10
31	об этом	2	10
32	но не	9	9
33	в том	16	9
34	но и	9	9
35	и что	3	9
36	так же	2	9
37	по своему	2	9
38	еще не	4	9
39	в данном	8	9
40	и это	2	9
41	данном случае	5	8
42	не может	4	8
43	все эти	2	8
44	и о	4	8
45	в своей	6	8
46	и ее	3	8
47	никогда не	4	7
48	ни в	2	7
49	и является	2	7
50	такого рода	8	7
51	все это	2	7
52	того что	4	7
53	в них	2	7
54	только в	6	7
55	в конце	2	6
56	и как	2	6
57	при этом	12	6
58	в самом	4	6
59	хотя и	3	6
60	в виду	5	6
61	таким образом	3	6
62	это не	2	6
63	и здесь	2	6
64	говорить о	3	6
65	и то	2	6
66	его в	2	6
67	как это	8	6
68	этом смысле	2	6
69	в то	6	6
70	за пределы	2	6
71	в его	6	6
72	перед нами	2	5
73	в своем	4	5
74	или иной	4	5
75	можно сказать	3	5
76	а только	3	5
77	есть в	2	5
78	что она	2	5
79	не является	4	5
80	то в	2	5
81	далеко не	2	5
82	казалось бы	2	4
83	именно в	3	4
84	тому что	2	4
85	не в	7	4
86	один из	2	4
87	в их	2	4
88	мышления и	2	4
89	в одно	2	4
90	или в	3	4
91	а в	13	4
92	их в	3	4
93	если бы	3	4
94	в литературе	2	4
95	а также	6	4
96	как в	5	4
97	тем самым	4	4
98	и притом	2	4
99	и для	2	4
100	в этих	3	3
101	в отношении	3	3
102	с другой	7	3
103	более или	2	3
104	случае не	2	3
105	но она	2	3
106	другой стороны	5	3
107	и его	8	3
108	тех или	3	3
109	в самой	2	3
110	но он	3	3
111	точки зрения	9	3
112	в искусстве	6	3
113	только не	2	3
114	в жизни	2	3
115	говорит и	2	3
116	в ее	5	3
117	как и	4	3
118	того же	3	3
119	мы в	2	3
120	к тому	2	3
121	он не	3	3
122	быть и	2	3
123	или менее	2	3
124	уже не	4	3
125	не на	2	3
126	с точки	3	3
127	определенным образом	2	3
128	как будто	2	3
129	дело в	2	3
130	есть как	2	2
131	не могут	2	2
132	делает его	2	2
133	одного и	3	2
134	особого рода	2	2
135	для него	2	2
136	пушкина что	2	2
137	так или	4	2
138	из этих	3	2
139	известной степени	3	2
140	к его	2	2
141	того или	3	2
142	в первом	2	2
143	мы имеем	7	2
144	я и	2	2
145	между тем	5	2
146	тот кто	2	2
147	с его	5	2
148	могут быть	4	2
149	однако в	7	2
150	он должен	2	2
151	или иных	3	2
152	или иного	3	2
153	таких случаях	2	2
154	к нашему	2	2
155	это тоже	2	2
156	и того	3	2
157	в качестве	24	2
158	о своем	2	2
159	что может	2	2
160	по преимуществу	4	2
161	и потому	2	2
162	и особенно	2	2
163	не будет	2	2
164	вместе с	2	2
165	ее в	2	2
166	и который	2	2
167	или иначе	5	2
168	с другими	5	2
169	все прочие	3	2
170	на себя	2	2
171	в которой	2	2
172	в области	4	2
173	это было	2	2
