N	2gram	Tiupa_Anal_1	Hudozhes
1	и в	18	28
2	том что	12	19
3	и не	21	18
4	своего рода	3	16
5	в том	27	15
6	а не	17	14
7	не в	14	13
8	в этом	13	13
9	о том	5	12
10	как и	13	11
11	при этом	12	11
12	в его	13	11
13	не только	15	11
14	уже не	4	10
15	не случайно	3	10
16	но и	17	9
17	в себе	11	9
18	что он	3	8
19	может быть	29	8
20	себя в	6	8
21	так и	4	8
22	между тем	5	8
23	и все	3	7
24	к тому	7	7
25	в мире	8	7
26	в частности	19	7
27	отношению к	5	7
28	по отношению	6	7
29	тогда как	14	7
30	с ним	4	7
31	состоит в	11	7
32	это не	6	6
33	можно сказать	2	6
34	в котором	3	6
35	то что	6	6
36	в своей	6	6
37	если бы	3	6
38	то же	9	6
39	сводится к	5	6
40	а в	9	6
41	и с	2	6
42	для себя	2	6
43	в то	9	6
44	я и	6	6
45	с его	3	5
46	как бы	5	5
47	в этой	5	5
48	что в	5	5
49	и сам	2	5
50	в самом	6	5
51	никогда не	2	5
52	в тексте	5	5
53	и его	5	5
54	художественного целого	10	5
55	для него	2	5
56	человеческого я	2	4
57	наш взгляд	6	4
58	то в	2	4
59	но не	10	4
60	в качестве	31	4
61	же время	6	4
62	в художественном	3	4
63	для того	4	4
64	и о	2	4
65	он не	3	4
66	в конечном	4	4
67	что и	3	4
68	и т	3	4
69	не может	22	4
70	того чтобы	3	4
71	на наш	6	4
72	подобно тому	3	4
73	как будто	3	4
74	только в	6	4
75	тому как	3	4
76	бы не	2	3
77	человек в	3	3
78	была бы	2	3
79	конечном счете	4	3
80	столь же	4	3
81	с другой	4	3
82	личности в	3	3
83	прежде всего	6	3
84	в нем	3	3
85	всякий раз	3	3
86	самом деле	2	3
87	еще не	3	3
88	одной стороны	3	3
89	было бы	2	3
90	несмотря на	2	3
91	не все	2	3
92	со стороны	2	3
93	не могу	2	3
94	на фоне	2	3
95	и читателя	2	3
96	а с	3	3
97	с одной	3	3
98	и состоит	5	3
99	едва ли	2	3
100	личность в	2	3
101	с другими	4	3
102	и на	5	3
103	соответствии с	2	3
104	на себя	2	3
105	же самое	2	3
106	будто бы	3	3
107	как он	3	3
108	к нему	3	3
109	всего лишь	4	3
110	в основе	6	2
111	место в	3	2
112	автора и	3	2
113	только для	2	2
114	и составляет	2	2
115	только не	2	2
116	себя и	4	2
117	отнюдь не	15	2
118	однако в	3	2
119	его и	2	2
120	именно в	4	2
121	в финальном	2	2
122	не столько	2	2
123	составляет своего	2	2
124	и просто	2	2
125	из этих	2	2
126	внутреннего я	4	2
127	вовсе не	2	2
128	а как	2	2
129	как уже	2	2
130	или иного	3	2
131	или иной	6	2
132	не с	4	2
133	как мы	2	2
134	ли он	2	2
135	тому же	4	2
136	от своего	2	2
137	сюжетного построения	2	2
138	воспринимающего сознания	5	2
139	на этом	2	2
140	мысль о	2	2
141	без другого	2	2
142	что не	3	2
143	и к	3	2
144	того или	3	2
145	в ряду	2	2
146	о нем	3	2
147	а также	3	2
148	если в	3	2
149	не является	2	2
150	один из	2	2
151	в нашем	3	2
152	все же	4	2
153	не будет	3	2
154	в первом	2	2
155	отношение к	2	2
156	из них	2	2
157	ни с	3	2
158	вместе с	4	2
159	дело не	3	2
160	данном случае	2	2
161	от которого	2	2
162	что же	2	2
163	и тогда	2	2
164	дело с	4	2
165	здесь не	2	2
166	т п	3	2
167	в двух	2	2
168	лишь в	5	2
169	тем самым	7	2
170	не более	4	2
171	более чем	4	2
172	который в	2	2
173	в принципе	8	2
174	хотя бы	3	2
175	с точки	4	2
176	в т	2	2
177	той же	2	2
178	роль в	2	2
179	человеческого бытия	2	2
180	в данном	2	2
181	и то	2	2
182	потому что	2	2
183	нуждается в	8	2
184	точки зрения	6	2
185	в роли	2	2
186	себе в	2	2
187	в другом	4	2
188	могла бы	3	2
189	нет ничего	2	2
190	она может	3	2
191	ответственности перед	3	2
192	но в	8	2
