N	2gram	Tiupa_Disk_2	RusskieA
1	и в	16	29
2	что в	5	22
3	том что	10	22
4	в том	8	22
5	как бы	4	18
6	состоит в	16	15
7	может быть	16	13
8	там же	2	12
9	как и	16	11
10	в этом	16	11
11	все это	2	10
12	и с	2	10
13	не только	10	10
14	о том	4	9
15	а в	2	9
16	но и	11	8
17	его в	3	8
18	данном случае	6	7
19	как в	8	7
20	этом случае	2	6
21	еще не	6	6
22	вместе с	2	6
23	при этом	17	6
24	и на	5	6
25	в данном	7	6
26	мы имеем	2	6
27	потому что	4	5
28	это не	3	5
29	к этому	4	5
30	то что	5	5
31	но не	7	5
32	с ней	2	5
33	к жизни	3	5
34	не может	9	5
35	но в	11	5
36	именно в	2	4
37	о чем	2	4
38	в них	3	4
39	и все	3	4
40	уже не	3	4
41	не в	3	4
42	из них	3	4
43	же как	2	4
44	а также	8	4
45	то же	6	4
46	а не	14	4
47	их в	2	4
48	далеко не	2	4
49	в этих	3	3
50	в качестве	16	3
51	на первый	2	3
52	живет в	2	3
53	в котором	3	3
54	в отличие	12	3
55	все эти	3	3
56	тому как	2	3
57	между тем	2	3
58	подобно тому	2	3
59	в этой	4	3
60	отличие от	12	3
61	не менее	7	2
62	могут быть	3	2
63	никогда не	2	2
64	жизни в	3	2
65	с другой	5	2
66	не столько	3	2
67	из этих	3	2
68	это в	2	2
69	прежде всего	7	2
70	как уже	2	2
71	что и	2	2
72	и как	3	2
73	здесь в	3	2
74	одной стороны	4	2
75	что на	2	2
76	еще в	3	2
77	но она	3	2
78	не с	2	2
79	все же	6	2
80	в своей	6	2
81	не к	2	2
82	тогда как	11	2
83	а с	5	2
84	не было	3	2
85	с одной	4	2
86	и для	2	2
87	должно быть	2	2
88	а к	2	2
89	в своих	6	2
90	и то	4	2
91	пока еще	2	2
92	одно из	4	2
93	и ее	3	2
94	в то	5	2
95	представляет собой	11	2
96	есть в	2	2
