N	2gram	Bakhtin_Fr_2	RusskieA
1	и в	49	36
2	новый год	2	25
3	не только	17	22
4	что в	2	19
5	том что	4	19
6	в том	3	17
7	но и	13	16
8	так как	6	15
9	во время	12	14
10	и другие	2	13
11	в этом	15	12
12	в xix	3	10
13	как мы	7	10
14	как и	11	10
15	вместе с	2	10
16	и на	17	10
17	а в	4	9
18	из них	3	8
19	может быть	5	8
20	один из	7	8
21	о том	3	8
22	что они	2	7
23	так и	6	7
24	и других	3	7
25	и не	15	6
26	в день	3	6
27	и обрядов	2	6
28	так например	2	6
29	при этом	5	6
30	в них	13	6
31	таким образом	7	6
32	все это	9	6
33	то что	6	6
34	все же	7	5
35	как бы	11	5
36	в течение	3	5
37	там же	2	5
38	того как	2	5
39	из этих	5	4
40	в тех	2	4
41	в г	3	4
42	по существу	2	4
43	одна из	4	4
44	еще не	2	4
45	связи с	2	4
46	вплоть до	2	4
47	еще в	2	4
48	и др	9	4
49	во всех	6	4
50	в их	2	4
51	так в	3	4
52	не может	7	4
53	в связи	2	4
54	но это	2	4
55	тем что	4	4
56	только в	13	4
57	для них	2	3
58	о чем	3	3
59	связанные с	2	3
60	в этих	4	3
61	в качестве	2	3
62	в своем	5	3
63	но все	4	3
64	но они	3	3
65	в одном	3	3
66	думать что	2	3
67	и к	4	3
68	несмотря на	3	3
69	этого праздника	2	3
70	в целях	2	3
71	в основном	5	3
72	этого момента	2	3
73	но эти	3	3
74	то же	7	3
75	с точки	5	3
76	так же	2	3
77	и обряды	3	3
78	в праздник	3	3
79	ничего не	2	3
80	их в	3	3
81	точки зрения	6	3
82	то есть	32	3
83	далеко не	3	3
84	связаны с	2	3
85	в области	4	3
86	не было	4	2
87	всех этих	3	2
88	и более	4	2
89	могут быть	2	2
90	но даже	2	2
91	в нашем	2	2
92	та же	2	2
93	и потому	5	2
94	на все	3	2
95	в нем	9	2
96	у него	2	2
97	пелись в	2	2
98	и нового	3	2
99	в жизни	4	2
100	он был	2	2
101	в дальнейшем	2	2
102	но не	5	2
103	как известно	2	2
104	до конца	2	2
105	не были	2	2
106	в ней	2	2
107	в его	18	2
108	и с	6	2
109	на этой	2	2
110	и до	4	2
111	за счет	2	2
112	в особенности	5	2
113	все эти	7	2
114	на самом	2	2
115	в году	13	2
116	мы наблюдаем	2	2
117	с ним	4	2
118	в своих	4	2
119	мы можем	2	2
120	хотя и	2	2
121	на новый	2	2
122	к ней	2	2
123	но в	4	2
124	мы должны	2	2
125	там где	4	2
