N	3gram	Propp_Isto_7	Morfolog
1	и т д	16	47
2	в этих случаях	10	13
3	мы видим что	3	9
4	не может быть	3	8
5	таким образом мы	2	5
6	тем не менее	4	4
7	с другой стороны	8	4
8	связи с сватовством	2	4
9	имеем в сказке	4	4
10	как и в	2	3
11	случай мы имеем	3	3
12	но все же	2	3
13	в то время	2	2
14	отсюда видно что	3	2
15	в тех случаях	4	2
16	и в других	2	2
17	с того что	3	2
18	есть и другие	2	2
19	на первый взгляд	4	2
20	с одной стороны	4	2
21	точно так же	2	2
22	образом мы видим	2	2
23	во время боя	3	2
24	т д в	2	2
25	тех случаях когда	3	2
26	в том что	4	2
27	начинается с того	3	2
28	то время как	2	2
