N	2gram	Tiupa_Lite_1	Mirosoze
1	и в	8	46
2	у достоевского	2	34
3	в нем	2	22
4	у него	3	22
5	может быть	13	21
6	в этом	12	20
7	никогда не	4	18
8	для него	2	18
9	и не	12	18
10	не только	24	18
11	во имя	2	16
12	но и	17	15
13	не может	5	15
14	ведет к	4	13
15	как и	6	13
16	не есть	2	13
17	а не	16	13
18	прежде всего	11	12
19	друг друга	4	12
20	потому что	3	12
21	не было	3	11
22	та же	2	10
23	но в	3	10
24	в себе	7	10
25	не в	8	9
26	и есть	3	8
27	как бы	7	8
28	в своем	11	8
29	человека и	2	7
30	в мире	2	7
31	в этой	4	7
32	что он	5	7
33	как в	5	7
34	хотя бы	2	7
35	того что	6	6
36	жизни и	3	6
37	в русской	10	6
38	то же	5	5
39	я не	7	5
40	в самом	3	5
41	один из	3	5
42	человеческого духа	2	5
43	это не	4	5
44	в конце	4	5
45	к тому	2	5
46	по преимуществу	4	5
47	то что	10	5
48	в своей	4	5
49	и его	4	5
50	в его	7	5
51	что в	3	4
52	для этого	4	4
53	самого себя	3	4
54	также и	3	4
55	с его	5	4
56	в жизни	6	4
57	том что	14	4
58	должен быть	2	4
59	себя в	6	4
60	так и	4	4
61	уже не	7	4
62	в том	16	3
63	и нет	2	3
64	и самого	2	3
65	не мог	3	3
66	в своих	4	3
67	по своей	3	3
68	о том	2	3
69	его в	3	3
70	как он	2	3
71	нет ничего	2	3
72	в россии	2	3
73	на почве	2	3
74	чтобы не	2	3
75	на смену	6	3
76	той же	3	3
77	тем что	2	3
78	только в	8	3
79	жизни не	2	2
80	уже в	5	2
81	мир и	2	2
82	или иной	2	2
83	я и	7	2
84	да и	3	2
85	такого рода	10	2
86	же и	3	2
87	в сфере	3	2
88	не к	2	2
89	по отношению	3	2
90	лишь в	4	2
91	друг для	2	2
92	а в	3	2
93	к себе	3	2
94	в основе	3	2
95	точки зрения	6	2
96	самим собою	2	2
97	не случайно	2	2
98	эта мысль	2	2
99	между тем	2	2
100	а для	2	2
101	на этом	2	2
102	ничего кроме	2	2
103	с собой	4	2
104	превращается в	2	2
105	то он	2	2
106	себе в	2	2
107	связи с	6	2
108	в сущности	2	2
109	еще в	4	2
110	отношению к	2	2
111	бы не	3	2
112	другого в	3	2
113	более чем	3	2
114	что не	2	2
115	можно было	2	2
116	тому как	2	2
117	для друга	2	2
118	подобно тому	2	2
119	как будто	2	2
120	направленной на	2	2
