N	2gram	Bakhtin_Pr_1	EvropaiE
1	и в	38	37
2	в пределах	6	25
3	точки зрения	8	23
4	что в	7	21
5	не только	9	18
6	с точки	6	17
7	в то	4	16
8	хотя бы	4	15
9	то же	5	15
10	в своем	5	14
11	же время	3	14
12	но и	9	14
13	и не	42	14
14	но в	4	14
15	в этом	15	12
16	в их	10	11
17	в том	8	11
18	в области	11	11
19	так и	5	10
20	отнюдь не	19	9
21	прежде всего	13	9
22	не может	27	9
23	в себе	4	9
24	только в	13	9
25	в ее	4	8
26	одной стороны	3	8
27	было бы	8	8
28	в своей	7	8
29	с одной	3	8
30	между тем	7	8
31	как и	7	7
32	того что	2	7
33	с другой	7	7
34	также и	3	7
35	вовсе не	2	6
36	том что	3	6
37	может быть	26	6
38	для того	2	6
39	на то	2	6
40	как бы	22	6
41	то что	8	6
42	во всех	11	6
43	того чтобы	2	6
44	и даже	3	6
45	и на	3	6
46	то есть	46	6
47	в частности	2	5
48	столь же	2	5
49	не в	7	5
50	но не	12	5
51	одной из	3	5
52	которую мы	3	5
53	как мы	7	5
54	тем самым	4	5
55	в виде	2	5
56	в россии	2	5
57	и потому	4	5
58	ни было	3	4
59	независимо от	13	4
60	то ни	3	4
61	или иного	2	4
62	или иной	2	4
63	можно сказать	2	4
64	чем в	2	4
65	бы то	3	4
66	несмотря на	3	4
67	в самом	7	4
68	в ней	4	4
69	той или	2	4
70	не на	5	4
71	не имеет	9	4
72	сказать что	4	4
73	того или	2	4
74	как это	2	4
75	место в	8	3
76	и к	3	3
77	этом отношении	2	3
78	никогда не	5	3
79	в них	5	3
80	вообще не	7	3
81	и от	3	3
82	этом смысле	3	3
83	от них	2	3
84	в известной	3	3
85	применении к	3	3
86	мы можем	6	3
87	в свою	2	3
88	не более	2	3
89	не дает	2	3
90	в культуре	2	3
91	известной степени	4	3
92	себе не	2	3
93	не является	3	3
94	и тем	3	3
95	что и	2	3
96	как в	4	3
97	и только	4	3
98	последние годы	2	3
99	и для	11	3
100	и прежде	5	3
101	в таком	3	3
102	можно было	4	3
103	тем что	2	3
104	в применении	3	3
105	в данном	4	3
106	о том	4	3
107	дело в	2	3
108	там где	6	3
109	большинстве случаев	5	3
110	отметить что	7	3
111	культурного творчества	3	2
112	что все	2	2
113	не могут	2	2
114	и более	2	2
115	а не	5	2
116	в этих	2	2
117	в какой	2	2
118	и во	2	2
119	в большинстве	5	2
120	и все	3	2
121	к нему	10	2
122	для понимания	2	2
123	есть не	2	2
124	и эта	2	2
125	не нужно	5	2
126	и как	8	2
127	но как	2	2
128	между ними	4	2
129	должна быть	4	2
130	не можем	2	2
131	что это	2	2
132	она не	2	2
133	не к	6	2
134	имеет место	5	2
135	дело идет	2	2
136	он не	3	2
137	человеческой культуры	6	2
138	в его	43	2
139	помнить что	3	2
140	в котором	2	2
141	точка зрения	3	2
142	не есть	6	2
143	техника в	2	2
144	в мире	3	2
145	в некоторых	2	2
146	данном случае	4	2
147	а в	6	2
148	таким образом	10	2
149	если бы	3	2
150	на них	3	2
151	и других	2	2
152	но с	3	2
153	культуры и	3	2
154	и что	2	2
155	в значительной	2	2
156	или точнее	2	2
157	и наконец	6	2
158	другой стороны	4	2
159	в других	4	2
160	с другими	3	2
161	на основе	6	2
162	или в	2	2
163	в своих	2	2
164	и с	17	2
165	хотя и	3	2
166	могут быть	5	2
167	в истории	2	2
168	мы должны	2	2
169	далеко не	5	2
170	можем сказать	2	2
