N	2gram	Berdyaev_M_2	Vladivir
1	и в	46	31
2	не только	18	24
3	но и	15	19
4	то что	5	18
5	и не	18	17
6	у него	22	15
7	он был	9	14
8	том что	4	14
9	что в	4	14
10	в этом	20	14
11	и с	3	14
12	что он	7	12
13	в его	5	12
14	но в	10	12
15	с его	4	11
16	в том	3	11
17	потому что	12	11
18	о том	3	11
19	так что	2	10
20	также и	4	10
21	он не	10	10
22	никогда не	18	9
23	а в	2	9
24	только в	3	9
25	в конце	5	9
26	так как	8	8
27	уже в	2	7
28	для него	18	7
29	и его	5	7
30	сказать что	3	7
31	е в	2	7
32	и к	7	6
33	у нас	11	6
34	и потому	7	6
35	может быть	21	6
36	так и	4	6
37	не может	15	6
38	то же	5	6
39	и что	2	6
40	то он	2	6
41	не был	2	5
42	не в	9	5
43	и если	2	5
44	со своим	2	5
45	и от	3	5
46	что и	4	5
47	жизни и	6	5
48	что же	2	5
49	не было	11	5
50	в своих	3	5
51	но он	11	5
52	с ним	3	5
53	я не	5	4
54	в своем	8	4
55	что у	4	4
56	и все	5	4
57	в нем	22	4
58	к ней	2	4
59	в себе	10	4
60	да и	2	4
61	как и	13	4
62	в этой	7	4
63	по своей	3	4
64	совсем не	5	4
65	такого рода	2	4
66	он уже	2	4
67	хотя и	2	4
68	еще в	2	4
69	один из	5	4
70	в нашем	7	4
71	себя в	4	4
72	в своей	5	4
73	говорит что	2	4
74	во всем	5	4
75	как он	3	4
76	в россии	3	4
77	к нему	2	4
78	в которой	2	4
79	мы увидим	2	3
80	но на	2	3
81	к тому	5	3
82	в жизни	4	3
83	как в	7	3
84	к своему	2	3
85	это была	2	3
86	но это	8	3
87	что они	3	3
88	всю жизнь	3	3
89	ничего не	2	3
90	тот же	2	3
91	на его	2	3
92	отношение к	8	3
93	вместе с	2	3
94	в отношении	5	3
95	и вот	5	3
96	не мог	3	3
97	уже не	4	3
98	и он	11	3
99	и всегда	3	3
100	жизнь и	4	3
101	был для	2	3
102	и на	3	3
103	он в	3	3
104	и здесь	6	3
105	но этот	2	3
106	но она	2	3
107	место в	2	2
108	тем что	3	2
109	он сам	6	2
110	в них	3	2
111	хотя бы	7	2
112	что все	5	2
113	на все	3	2
114	и можно	3	2
115	ни в	3	2
116	это и	3	2
117	на этом	2	2
118	все что	4	2
119	и тот	2	2
120	того что	6	2
121	в самом	5	2
122	с которым	3	2
123	отношением к	2	2
124	в социализме	4	2
125	который был	2	2
126	что она	5	2
127	русской истории	3	2
128	я никогда	2	2
129	как к	2	2
130	и для	7	2
131	россии и	2	2
132	чем не	2	2
133	и других	2	2
134	жизнь в	6	2
135	лишь в	2	2
136	и за	2	2
137	того чтобы	4	2
138	для того	5	2
139	и никогда	3	2
140	той же	3	2
141	он так	2	2
142	ума и	4	2
143	точки зрения	2	2
144	к себе	2	2
145	его на	4	2
146	и это	5	2
147	в чем	3	2
148	бога и	5	2
