N	2gram	Ircho_Kome_1	DiskursI
1	в себе	2	19
2	при этом	5	17
3	в качестве	4	16
4	и в	22	16
5	может быть	9	16
6	как и	9	16
7	в этом	3	16
8	и не	8	15
9	в частности	3	12
10	отличие от	2	12
11	но и	11	11
12	но в	4	11
13	том что	12	10
14	не только	10	10
15	со стороны	2	10
16	такого рода	6	9
17	так и	5	9
18	не может	2	9
19	в том	11	8
20	а также	4	8
21	как в	5	8
22	в рамках	2	7
23	не менее	3	7
24	прежде всего	5	7
25	в нем	4	7
26	ни в	6	7
27	но не	2	7
28	еще не	2	6
29	все же	3	6
30	то же	6	6
31	в своих	2	6
32	по своей	2	6
33	в противоположность	2	5
34	что в	6	5
35	с другой	5	5
36	нового времени	5	5
37	же время	4	5
38	то что	2	5
39	и на	3	5
40	в то	10	5
41	в одном	8	4
42	одного из	6	4
43	к этому	4	4
44	одной стороны	3	4
45	отношению к	3	4
46	по отношению	3	4
47	этом отношении	3	4
48	с одной	3	4
49	в период	2	4
50	потому что	5	4
51	точки зрения	4	4
52	в этой	7	4
53	о том	8	4
54	могут быть	3	3
55	в них	3	3
56	столь же	2	3
57	и все	3	3
58	и как	3	3
59	не в	6	3
60	здесь в	3	3
61	он не	3	3
62	в его	5	3
63	еще в	5	3
64	в котором	4	3
65	принадлежит к	2	3
66	из них	10	3
67	и ее	3	3
68	и его	8	3
69	но это	2	3
70	в другом	4	3
71	как будто	2	3
72	только в	3	3
73	не следует	2	3
74	его в	3	3
75	одном из	4	3
76	место в	3	2
77	же как	3	2
78	и одновременно	3	2
79	а сам	2	2
80	в целом	3	2
81	идет о	3	2
82	что он	6	2
83	по свидетельству	2	2
84	а к	2	2
85	такой же	2	2
86	времени и	2	2
87	перед лицом	3	2
88	того же	2	2
89	первую очередь	3	2
90	это еще	2	2
91	отношение к	3	2
92	со своим	5	2
93	в первую	2	2
94	для себя	2	2
95	что и	4	2
96	с ее	2	2
97	не к	2	2
98	вместе с	2	2
99	именно в	4	2
100	в себя	2	2
101	там же	3	2
102	все это	5	2
103	в принципе	2	2
104	другой стороны	5	2
105	а в	6	2
106	в результате	4	2
107	и с	3	2
108	или по	2	2
109	в области	2	2
110	между тем	5	2
