N	3gram	Tiupa_Anal_1	Literetu
1	то же время	6	7
2	в то же	8	7
3	в отличие от	6	5
4	в этом отношении	2	5
5	к тому же	4	5
6	в данном случае	2	4
7	о том что	3	4
8	с одной стороны	3	4
9	в том что	9	4
10	по отношению к	5	4
11	в том числе	3	3
12	начале х годов	2	3
13	с точки зрения	4	3
14	не может быть	16	3
15	в начале х	2	3
16	то ни было	3	2
17	той или иной	6	2
18	то же самое	2	2
19	с другой стороны	2	2
20	состоит в том	3	2
21	бы то ни	3	2
22	из того что	3	2
23	в самом деле	2	2
24	подобно тому как	3	2
25	в том чтобы	7	2
26	но и не	4	2
27	себя в другом	3	2
28	но и в	2	2
29	другого в себе	2	2
