N	2gram	Vinokur_St_3	Myslijsy
1	потому что	5	52
2	то есть	2	42
3	и в	25	39
4	в языке	8	33
5	может быть	19	27
6	в том	20	26
7	только в	6	25
8	что в	19	22
9	не может	7	22
10	а не	5	21
11	так как	3	21
12	не только	12	21
13	но и	9	20
14	и не	10	18
15	том что	15	16
16	так что	11	16
17	не в	6	15
18	в этом	24	15
19	если бы	4	14
20	так и	5	13
21	таким образом	10	13
22	было бы	7	12
23	мы не	2	10
24	а потому	2	10
25	что не	2	10
26	то что	12	10
27	как в	6	10
28	и что	3	10
29	могут быть	2	9
30	как и	4	9
31	тем что	19	9
32	тогда когда	2	9
33	но в	5	9
34	но не	2	8
35	вместе с	2	8
36	со стороны	3	8
37	того что	5	8
38	точки зрения	7	8
39	с другой	5	7
40	на язык	3	7
41	в ней	4	7
42	с этим	7	7
43	это не	7	7
44	то и	2	7
45	в этих	11	7
46	не менее	2	6
47	независимо от	5	6
48	от нее	3	6
49	тем не	2	6
50	еще не	2	6
51	как бы	6	6
52	все же	4	6
53	и т	8	6
54	то же	5	6
55	и по	2	6
56	между собою	2	6
57	в каком	4	6
58	с тем	4	5
59	вовсе не	2	5
60	несмотря на	3	5
61	но это	4	5
62	то в	4	5
63	только тогда	2	5
64	в его	12	5
65	другой стороны	5	5
66	во всех	2	5
67	а в	6	5
68	и для	4	5
69	во втором	2	5
70	не имеет	2	5
71	и его	3	5
72	между тем	6	5
73	никогда не	2	4
74	этом смысле	4	4
75	прежде всего	10	4
76	в свою	2	4
77	в смысле	4	4
78	мы видим	4	4
79	же время	3	4
80	для него	3	4
81	каждый раз	2	4
82	к тому	2	4
83	от того	2	4
84	в своих	8	4
85	в каждом	4	4
86	т п	6	4
87	том смысле	2	4
88	т д	2	4
89	не было	4	4
90	и других	2	4
91	быть не	2	4
92	из этих	6	4
93	в то	7	4
94	что мы	3	4
95	что это	16	3
96	тому что	3	3
97	в них	5	3
98	и во	2	3
99	и это	5	3
100	в жизни	4	3
101	что все	3	3
102	показывает что	3	3
103	самого начала	2	3
104	с самого	2	3
105	в этой	14	3
106	того же	2	3
107	одной стороны	3	3
108	все более	2	3
109	в своей	4	3
110	что если	2	3
111	относится к	4	3
112	для того	2	3
113	и тем	4	3
114	связи с	3	3
115	в самом	2	3
116	в словах	3	3
117	по мнению	3	3
118	с одной	2	3
119	заключается в	2	3
120	не мог	2	3
121	к этой	2	3
122	не так	3	3
123	как на	6	3
124	той же	2	3
125	что для	3	3
126	что по	3	3
127	тем как	2	3
128	сказать что	4	3
129	во всяком	4	3
130	одно из	2	3
131	он не	5	3
132	с точки	4	3
133	к которому	3	3
134	и с	4	3
135	но как	2	3
136	более и	2	2
137	то она	2	2
138	и более	3	2
139	по этому	3	2
140	все они	3	2
141	но он	3	2
142	с этой	3	2
143	по крайней	4	2
144	одного из	2	2
145	была бы	4	2
146	связь с	4	2
147	ср с	3	2
148	как например	8	2
149	что именно	2	2
150	на то	5	2
151	а как	4	2
152	как мы	2	2
153	о которых	3	2
154	в г	12	2
155	уже не	3	2
156	у нас	4	2
157	но все	2	2
158	и может	2	2
159	г д	2	2
160	на себе	2	2
161	в сущности	2	2
162	xviii в	3	2
163	между прочим	3	2
164	и если	3	2
165	к ней	4	2
166	на что	2	2
167	в виду	2	2
168	взгляд на	2	2
169	которое он	2	2
170	крайней мере	4	2
171	с ее	2	2
172	в целом	4	2
173	из этого	4	2
174	в их	3	2
175	только что	2	2
176	тем более	3	2
177	для этого	2	2
178	и только	2	2
179	времени и	2	2
180	в течение	4	2
181	языка к	2	2
182	или в	2	2
183	во многих	2	2
184	то он	2	2
185	известно что	2	2
186	если и	2	2
187	в начале	4	2
188	его к	2	2
189	о том	8	2
190	при помощи	2	2
191	и всегда	2	2
192	есть в	2	2
193	так сказать	2	2
194	заметить что	2	2
195	не потому	2	2
196	в которой	4	2
197	и которые	2	2
