N	2gram	Vygotskiy__3	SlovoVZh
1	не может	7	16
2	точки зрения	16	14
3	может быть	19	14
4	и его	6	13
5	как бы	14	13
6	таким образом	12	12
7	и в	38	12
8	и не	10	10
9	если бы	14	9
10	так как	6	9
11	для нас	8	7
12	сказать что	4	7
13	в нем	4	6
14	все время	30	6
15	при этом	4	6
16	в том	25	6
17	только в	4	6
18	в ней	15	6
19	то что	35	5
20	должна быть	5	5
21	никогда не	4	5
22	а не	7	5
23	то же	10	5
24	хотя бы	2	5
25	как и	8	5
26	том что	14	5
27	отнюдь не	2	5
28	как в	4	5
29	и следовательно	2	5
30	но в	3	5
31	в виду	4	5
32	и к	3	4
33	все же	8	4
34	с другой	7	4
35	на самом	2	4
36	уже не	2	4
37	что не	3	4
38	как если	3	4
39	не в	12	4
40	в этом	13	4
41	мы все	4	4
42	и на	6	4
43	его в	3	4
44	в самом	25	4
45	не только	12	4
46	в котором	6	3
47	в них	3	3
48	и уже	2	3
49	и более	2	3
50	не к	3	3
51	когда он	4	3
52	в своей	5	3
53	сих пор	5	3
54	все это	3	3
55	как к	2	3
56	не должна	2	3
57	и по	2	3
58	все эти	4	3
59	так называемой	3	3
60	ясно что	6	3
61	в такой	3	3
62	но и	5	3
63	того что	4	3
64	и наконец	2	3
65	или не	2	3
66	ни в	3	3
67	так же	2	3
68	самом деле	21	3
69	мы не	5	3
70	о том	6	3
71	и ее	2	3
72	в себе	4	3
73	для него	2	3
74	до сих	6	3
75	и для	4	3
76	конечно не	4	3
77	из этого	8	3
78	здесь не	3	3
79	с ним	2	3
80	между тем	7	3
81	как только	3	2
82	место в	3	2
83	автора и	2	2
84	и значение	3	2
85	с этой	2	2
86	но мы	2	2
87	что и	4	2
88	что в	20	2
89	данном случае	2	2
90	вместе с	5	2
91	в этих	2	2
92	от этой	2	2
93	все они	2	2
94	между собой	2	2
95	в своем	5	2
96	в какой	5	2
97	другой стороны	5	2
98	смысл и	4	2
99	и все	10	2
100	бы не	3	2
101	и другие	2	2
102	с одной	6	2
103	была бы	2	2
104	к этому	3	2
105	что поэт	2	2
106	конечно в	3	2
107	его к	2	2
108	и что	18	2
109	едва ли	3	2
110	можем сказать	2	2
111	не так	3	2
112	с точки	9	2
113	и здесь	6	2
114	как же	2	2
115	же самое	10	2
116	как на	3	2
117	и дает	2	2
118	но это	3	2
119	такой же	2	2
120	в данном	2	2
121	и то	8	2
122	мы можем	7	2
123	но что	2	2
124	одно и	3	2
125	до конца	2	2
126	она не	6	2
127	в то	3	2
128	одной стороны	5	2
129	и совершенно	4	2
130	на это	3	2
131	мы в	2	2
132	действия и	2	2
133	и та	2	2
134	на примере	2	2
135	имеет место	2	2
136	там где	6	2
137	как это	6	2
138	к ним	3	2
139	ничего не	2	2
140	к его	2	2
141	совпадает с	2	2
142	он не	6	2
143	в его	5	2
144	из него	4	2
