N	2gram	Kanaev_Sov_1	slovoVRo
1	и в	7	39
2	может быть	12	37
3	не только	4	24
4	и не	6	22
5	не может	17	20
6	в нем	3	19
7	все это	3	16
8	в этом	7	16
9	а не	3	14
10	отличие от	2	13
11	в отличие	2	12
12	не в	3	9
13	прежде всего	5	8
14	таким образом	11	8
15	точки зрения	12	8
16	при этом	3	7
17	еще не	3	7
18	в его	2	7
19	как бы	4	7
20	и потому	3	7
21	и даже	2	7
22	как мы	2	7
23	могут быть	2	7
24	и к	3	6
25	все же	3	6
26	как и	6	6
27	жизни и	4	6
28	все эти	5	6
29	так сказать	2	6
30	но в	3	6
31	не могут	2	5
32	это не	4	5
33	и все	3	5
34	для нас	3	5
35	но все	2	5
36	или иной	2	5
37	в том	4	5
38	с одной	2	5
39	уже не	2	5
40	и наконец	5	5
41	не менее	2	4
42	зависимости от	4	4
43	одна из	3	4
44	в зависимости	4	4
45	то же	3	4
46	с помощью	4	4
47	в таком	2	4
48	а в	4	4
49	так как	4	4
50	что в	2	3
51	точку зрения	4	3
52	в свою	2	3
53	на этом	2	3
54	у него	2	3
55	в некоторых	2	3
56	быть и	2	3
57	с точки	5	3
58	той же	2	3
59	необходимо отметить	2	3
60	может иметь	2	3
61	говорить о	2	3
62	во всяком	2	3
63	может не	3	2
64	уже в	3	2
65	в нашем	2	2
66	на котором	2	2
67	конечно в	2	2
68	в себе	3	2
69	она может	2	2
70	в дальнейшем	4	2
71	свою очередь	2	2
72	со всеми	2	2
73	в новых	2	2
74	значение в	2	2
75	всяком случае	2	2
76	но мы	3	2
77	на его	2	2
78	мы видели	4	2
79	не знаем	2	2
80	вместе с	4	2
81	отличается от	3	2
82	с этим	2	2
83	в виде	2	2
84	еще более	2	2
85	мы не	9	2
86	роль в	2	2
87	в результате	6	2
88	как он	3	2
89	в области	3	2
90	в одном	3	2
