N	2gram	Nazirov_Tv_2	Problemy
1	и в	20	46
2	то есть	5	40
3	и не	9	27
4	может быть	8	23
5	как бы	11	19
6	не может	7	19
7	в нем	3	17
8	у достоевского	30	16
9	в этом	8	16
10	не только	13	14
11	но и	8	12
12	как и	6	12
13	и на	5	11
14	в одном	2	11
15	а не	6	11
16	не в	4	10
17	прежде всего	8	9
18	в том	8	9
19	в самом	3	9
20	вовсе не	2	9
21	в его	10	9
22	до сих	3	8
23	достоевского в	9	8
24	сих пор	3	8
25	романах достоевского	13	7
26	и с	8	7
27	еще не	5	7
28	в себе	3	7
29	никогда не	11	6
30	но это	5	6
31	хотя и	4	6
32	друг друга	2	6
33	настасьи филипповны	4	6
34	но в	4	6
35	что он	6	6
36	что я	2	6
37	в романе	15	6
38	то же	7	6
39	все это	6	6
40	и он	2	6
41	и его	9	6
42	только в	2	6
43	это не	7	5
44	же время	7	5
45	при этом	8	5
46	и сам	5	5
47	в котором	3	5
48	по отношению	3	5
49	особенно в	2	5
50	рядом с	2	5
51	в то	10	5
52	так как	3	5
53	в романах	13	5
54	у него	6	5
55	о том	5	5
56	отношению к	3	5
57	так сказать	2	5
58	уже в	2	4
59	что в	7	4
60	например в	5	4
61	у тургенева	2	4
62	в их	3	4
63	таким образом	10	4
64	все эти	4	4
65	и других	2	4
66	и наконец	2	4
67	потому что	7	4
68	мы не	4	4
69	превращается в	3	4
70	как в	4	4
71	том что	4	4
72	но не	5	4
73	том же	2	4
74	он не	3	4
75	все же	5	4
76	то что	3	4
77	своего рода	3	4
78	в процессе	2	4
79	но эти	2	4
80	так и	6	4
81	приводит к	2	4
82	уже не	3	4
83	самом деле	2	4
84	героя и	2	4
85	настасья филипповна	4	4
86	с другой	2	3
87	человека и	3	3
88	князя мышкина	16	3
89	в мире	5	3
90	такой же	2	3
91	достоевского но	3	3
92	одним из	3	3
93	но если	2	3
94	преступления и	2	3
95	и наказания	2	3
96	другой стороны	2	3
97	так же	5	3
98	и только	2	3
99	и даже	5	3
100	в конце	6	3
101	их в	2	3
102	если бы	4	3
103	более того	2	3
104	и что	2	3
105	в своей	6	3
106	себя в	2	3
107	героев достоевского	5	3
108	него в	2	3
109	на него	2	3
110	в отличие	2	3
111	уже после	2	3
112	героя в	4	3
113	тем что	3	3
114	в этой	5	3
115	и это	3	3
116	отличие от	2	3
117	произведениях достоевского	2	3
118	не менее	2	2
119	он сам	3	2
120	мире достоевского	3	2
121	настасье филипповне	4	2
122	в одной	3	2
123	достоевского и	2	2
124	все время	2	2
125	в известной	4	2
126	в братьях	6	2
127	так что	2	2
128	в античной	3	2
129	же как	3	2
130	для него	3	2
131	в литературной	2	2
132	в первой	2	2
133	преступлении и	11	2
134	к жизни	2	2
135	не было	2	2
136	творчество достоевского	4	2
137	и по	2	2
138	а в	4	2
139	в которых	3	2
140	для достоевского	2	2
141	творчестве достоевского	4	2
142	с ним	3	2
143	между тем	3	2
144	романов достоевского	5	2
145	у пушкина	3	2
146	в духе	4	2
147	в преступлении	10	2
148	у нас	2	2
149	одна из	3	2
150	достоевского это	3	2
151	себя на	2	2
152	в произведениях	2	2
153	об этом	4	2
154	но ведь	2	2
155	нет и	2	2
156	братьях карамазовых	7	2
157	и наказании	10	2
158	когда он	4	2
159	самого достоевского	2	2
160	вместе с	3	2
161	к самому	2	2
162	так в	2	2
163	бы не	2	2
164	и через	3	2
165	героя с	2	2
166	на этот	2	2
167	главного героя	3	2
168	ничего не	4	2
169	этот вопрос	3	2
170	в рассказе	3	2
171	во всяком	2	2
172	могут быть	2	2
173	не могли	2	2
174	одном из	2	2
