N	2gram	Losev_Dial_1	Mirosoze
1	и в	18	46
2	в нем	16	22
3	это –	24	22
4	может быть	17	21
5	в этом	12	20
6	никогда не	9	18
7	для него	2	18
8	и не	30	18
9	не только	13	18
10	но и	7	15
11	не может	12	15
12	как и	2	13
13	не есть	40	13
14	а не	14	13
15	прежде всего	10	12
16	потому что	14	12
17	не было	6	11
18	в ней	3	11
19	и он	5	11
20	та же	3	10
21	но в	6	10
22	он не	3	10
23	в себе	11	10
24	не в	6	9
25	не знает	2	9
26	и есть	16	8
27	но это	8	8
28	он –	18	8
29	как бы	11	8
30	в своем	5	8
31	так как	11	8
32	отношение к	5	8
33	она не	6	8
34	на земле	2	8
35	в мире	2	7
36	что он	11	7
37	и потому	3	7
38	как в	2	7
39	хотя бы	6	7
40	и для	2	7
41	он сам	5	6
42	вопрос о	2	6
43	что это	11	6
44	так же	4	6
45	того что	2	6
46	нем есть	6	6
47	жизни и	3	6
48	не могу	4	6
49	то же	10	5
50	я не	5	5
51	бы и	2	5
52	в отношении	5	5
53	и вот	6	5
54	в самом	3	5
55	один из	3	5
56	что она	7	5
57	это не	9	5
58	в конце	4	5
59	тот кто	2	5
60	друг к	2	5
61	и все	3	5
62	есть не	3	5
63	во всем	2	5
64	к тому	4	5
65	к другу	2	5
66	то что	13	5
67	в своей	2	5
68	для того	2	5
69	образ и	4	5
70	в его	3	5
71	и это	2	5
72	что в	13	4
73	тому что	3	4
74	для этого	2	4
75	только и	4	4
76	не имеет	15	4
77	также и	7	4
78	думать что	3	4
79	том что	9	4
80	что и	3	4
81	так и	9	4
82	т е	25	4
83	уже не	2	4
84	у них	3	4
85	жизнь и	3	4
86	на деле	2	4
87	же как	2	3
88	и от	2	3
89	в каждом	2	3
90	одна и	2	3
91	идеи и	5	3
92	ни в	15	3
93	в том	9	3
94	лишь как	2	3
95	что они	3	3
96	для чего	2	3
97	– не	11	3
98	сказать что	10	3
99	и с	5	3
100	о том	4	3
101	как он	4	3
102	с ним	6	3
103	не существует	7	3
104	они были	2	3
105	если бы	12	3
106	в них	3	3
107	это и	4	3
108	есть и	5	3
109	до сих	2	3
110	сих пор	2	3
111	и тогда	2	3
112	все равно	3	3
113	чтобы не	2	3
114	идея и	7	3
115	только в	3	3
116	отношении к	3	3
117	только с	3	3
118	в чем	6	3
119	а лишь	3	2
120	не был	2	2
121	науки и	5	2
122	в этих	5	2
123	всегда есть	2	2
124	быть может	4	2
125	или иной	3	2
126	что человек	2	2
127	но эта	3	2
128	да и	6	2
129	нас не	2	2
130	так что	15	2
131	это есть	9	2
132	как у	2	2
133	тут не	4	2
134	она есть	5	2
135	хотя и	4	2
136	же и	2	2
137	к нему	8	2
138	но она	3	2
139	я никогда	2	2
140	отношения к	3	2
141	в разных	3	2
142	должно быть	3	2
143	его не	6	2
144	а в	5	2
145	них есть	2	2
146	в основе	3	2
147	не о	4	2
148	точки зрения	17	2
149	бы в	3	2
150	нет ни	2	2
151	на этом	2	2
152	идеей и	2	2
153	и та	3	2
154	к богу	3	2
155	были бы	2	2
156	его с	3	2
157	– в	4	2
158	то он	2	2
159	по себе	25	2
160	– то	2	2
161	мы видим	4	2
162	то в	7	2
163	– это	9	2
164	– вот	3	2
165	и что	12	2
166	мы увидим	2	2
167	к свету	3	2
168	себе и	2	2
169	к ней	4	2
170	нем нет	3	2
171	быть и	4	2
172	дальше и	2	2
173	к самому	2	2
174	что же	3	2
175	– все	6	2
176	еще более	3	2
177	но с	3	2
178	говорит что	3	2
179	что не	7	2
180	и эта	2	2
181	можно было	5	2
182	от этого	3	2
183	сам по	6	2
184	сознания и	3	2
185	образа и	2	2
186	ничего не	17	2
