N	2gram	Savitsky_E_1	Narrotol
1	не только	18	31
2	но и	14	27
3	и не	14	23
4	может быть	6	15
5	в частности	5	14
6	в качестве	14	14
7	как и	7	13
8	а не	2	13
9	а в	2	13
10	только в	9	12
11	в этом	12	12
12	и в	37	11
13	в данном	3	11
14	то что	6	9
15	то есть	6	9
16	то же	15	8
17	в том	11	8
18	данном случае	2	8
19	со стороны	5	8
20	не может	9	8
21	иначе говоря	2	8
22	представляет собой	3	8
23	если бы	2	7
24	том что	6	7
25	но в	14	7
26	к тому	8	6
27	а также	7	6
28	не в	5	6
29	в самом	4	6
30	как бы	6	6
31	жизни и	2	6
32	во втором	2	6
33	или в	2	6
34	в себе	9	6
35	в его	2	6
36	в этой	2	6
37	можно сказать	4	5
38	той или	4	5
39	точка зрения	2	5
40	в своей	8	5
41	так и	10	5
42	тем самым	5	5
43	столь же	5	5
44	и на	6	5
45	потому что	3	5
46	точки зрения	23	5
47	никогда не	3	4
48	или иной	4	4
49	что на	2	4
50	то в	4	4
51	но не	5	4
52	же время	14	4
53	прежде всего	9	4
54	к нему	2	4
55	имеет место	2	4
56	в ней	4	4
57	и тем	3	4
58	в мире	2	4
59	из них	3	4
60	по себе	4	4
61	как в	3	4
62	того что	7	4
63	того чтобы	6	4
64	хотя и	2	4
65	на себя	3	4
66	в то	16	4
67	о том	3	4
68	в одном	2	4
69	мира в	4	4
70	он сам	2	3
71	что в	21	3
72	в своем	14	3
73	большей части	2	3
74	идет о	3	3
75	и как	2	3
76	но как	2	3
77	но именно	2	3
78	для того	6	3
79	он не	2	3
80	не является	3	3
81	начиная с	2	3
82	этом отношении	3	3
83	именно в	4	3
84	мы не	4	3
85	и то	2	3
86	также и	7	3
87	и с	2	3
88	как будто	2	3
89	и все	2	3
90	всего лишь	3	3
91	как это	4	3
92	между тем	8	3
93	в известном	3	2
94	исключительно в	2	2
95	для них	2	2
96	отнюдь не	9	2
97	в этих	2	2
98	между собой	2	2
99	в свою	3	2
100	на то	6	2
101	по своим	3	2
102	как мы	5	2
103	же в	2	2
104	известном смысле	3	2
105	и того	2	2
106	свою очередь	2	2
107	по своему	7	2
108	между ними	2	2
109	в пределах	25	2
110	она не	2	2
111	в случае	2	2
112	меньшей степени	2	2
113	к ним	3	2
114	всяком случае	3	2
115	если в	2	2
116	не имеет	4	2
117	хотя бы	15	2
118	не будет	3	2
119	вместе с	2	2
120	в сфере	3	2
121	заключает в	3	2
122	другой стороны	2	2
123	жизни в	3	2
124	и только	3	2
125	она в	3	2
126	в той	5	2
127	и даже	6	2
128	и притом	4	2
129	с другой	7	2
130	и для	3	2
131	в таком	3	2
132	в результате	3	2
133	сказать что	4	2
134	во всяком	3	2
135	мы можем	3	2
136	и от	3	2
137	и еще	2	2
138	дело в	3	2
139	в области	11	2
