N	2gram	Tiupa_Teor_1	Istorich
1	не только	16	18
2	может быть	17	17
3	никогда не	4	15
4	и в	18	15
5	мы имеем	7	15
6	но и	9	14
7	так же	2	13
8	что в	9	12
9	а в	13	12
10	то что	3	12
11	об этом	2	11
12	в этих	3	11
13	и не	13	11
14	в этом	8	11
15	его в	2	10
16	то же	7	10
17	еще не	4	9
18	и здесь	2	9
19	в другом	3	9
20	потому что	3	9
21	один из	2	8
22	он не	3	8
23	том что	9	7
24	в нем	4	7
25	вместе с	2	7
26	таким образом	3	7
27	не в	7	7
28	в его	6	6
29	как бы	5	6
30	что и	2	6
31	и что	3	6
32	в том	16	6
33	только в	6	6
34	но в	9	6
35	прежде всего	2	5
36	в одном	2	5
37	к тому	2	5
38	как в	5	5
39	так и	10	5
40	что она	2	5
41	не может	4	5
42	а не	9	5
43	имеем в	3	5
44	в русской	6	5
45	представляет собой	9	5
46	к которому	3	5
47	с одной	2	4
48	и другие	2	4
49	в этой	3	4
50	при этом	12	4
51	одной из	2	4
52	но он	3	4
53	дело не	2	4
54	в себе	9	4
55	все эти	2	4
56	в качестве	24	3
57	и его	8	3
58	из этих	3	3
59	как это	8	3
60	одной стороны	2	3
61	говорит что	2	3
62	мог бы	3	3
63	отношению к	4	3
64	а именно	2	3
65	в их	2	3
66	все это	2	3
67	по отношению	4	3
68	так в	4	3
69	в себя	3	3
70	того что	4	3
71	роль в	2	3
72	как будто	2	3
73	и это	2	3
74	тот кто	2	2
75	я не	2	2
76	могут быть	4	2
77	он должен	2	2
78	перед нами	2	2
79	с другой	7	2
80	это не	2	2
81	в жизни	2	2
82	не знает	3	2
83	ни в	2	2
84	именно в	3	2
85	как и	4	2
86	таких случаях	2	2
87	но не	9	2
88	в глаза	2	2
89	могла бы	2	2
90	мы в	2	2
91	и для	2	2
92	а также	6	2
93	не все	3	2
94	ее в	2	2
95	с ее	3	2
96	принадлежит к	3	2
97	приводит к	5	2
98	и одной	2	2
99	другой стороны	5	2
100	а с	3	2
101	ключ к	2	2
102	превращается в	2	2
103	тем самым	4	2
104	к чему	2	2
105	и по	2	2
106	или в	3	2
107	с другими	5	2
108	и то	2	2
109	сказать что	3	2
110	состоит в	17	2
111	и ее	3	2
112	слова в	2	2
113	их в	3	2
114	в которой	2	2
115	в виду	5	2
