N	2gram	Propp_Isto_5	Sovremen
1	не может	6	17
2	точки зрения	2	12
3	может быть	17	12
4	таким образом	9	11
5	мы не	5	9
6	в этом	10	7
7	и в	25	7
8	и не	11	6
9	как и	7	6
10	мы можем	2	6
11	ничего не	2	6
12	прежде всего	6	5
13	все эти	8	5
14	как бы	2	4
15	мы видели	7	4
16	в целом	3	4
17	жизни и	2	4
18	вместе с	22	4
19	это не	6	4
20	а в	3	4
21	вопрос о	2	4
22	не только	13	4
23	в том	6	4
24	в дальнейшем	4	4
25	их в	3	4
26	из них	2	4
27	мы должны	4	4
28	так как	11	4
29	уже в	2	3
30	состоит из	3	3
31	но мы	3	3
32	все же	10	3
33	на этой	4	3
34	видели что	2	3
35	он может	2	3
36	все это	4	3
37	то же	4	3
38	ясно что	5	3
39	в нем	7	3
40	а не	2	3
41	из двух	2	3
42	для нас	5	3
43	не в	6	3
44	в этой	3	3
45	одна из	2	3
46	еще не	8	3
47	и мы	2	3
48	и все	3	3
49	и потому	2	3
50	совершенно не	2	2
51	только один	3	2
52	не знаем	3	2
53	что это	5	2
54	не менее	4	2
55	в виде	9	2
56	в некоторых	4	2
57	у него	2	2
58	не будем	5	2
59	или же	3	2
60	что все	4	2
61	с одной	7	2
62	как мы	5	2
63	уже не	11	2
64	в свою	3	2
65	самом деле	2	2
66	и что	8	2
67	роль в	2	2
68	что при	3	2
69	и пр	3	2
70	из которых	2	2
71	и по	2	2
72	тем не	4	2
73	мы знаем	8	2
74	мы видим	8	2
75	но все	5	2
76	такой же	2	2
77	на этом	3	2
78	знаем что	6	2
79	а на	2	2
80	могут быть	6	2
81	с этим	5	2
82	этой стадии	3	2
83	и они	2	2
84	что в	8	2
85	с другом	2	2
86	которой он	2	2
87	некоторое время	2	2
88	друг с	2	2
89	в которой	4	2
90	в его	12	2
91	в которую	2	2
