N	2gram	Tiupa_Narr_2	PoTuStor
1	может быть	10	17
2	и в	13	16
3	прежде всего	6	9
4	таким образом	5	9
5	в этом	13	9
6	и его	3	8
7	точки зрения	5	8
8	не может	8	8
9	с его	3	7
10	сказать что	3	7
11	не только	26	7
12	и к	6	6
13	с точки	2	6
14	самом деле	3	6
15	для него	4	6
16	при этом	14	6
17	все эти	3	5
18	в чем	2	5
19	еще не	2	5
20	как бы	6	5
21	в него	2	5
22	в нем	5	4
23	отнюдь не	4	4
24	но и	15	4
25	так и	9	4
26	хотя бы	2	4
27	и все	4	4
28	и не	14	4
29	на самом	2	4
30	можно сказать	6	4
31	и даже	3	4
32	с ними	3	4
33	в этой	4	4
34	все что	4	4
35	только в	11	4
36	но в	6	4
37	в его	6	4
38	во время	2	3
39	что в	4	3
40	жизни и	4	3
41	к себе	7	3
42	те же	2	3
43	в том	14	3
44	а в	9	3
45	том что	13	3
46	то что	8	3
47	только на	2	3
48	едва ли	3	3
49	мира и	3	3
50	как это	4	3
51	в области	2	3
52	в конечном	3	3
53	не менее	4	2
54	один из	3	2
55	что и	2	2
56	в душе	2	2
57	моей жизни	2	2
58	же как	2	2
59	не будет	2	2
60	конечном счете	3	2
61	в частности	11	2
62	никогда не	6	2
63	между собой	3	2
64	оно не	2	2
65	с этой	3	2
66	из этих	2	2
67	в жизни	6	2
68	то же	4	2
69	с нею	2	2
70	быть может	2	2
71	в итоге	3	2
72	сводится к	9	2
73	что он	5	2
74	мы не	2	2
75	и т.п	6	2
76	у него	6	2
77	и по	3	2
78	но зато	2	2
79	и для	3	2
80	для нас	2	2
81	как и	4	2
82	они не	2	2
83	так же	2	2
84	но это	2	2
85	по своему	2	2
86	он не	5	2
87	при всей	4	2
88	говорить о	2	2
89	в начале	2	2
90	на протяжении	5	2
91	было бы	2	2
92	со всеми	2	2
93	что это	4	2
94	все то	2	2
95	о том	5	2
96	в самом	2	2
97	во сне	2	2
98	в своей	4	2
99	с ним	4	2
100	можно назвать	2	2
