N	2gram	Vinokur_St_2	Literetu
1	не только	19	24
2	при этом	2	19
3	в качестве	5	17
4	но и	19	17
5	а не	5	16
6	в том	27	16
7	в частности	4	15
8	том что	27	14
9	может быть	2	13
10	тогда как	2	13
11	в году	3	13
12	и не	9	12
13	в этом	21	12
14	прежде всего	5	11
15	в своем	9	11
16	своего рода	5	11
17	такого рода	2	10
18	то что	11	10
19	в русской	5	10
20	не в	4	8
21	и в	29	8
22	только в	2	8
23	как это	2	8
24	не менее	3	7
25	я не	7	7
26	в его	13	7
27	как бы	5	7
28	в себе	2	7
29	и я	2	6
30	как и	2	6
31	и сам	2	6
32	связи с	4	6
33	того что	5	6
34	точки зрения	5	6
35	xix века	3	6
36	с его	2	5
37	с этой	2	5
38	что он	13	5
39	а также	2	5
40	искусства и	2	5
41	как в	3	5
42	не может	2	5
43	то же	2	5
44	в отличие	2	5
45	одним из	6	5
46	в данном	2	5
47	не столько	7	5
48	в то	2	5
49	отличие от	2	5
50	в конце	2	4
51	но не	3	4
52	еще в	2	4
53	все же	6	4
54	из них	3	4
55	в своей	7	4
56	со стороны	2	4
57	так и	9	4
58	никогда не	3	4
59	и его	6	4
60	как раз	8	4
61	в этой	2	4
62	не было	3	3
63	на рубеже	3	3
64	что в	19	3
65	с другой	4	3
66	самого пушкина	3	3
67	не должен	2	3
68	что ему	3	3
69	например в	3	3
70	в самом	7	3
71	несмотря на	2	3
72	не мог	3	3
73	том же	2	3
74	и др	2	3
75	в их	3	3
76	таким образом	10	3
77	еще и	3	3
78	тем же	2	3
79	и даже	3	3
80	потому что	9	3
81	во всяком	3	3
82	но в	8	3
83	также и	2	3
84	его в	2	3
85	дело в	4	3
86	в области	2	3
87	в виду	7	3
88	а как	4	2
89	по этому	2	2
90	дело не	2	2
91	к тому	10	2
92	тем не	2	2
93	тому же	3	2
94	из его	2	2
95	в другом	4	2
96	что я	2	2
97	в москве	2	2
98	того же	2	2
99	для него	4	2
100	своего времени	4	2
101	было бы	5	2
102	по поводу	8	2
103	xviii века	2	2
104	всяком случае	3	2
105	на почве	2	2
106	даже в	2	2
107	не является	3	2
108	не могло	3	2
109	в нем	4	2
110	пушкина в	18	2
111	не к	2	2
112	могло быть	3	2
113	не на	2	2
114	для своего	2	2
115	этом отношении	9	2
116	все эти	2	2
117	самом деле	3	2
118	что такое	2	2
119	хотя бы	3	2
120	с точки	2	2
121	между тем	5	2
122	тем что	3	2
123	на себя	3	2
124	на это	2	2
125	о том	17	2
126	как он	2	2
127	в россии	3	2
128	поэзии и	2	2
