N	2gram	Bakhtin_fo_1	KulturaY
1	и т	8	33
2	в том	9	30
3	и в	50	24
4	потому что	4	23
5	том что	4	21
6	т п	8	18
7	что в	5	17
8	того чтобы	5	17
9	для того	5	16
10	было бы	2	15
11	в этом	25	14
12	точки зрения	5	14
13	может быть	11	13
14	все же	6	12
15	таким образом	11	12
16	в его	13	12
17	и не	14	12
18	не в	5	11
19	только в	4	11
20	вовсе не	13	10
21	в самом	8	10
22	не только	9	10
23	хотя бы	2	10
24	если бы	5	9
25	то что	6	9
26	прежде всего	15	9
27	отношению к	5	9
28	того что	2	9
29	с точки	2	9
30	так как	6	9
31	а только	2	8
32	по отношению	3	8
33	то же	11	8
34	уже не	2	8
35	а не	3	8
36	как раз	13	8
37	тем что	2	8
38	в них	4	7
39	с другой	2	7
40	связи с	6	7
41	в качестве	3	7
42	как бы	2	7
43	вместе с	3	7
44	не может	6	7
45	с помощью	2	7
46	это не	6	7
47	так и	12	7
48	тогда когда	2	6
49	именно в	3	6
50	при этом	3	6
51	в ней	4	6
52	но и	8	6
53	все это	4	6
54	все эти	9	6
55	в которых	2	6
56	в которой	2	6
57	еще и	2	5
58	с тем	3	5
59	к тому	3	5
60	но не	5	5
61	еще не	5	5
62	что не	3	5
63	например в	6	5
64	этом отношении	3	5
65	в виду	3	5
66	в той	4	5
67	а в	3	5
68	и его	16	5
69	рядом с	2	5
70	в результате	6	5
71	во всяком	3	5
72	так сказать	7	5
73	с ним	2	5
74	и с	4	5
75	с его	9	4
76	в частности	6	4
77	в этих	3	4
78	к себе	4	4
79	и потому	3	4
80	в нем	24	4
81	же в	3	4
82	по существу	12	4
83	есть в	2	4
84	того же	8	4
85	в пределах	5	4
86	речи в	2	4
87	один из	3	4
88	что и	3	4
89	в целом	2	4
90	сих пор	3	4
91	до сих	3	4
92	как в	6	4
93	с этим	6	4
94	в самой	2	4
95	так же	6	4
96	роль в	9	4
97	и на	8	4
98	в данном	2	4
99	и является	2	4
100	слова и	2	4
101	там где	2	4
102	уже в	2	3
103	ясно что	2	3
104	на себя	2	3
105	была бы	2	3
106	или иной	2	3
107	в соответствии	2	3
108	соответствии с	2	3
109	в свою	2	3
110	и может	2	3
111	в сущности	3	3
112	не имеют	3	3
113	в котором	4	3
114	в истории	2	3
115	оно не	2	3
116	в своем	4	3
117	в связи	5	3
118	в особенности	9	3
119	не было	7	3
120	только и	5	3
121	в их	6	3
122	и даже	2	3
123	в таком	3	3
124	той же	2	3
125	с их	2	3
126	и то	4	3
127	хотя и	3	3
128	они не	3	3
129	в себе	3	3
130	здесь не	4	3
131	в одном	3	3
132	только к	3	2
133	для них	3	2
134	никогда не	2	2
135	в стороне	2	2
136	не является	2	2
137	одного и	5	2
138	и все	6	2
139	что все	2	2
140	значение и	3	2
141	не могут	3	2
142	что было	3	2
143	вопрос о	2	2
144	по себе	2	2
145	разумеется что	2	2
146	если мы	2	2
147	к своему	2	2
148	в то	9	2
149	для нас	2	2
150	и того	6	2
151	как и	8	2
152	и как	10	2
153	но все	5	2
154	лишь как	2	2
155	же время	9	2
156	в это	2	2
157	уже на	2	2
158	конечно не	4	2
159	в своей	2	2
160	по преимуществу	3	2
161	том же	2	2
162	же и	2	2
163	себе и	3	2
164	к жизни	2	2
165	был бы	3	2
166	ее в	2	2
167	ни в	8	2
168	он не	5	2
169	и для	4	2
170	в разных	5	2
171	лишь в	6	2
172	во втором	2	2
173	между ними	3	2
174	не имеет	4	2
175	или в	3	2
176	также и	2	2
177	в более	2	2
178	от этого	2	2
179	одно из	3	2
180	в каком	2	2
181	и еще	2	2
182	во все	2	2
183	здесь только	2	2
184	до конца	4	2
185	здесь как	2	2
186	ничего не	9	2
187	но в	10	2
