N	2gram	Losev_Vesc_1	SlovoVZh
1	не может	17	16
2	точки зрения	5	14
3	может быть	16	14
4	и его	2	13
5	как бы	12	13
6	таким образом	8	12
7	и в	21	12
8	и не	29	10
9	если бы	5	9
10	так как	7	9
11	прежде всего	9	8
12	для нас	2	7
13	сказать что	17	7
14	в нем	2	6
15	в том	8	6
16	только в	14	6
17	слова и	5	6
18	в ней	12	6
19	в жизни	3	5
20	то что	27	5
21	должна быть	4	5
22	никогда не	2	5
23	а не	19	5
24	можно сказать	6	5
25	то же	6	5
26	хотя бы	6	5
27	как и	8	5
28	том что	8	5
29	отнюдь не	5	5
30	что мы	14	5
31	и следовательно	7	5
32	но в	5	5
33	в виду	2	5
34	ни было	4	4
35	все же	4	4
36	жизни и	2	4
37	так и	3	4
38	от того	3	4
39	с другой	6	4
40	уже не	9	4
41	что не	5	4
42	не в	5	4
43	в этом	4	4
44	его в	2	4
45	дело в	4	4
46	в самом	9	4
47	свое выражение	3	4
48	не только	36	4
49	в котором	3	3
50	бы то	4	3
51	не менее	3	3
52	в своей	5	3
53	все это	5	3
54	как к	4	3
55	то ни	4	3
56	все эти	3	3
57	ясно что	8	3
58	по себе	13	3
59	слово в	2	3
60	но и	18	3
61	и пр	6	3
62	того что	8	3
63	или не	2	3
64	тем не	3	3
65	да и	3	3
66	самом деле	4	3
67	мы не	6	3
68	ведь и	5	3
69	и с	8	3
70	о том	6	3
71	и ее	18	3
72	в себе	14	3
73	для него	4	3
74	еще не	8	3
75	только на	3	3
76	и для	9	3
77	с ним	8	3
78	но для	2	3
79	как только	4	2
80	перестает быть	3	2
81	с этой	4	2
82	что и	3	2
83	независимо от	5	2
84	от всех	4	2
85	что в	9	2
86	данном случае	2	2
87	себя и	4	2
88	в своем	6	2
89	в отношении	4	2
90	другой стороны	2	2
91	это не	5	2
92	вещи и	20	2
93	смысл и	9	2
94	мы имеем	7	2
95	и все	5	2
96	тогда когда	5	2
97	этих двух	2	2
98	с одной	3	2
99	была бы	2	2
100	в себя	13	2
101	и что	15	2
102	не есть	49	2
103	с точки	3	2
104	и здесь	4	2
105	как же	3	2
106	стороны и	2	2
107	и притом	3	2
108	с другими	8	2
109	но это	10	2
110	в данном	5	2
111	и то	10	2
112	мы можем	4	2
113	но не	5	2
114	быть только	3	2
115	но что	2	2
116	одно и	5	2
117	выражение в	3	2
118	кроме того	4	2
119	она не	4	2
120	в то	3	2
121	одной стороны	3	2
122	ни на	3	2
123	на это	4	2
124	общения и	2	2
125	и самое	2	2
126	оно не	3	2
127	в чем	6	2
128	как это	2	2
129	ничего не	3	2
130	в его	2	2
131	и потому	5	2
132	относится к	5	2
133	между ними	3	2
