N	2gram	Bakhtin_KF_1	StatiiOP
1	и в	24	44
2	в том	6	36
3	что в	4	30
4	том что	4	29
5	в этом	14	21
6	вовсе не	7	19
7	то что	7	18
8	не только	5	18
9	было бы	8	17
10	а в	4	17
11	о том	3	17
12	и не	26	16
13	а не	17	16
14	может быть	45	15
15	в данном	2	14
16	в области	2	14
17	как в	2	13
18	не в	12	12
19	в этой	2	11
20	самом деле	3	11
21	того чтобы	2	11
22	точки зрения	12	11
23	ясно что	3	10
24	для того	3	10
25	что он	2	10
26	но и	9	10
27	но в	5	10
28	только в	16	10
29	если бы	8	9
30	в то	3	9
31	как и	5	9
32	того что	3	9
33	так и	2	9
34	в его	40	9
35	во всех	11	8
36	все же	5	8
37	не может	27	8
38	и его	17	8
39	это не	10	8
40	с точки	9	8
41	но ведь	5	8
42	я не	6	7
43	прежде всего	2	7
44	для нас	4	7
45	потому что	2	6
46	но это	6	6
47	для него	8	6
48	что и	7	6
49	в своей	10	6
50	со стороны	7	6
51	именно в	5	6
52	на самом	3	6
53	дело в	2	6
54	хотя бы	4	6
55	не менее	3	5
56	никогда не	5	5
57	совершенно не	6	5
58	в котором	24	5
59	в нем	28	5
60	в целом	10	5
61	жизни и	8	5
62	все это	10	5
63	то же	5	5
64	и то	2	5
65	тем что	3	5
66	могут быть	3	5
67	все эти	10	5
68	там где	5	5
69	что это	3	4
70	вопрос о	2	4
71	или иного	3	4
72	бы и	3	4
73	в ее	16	4
74	это и	2	4
75	же время	2	4
76	но все	5	4
77	но я	2	4
78	в качестве	2	4
79	того или	3	4
80	как бы	9	4
81	дело не	2	4
82	не было	8	4
83	еще более	2	4
84	не имеет	5	4
85	в основе	5	3
86	а с	2	3
87	тому что	2	3
88	для себя	5	3
89	и я	5	3
90	я уже	2	3
91	должна быть	4	3
92	в каждом	3	3
93	ни в	12	3
94	но не	12	3
95	еще не	4	3
96	или иным	2	3
97	кажется что	2	3
98	что не	3	3
99	и для	9	3
100	не по	4	3
101	или иное	2	3
102	в ней	3	3
103	не значит	6	3
104	должен быть	7	3
105	и тем	3	3
106	его жизни	3	3
107	отношению к	22	3
108	и за	2	3
109	по отношению	26	3
110	ничего общего	2	3
111	и только	6	3
112	в виде	2	3
113	лишь в	8	3
114	в чем	4	3
115	это можно	2	3
116	как к	2	3
117	то или	2	3
118	в каком	4	3
119	в другом	3	3
120	между тем	4	3
121	может не	2	2
122	совсем не	2	2
123	бы не	3	2
124	а как	2	2
125	нисколько не	4	2
126	всех этих	3	2
127	в своем	16	2
128	дело когда	2	2
129	быть в	4	2
130	меня не	3	2
131	если не	2	2
132	при этом	4	2
133	быть и	3	2
134	места в	4	2
135	со всеми	2	2
136	знает и	2	2
137	но для	2	2
138	и потому	2	2
139	этого слова	2	2
140	тем не	2	2
141	отношение к	5	2
142	конечно не	7	2
143	и их	6	2
144	вытекает из	2	2
145	для этого	2	2
146	оба эти	2	2
147	тем самым	4	2
148	мы не	3	2
149	ничего не	3	2
150	не знает	5	2
151	что этот	3	2
152	в своих	3	2
153	думать что	2	2
154	дело с	2	2
155	от этого	2	2
156	он не	6	2
157	что эта	2	2
158	в себе	21	2
159	в сознании	2	2
160	говорить о	2	2
161	стороны в	3	2
162	и все	7	2
163	его в	5	2
164	и это	12	2
165	к нему	12	2
166	только с	3	2
167	могло бы	4	2
168	мы имеем	5	2
