N	3gram	Losev_Dial_4	Problema
1	тем не менее	2	12
2	то что мы	2	7
3	и т д	15	6
4	по крайней мере	7	6
5	в этом смысле	4	5
6	той или другой	3	4
7	на то что	3	4
8	не говоря уже	3	4
9	сама по себе	5	4
10	в то же	6	4
11	в том что	9	4
12	ни в каком	4	4
13	есть прежде всего	3	4
14	говоря уже о	3	4
15	и в частности	2	3
16	и в этом	3	3
17	что иное как	8	3
18	точно так же	2	3
19	хотя бы и	2	3
20	есть не что	5	3
21	не что иное	8	3
22	все на свете	3	3
23	только тогда когда	4	3
24	не может быть	6	3
25	не есть ни	9	3
26	тех или других	3	3
27	или по крайней	3	3
28	это значит что	7	3
29	есть то что	5	2
30	тем более не	3	2
31	для того чтобы	5	2
32	то или иное	3	2
33	это и есть	4	2
34	не имеет ничего	2	2
35	того или другого	2	2
36	как только мы	2	2
37	ничего общего с	2	2
38	ни от чего	2	2
39	не имеет никакого	2	2
40	само по себе	4	2
41	представим себе что	2	2
42	подобно тому как	4	2
43	и той же	3	2
44	имеет ничего общего	2	2
45	та или иная	2	2
46	не есть просто	3	2
47	одной и той	3	2
48	имеется в виду	3	2
