N	2gram	Bakhtin_Fr_1	Narrotol
1	не только	10	31
2	но и	10	27
3	и не	22	23
4	при этом	6	19
5	может быть	6	15
6	в частности	5	14
7	как и	5	13
8	только в	7	12
9	в этом	15	12
10	и в	65	11
11	и его	10	10
12	времени и	6	9
13	то что	3	9
14	то есть	45	9
15	в том	16	8
16	и т.п	17	8
17	не может	3	8
18	уже не	3	8
19	том что	6	7
20	на протяжении	5	7
21	но в	14	7
22	к тому	2	6
23	не в	4	6
24	и он	2	6
25	в самом	4	6
26	как бы	22	6
27	жизни и	7	6
28	как раз	3	6
29	или в	2	6
30	в себе	3	6
31	в его	9	6
32	в этой	4	6
33	можно сказать	2	5
34	той или	5	5
35	в своей	5	5
36	так и	10	5
37	и на	11	5
38	потому что	5	5
39	точки зрения	7	5
40	с его	5	4
41	никогда не	6	4
42	из этих	2	4
43	к себе	2	4
44	в литературе	6	4
45	или иной	5	4
46	все же	6	4
47	для него	5	4
48	но не	2	4
49	прежде всего	11	4
50	еще не	6	4
51	к нему	3	4
52	в ней	6	4
53	в нем	13	4
54	из них	4	4
55	как в	5	4
56	того что	2	4
57	хотя и	2	4
58	о том	2	4
59	в эпизоде	2	4
60	в одном	5	4
61	мира в	3	4
62	что в	3	3
63	это уже	4	3
64	в своем	8	3
65	это не	3	3
66	в жизни	4	3
67	что он	3	3
68	еще раз	2	3
69	начало и	2	3
70	в целом	2	3
71	самом деле	3	3
72	но как	3	3
73	при всей	2	3
74	но для	3	3
75	он не	2	3
76	о нем	3	3
77	не является	3	3
78	начиная с	2	3
79	этом отношении	3	3
80	но при	2	3
81	их в	2	3
82	и с	3	3
83	и все	5	3
84	между тем	5	3
85	в этих	2	2
86	она была	3	2
87	большей или	4	2
88	не подлежит	2	2
89	этих двух	2	2
90	в сущности	16	2
91	как мы	6	2
92	же в	2	2
93	да и	2	2
94	в романе	2	2
95	по своему	8	2
96	между ними	4	2
97	всех его	2	2
98	до конца	2	2
99	до сих	4	2
100	а его	2	2
101	меньшей степени	5	2
102	не вполне	2	2
103	к жизни	2	2
104	сих пор	4	2
105	в форме	3	2
106	только на	2	2
107	где они	3	2
108	жизни в	5	2
109	в отличие	4	2
110	входит в	4	2
111	в особенности	2	2
112	в году	6	2
113	и вот	2	2
114	в той	5	2
115	что не	2	2
116	и даже	8	2
117	жизни как	3	2
118	с другой	3	2
119	и для	2	2
120	друг друга	3	2
121	особенно в	2	2
122	отличие от	5	2
123	роль в	2	2
124	в таком	2	2
125	ничего не	3	2
126	сказать что	6	2
127	и от	2	2
128	он и	3	2
129	и еще	4	2
130	связи с	4	2
131	в наиболее	2	2
132	что мы	2	2
133	жизни но	2	2
134	дело в	2	2
135	так сказать	4	2
136	в чем	2	2
137	с ним	3	2
138	в области	7	2
139	это было	2	2
