N	3gram	Losev_Prob_3	Problemy
1	с точки зрения	2	8
2	до сих пор	2	7
3	сам по себе	6	5
4	в то же	4	5
5	и т д	13	4
6	в отличие от	2	4
7	сама по себе	8	4
8	не может быть	5	4
9	той или иной	8	3
10	в той или	2	3
11	можно было бы	3	3
12	никак не может	2	3
13	с другой стороны	5	3
14	в то время	4	2
15	в том или	2	2
16	хотя и не	2	2
17	это вовсе не	4	2
18	одно и то	3	2
19	тем не менее	10	2
20	в конце концов	3	2
21	друг от друга	2	2
22	в настоящее время	2	2
23	как раз и	4	2
24	может быть и	3	2
25	и то же	4	2
26	то время как	4	2
