N	2gram	Tiupa_Lite_3	Otkroven
1	и в	16	19
2	но и	14	13
3	и не	22	13
4	в этом	14	12
5	а не	12	11
6	не в	10	11
7	человека в	2	11
8	может быть	12	11
9	не только	14	11
10	вопрос о	2	10
11	в нем	2	10
12	никогда не	4	9
13	потому что	3	9
14	прежде всего	3	9
15	ни с	2	7
16	лишь в	5	7
17	до конца	4	7
18	в глубине	2	7
19	в его	6	7
20	как и	5	6
21	то что	12	5
22	а в	5	5
23	отношение к	2	5
24	в том	12	5
25	для него	2	5
26	в этой	8	5
27	в самом	3	5
28	с его	6	4
29	того чтобы	2	4
30	что не	2	4
31	и его	6	4
32	не может	8	4
33	что в	2	4
34	человеческого духа	3	3
35	это не	5	3
36	о природе	2	3
37	и вот	2	3
38	что он	5	3
39	того что	9	3
40	для того	2	3
41	в своих	2	3
42	быть может	2	3
43	еще не	6	3
44	и ее	2	3
45	в себе	6	3
46	было бы	2	3
47	когда он	2	3
48	о том	6	3
49	как бы	8	3
50	с которой	2	2
51	все же	2	2
52	что и	2	2
53	ее в	2	2
54	он в	2	2
55	и для	4	2
56	в единстве	3	2
57	так и	9	2
58	жизни в	4	2
59	что у	2	2
60	все еще	3	2
61	к этому	2	2
62	по себе	2	2
63	свободы и	2	2
64	и к	3	2
65	о которой	2	2
66	должно быть	4	2
67	в ее	5	2
68	том что	8	2
69	своей жизни	2	2
70	в другом	6	2
71	и на	2	2
72	и с	2	2
73	тем что	2	2
74	одно из	4	2
75	него не	2	2
76	его в	2	2
77	в своей	7	2
78	хотя и	4	2
79	но в	3	2
80	и потому	2	2
