N	2gram	Vinokur_St_1	Psycholo
1	то что	18	37
2	и в	44	30
3	в том	36	27
4	что в	30	24
5	и что	4	23
6	потому что	6	23
7	том что	29	21
8	для того	10	20
9	таким образом	7	20
10	того чтобы	11	20
11	как бы	4	19
12	что он	10	17
13	на то	4	17
14	не только	18	16
15	в самом	7	14
16	в этом	21	14
17	так же	5	13
18	как раз	4	13
19	то есть	2	13
20	одной стороны	2	12
21	в сущности	2	12
22	с одной	3	12
23	если бы	9	11
24	может быть	15	11
25	что мы	5	11
26	о том	17	10
27	никогда не	5	9
28	с другой	9	9
29	для этого	2	9
30	не может	8	9
31	и то	5	9
32	сказать что	7	9
33	так как	5	9
34	что это	4	8
35	тому что	3	8
36	мы имеем	2	8
37	он должен	2	8
38	не в	12	8
39	а не	16	8
40	при этом	2	8
41	того что	9	8
42	заключается в	4	8
43	самом деле	11	8
44	могут быть	5	8
45	и это	2	8
46	этих двух	3	7
47	в нем	5	7
48	но не	3	7
49	все же	8	7
50	и т	30	7
51	то же	5	7
52	точки зрения	11	7
53	как это	4	7
54	в основе	3	7
55	уже в	2	6
56	ясно что	10	6
57	в своем	2	6
58	что она	4	6
59	именно в	6	6
60	как и	9	6
61	что с	2	6
62	совершенно не	5	6
63	и тем	3	6
64	и для	3	6
65	но и	10	6
66	по мнению	3	6
67	что все	2	6
68	что оно	3	6
69	и не	16	6
70	жизни и	5	6
71	говорит что	3	6
72	и его	8	6
73	тем что	5	6
74	о котором	2	6
75	как будто	4	6
76	дело с	2	5
77	по этому	3	5
78	в целом	5	5
79	несмотря на	2	5
80	и потому	2	5
81	в этой	11	5
82	что они	7	5
83	еще не	3	5
84	до сих	7	5
85	было бы	17	5
86	сих пор	7	5
87	другой стороны	7	5
88	а с	3	5
89	в двух	3	5
90	в своих	2	5
91	в себе	2	5
92	но в	10	5
93	только в	10	5
94	ответ на	3	5
95	материала и	2	5
96	в основу	4	4
97	в результате	3	4
98	в частности	4	4
99	и все	2	4
100	этот вопрос	4	4
101	прежде всего	7	4
102	то это	3	4
103	говорит о	3	4
104	у нас	11	4
105	в своей	6	4
106	в ней	3	4
107	в его	9	4
108	внимание на	3	4
109	этому поводу	2	4
110	а в	17	4
111	там где	5	4
112	в конце	3	4
113	что эта	2	4
114	должен был	2	4
115	не существует	3	3
116	что ни	2	3
117	и уже	2	3
118	была бы	5	3
119	у него	2	3
120	одним и	2	3
121	бы мы	2	3
122	при таком	2	3
123	что у	4	3
124	хотя бы	6	3
125	это не	8	3
126	из этих	6	3
127	это в	4	3
128	вовсе не	19	3
129	вопрос о	4	3
130	что на	2	3
131	для нас	7	3
132	об этом	3	3
133	так что	6	3
134	мне кажется	5	3
135	что здесь	2	3
136	для него	6	3
137	за основу	2	3
138	он не	2	3
139	чем у	2	3
140	из двух	3	3
141	в ее	4	3
142	что и	6	3
143	ни в	3	3
144	данном случае	6	3
145	так и	9	3
146	со стороны	6	3
147	что при	2	3
148	как в	13	3
149	так например	7	3
150	и только	3	3
151	т д	21	3
152	этом отношении	7	3
153	по поводу	7	3
154	из того	2	3
155	и сейчас	4	3
156	в той	6	3
157	на этот	3	3
158	тем же	3	3
159	в таком	3	3
160	по его	2	3
161	целый ряд	2	3
162	той же	5	3
163	мы не	2	3
164	можно было	13	3
165	но он	2	3
166	в каком	3	3
167	в данном	14	3
168	т п	9	3
169	в другом	3	3
170	в этих	2	3
171	в которой	4	3
172	что от	2	2
173	с этой	3	2
174	в отношении	9	2
175	ни один	2	2
176	же как	3	2
177	не является	3	2
178	с этим	3	2
179	в каждом	3	2
180	а как	2	2
181	материал для	3	2
182	и можно	2	2
183	этом случае	2	2
184	он был	3	2
185	ли не	2	2
186	по существу	2	2
187	всякий раз	2	2
188	но все	4	2
189	чем в	3	2
190	того же	3	2
191	должна быть	3	2
192	это очень	3	2
193	и почему	4	2
194	в качестве	4	2
195	в котором	5	2
196	гораздо более	4	2
197	должен быть	3	2
198	из них	8	2
199	во всех	8	2
200	быть и	2	2
201	отношения к	2	2
202	ни одного	2	2
203	всех трех	2	2
204	все это	5	2
205	по отношению	3	2
206	оба эти	2	2
207	это и	4	2
208	мы находим	4	2
209	с точки	8	2
210	и даже	5	2
211	есть только	2	2
212	будто на	2	2
213	время как	2	2
214	ничего не	2	2
215	в которых	5	2
216	и с	3	2
217	и так	3	2
218	даже и	2	2
219	что касается	3	2
220	совсем не	2	2
221	в то	9	2
222	не знает	2	2
223	вопроса о	3	2
224	все эти	5	2
225	дело в	6	2
226	нет ни	2	2
227	на самом	6	2
