N	2gram	Nazirov_Tr_1	formyVre
1	и в	18	50
2	то есть	3	33
3	в романе	10	32
4	в этом	9	25
5	в нем	4	24
6	и его	6	16
7	прежде всего	4	15
8	и не	7	14
9	в его	3	13
10	так и	5	12
11	может быть	7	11
12	то же	5	11
13	и как	3	10
14	но в	6	10
15	в конце	3	9
16	в том	2	9
17	же время	6	9
18	все эти	3	9
19	в то	5	9
20	не только	8	9
21	с его	2	9
22	ничего не	2	9
23	в самом	2	8
24	но и	4	8
25	и на	7	8
26	как и	5	8
27	ни в	2	8
28	времени в	2	7
29	все же	5	6
30	в частности	2	6
31	это не	5	6
32	в дальнейшем	5	6
33	с ее	3	6
34	не может	5	6
35	так же	4	6
36	у него	6	6
37	и все	4	6
38	то что	4	6
39	в ее	2	6
40	как в	3	6
41	что в	4	5
42	в образе	6	5
43	не в	2	5
44	и до	2	5
45	но все	2	5
46	отнюдь не	3	5
47	еще не	4	5
48	он не	2	5
49	в основном	3	5
50	в своем	3	4
51	до конца	2	4
52	все это	4	4
53	между этими	2	4
54	не имеет	2	4
55	этого романа	2	4
56	потому что	2	4
57	и с	7	4
58	жизнь и	3	4
59	том что	4	4
60	и то	2	4
61	и это	2	4
62	не могут	2	3
63	к тому	2	3
64	с тем	2	3
65	при этом	3	3
66	один из	3	3
67	но эта	2	3
68	романа и	3	3
69	друг друга	2	3
70	его в	2	3
71	в одном	2	3
72	но они	2	3
73	а как	2	3
74	только к	2	3
75	что и	2	3
76	в таком	2	3
77	и ее	2	3
78	в себе	4	3
79	этими двумя	2	3
80	уже в	3	2
81	никогда не	2	2
82	никто не	3	2
83	что все	2	2
84	вопрос о	2	2
85	в глаза	2	2
86	для него	3	2
87	нет в	2	2
88	к жизни	5	2
89	в целом	4	2
90	отношение к	2	2
91	и даже	4	2
92	имеет в	2	2
93	личности и	2	2
94	с ним	3	2
95	раз и	2	2
96	об этом	4	2
97	одна из	2	2
98	в это	2	2
99	этот образ	4	2
100	как бы	7	2
101	в отличие	2	2
102	уже не	2	2
103	в данном	2	2
104	тем что	2	2
105	отличие от	2	2
