N	2gram	Vinokur_Ku_1	VelikijI
1	и не	12	20
2	и в	24	16
3	то что	9	9
4	так как	9	9
5	еще не	5	8
6	в истории	3	8
7	что они	4	7
8	и потому	4	7
9	а не	8	7
10	не есть	4	6
11	хотя и	3	5
12	как бы	7	5
13	но и	6	5
14	все это	6	5
15	того что	9	5
16	на себя	3	5
17	в силах	2	4
18	и есть	2	4
19	что все	2	4
20	что он	6	4
21	в нем	4	4
22	как и	2	4
23	в котором	3	4
24	так и	7	4
25	что не	5	4
26	потому что	23	4
27	в этом	14	4
28	в ней	6	4
29	и все	2	4
30	в его	12	4
31	любовь к	2	3
32	с его	4	3
33	если не	3	3
34	должна быть	3	3
35	что в	17	3
36	в этих	4	3
37	в них	7	3
38	превращается в	2	3
39	ни в	2	3
40	в том	30	3
41	не в	11	3
42	что я	2	3
43	тот же	2	3
44	и мы	2	3
45	к тому	5	3
46	никогда не	2	3
47	оно не	3	3
48	то это	3	3
49	что и	4	3
50	и против	2	3
51	в своей	2	3
52	бы и	2	3
53	тому что	3	3
54	не было	3	3
55	лишь в	2	3
56	и что	5	3
57	не имеет	2	3
58	хотя бы	10	3
59	и для	2	3
60	должно быть	3	3
61	от этого	2	3
62	все эти	6	3
63	но в	2	3
64	что их	2	2
65	не могут	2	2
66	до того	2	2
67	с тем	5	2
68	это не	7	2
69	в духе	3	2
70	прежде всего	9	2
71	что было	2	2
72	его к	3	2
73	для нас	2	2
74	том что	21	2
75	но не	5	2
76	в последнем	2	2
77	конечно не	2	2
78	для них	2	2
79	когда в	2	2
80	того чтобы	17	2
81	уже на	2	2
82	не только	10	2
83	один из	4	2
84	не с	3	2
85	и т	33	2
86	на том	3	2
87	ее в	2	2
88	и тогда	4	2
89	т д	14	2
90	а с	3	2
91	все равно	2	2
92	тем что	8	2
93	уже не	8	2
94	а в	5	2
95	с ним	5	2
96	можно было	6	2
97	и то	3	2
98	между тем	5	2
99	только в	11	2
100	во всяком	5	2
