N	2gram	Tiupa_Lite_2	Narrotol
1	не только	8	32
2	может быть	17	25
3	но и	10	23
4	в качестве	5	21
5	и не	11	20
6	и в	19	19
7	то есть	5	19
8	в том	10	18
9	в этом	9	17
10	в частности	4	14
11	том что	7	14
12	не в	4	14
13	состоит в	9	13
14	в рамках	4	12
15	а не	20	12
16	своего рода	13	12
17	тогда как	9	12
18	коммуникативного события	2	12
19	представляет собой	2	12
20	то что	7	11
21	а в	3	11
22	не может	9	10
23	точки зрения	4	10
24	при этом	6	9
25	со стороны	3	9
26	так и	7	9
27	в его	4	9
28	в мире	9	9
29	с другой	8	8
30	героя в	2	8
31	не является	2	8
32	и т.п	10	8
33	в себе	6	8
34	и т.д	7	7
35	как и	10	7
36	еще не	2	7
37	такого рода	9	7
38	а также	2	7
39	все же	2	7
40	по отношению	4	7
41	с одной	7	7
42	одной стороны	6	7
43	том числе	2	6
44	что он	3	6
45	отношению к	3	6
46	то в	2	6
47	но не	5	6
48	в себя	3	6
49	тем самым	3	6
50	как это	2	6
51	о том	2	6
52	но в	2	6
53	и как	3	5
54	отнюдь не	4	5
55	картина мира	2	5
56	себя в	6	5
57	уже не	2	5
58	и его	3	5
59	в данном	3	5
60	в основе	2	5
61	в этой	3	5
62	мира в	2	5
63	прежде всего	4	4
64	в нем	3	4
65	у него	2	4
66	что не	2	4
67	то же	12	4
68	же в	2	4
69	в противовес	3	4
70	при всей	2	4
71	же время	9	4
72	было бы	2	4
73	одной из	2	4
74	как бы	2	4
75	по характеристике	2	4
76	речь идет	3	4
77	хотя бы	2	4
78	данном случае	3	4
79	другой стороны	4	4
80	из которых	2	4
81	в принципе	5	4
82	не столько	3	4
83	как правило	3	4
84	и с	3	4
85	не менее	6	3
86	жизни в	4	3
87	ни было	2	3
88	же как	2	3
89	что в	4	3
90	могут быть	2	3
91	никогда не	3	3
92	восходит к	2	3
93	уже в	2	3
94	в третьем	2	3
95	тем не	2	3
96	одна из	5	3
97	в сущности	3	3
98	в ней	4	3
99	он не	5	3
100	и даже	8	3
101	если в	2	3
102	один из	4	3
103	не с	3	3
104	с ее	2	3
105	из них	2	3
106	жизни и	4	3
107	коммуникативное событие	3	3
108	в ее	2	3
109	а именно	3	3
110	коммуникативной стратегии	2	3
111	этом отношении	3	3
112	столь же	5	3
113	и он	3	3
114	жизни как	2	3
115	и на	6	3
116	тем что	4	3
117	на себя	2	3
118	в конечном	5	3
119	в то	9	3
120	присутствия в	2	3
121	себя и	2	2
122	конечном счете	5	2
123	себе не	2	2
124	в какой	2	2
125	в противоположность	2	2
126	быть может	3	2
127	личности в	3	2
128	идет о	3	2
129	по существу	3	2
130	для него	4	2
131	вплоть до	3	2
132	наконец в	2	2
133	в роли	2	2
134	и др	3	2
135	даже в	4	2
136	в культуре	3	2
137	жизни а	2	2
138	и до	2	2
139	как раз	2	2
140	как к	3	2
141	и только	2	2
142	не было	2	2
143	человека в	4	2
144	одним из	3	2
145	и для	3	2
146	с точки	3	2
147	при всем	2	2
148	тому как	2	2
149	являет собой	2	2
150	не случайно	4	2
151	в результате	2	2
152	каждый из	4	2
153	однако в	6	2
154	одно из	2	2
155	следует признать	3	2
156	подобно тому	2	2
157	всей своей	3	2
158	но как	2	2
159	всего лишь	3	2
160	а если	2	2
161	ничего не	3	2
162	и одновременно	2	2
