N	2gram	Tiupa_Narr_1	Psycholo
1	в том	18	37
2	и в	19	32
3	том что	14	21
4	то что	11	21
5	то есть	19	21
6	что в	3	20
7	так же	2	18
8	может быть	25	18
9	не может	10	17
10	точки зрения	10	17
11	самом деле	2	16
12	что он	6	13
13	при этом	9	13
14	то же	4	13
15	в этом	17	13
16	по себе	5	12
17	не только	32	12
18	было бы	4	11
19	в основе	5	11
20	как и	7	10
21	когда он	3	10
22	но и	23	10
23	и не	20	10
24	с точки	2	10
25	никогда не	3	9
26	как в	7	9
27	тем что	3	9
28	что это	3	8
29	не менее	3	8
30	не в	14	8
31	дело с	2	8
32	к тому	7	7
33	и как	5	7
34	а не	12	7
35	в сущности	3	7
36	все эти	2	7
37	можно было	2	7
38	и его	5	7
39	сказать что	4	7
40	как будто	3	7
41	только в	4	7
42	что они	3	7
43	в этой	5	6
44	он не	3	6
45	как бы	4	6
46	те же	4	6
47	о том	6	6
48	отнюдь не	5	5
49	что у	2	5
50	вслед за	4	5
51	в ней	3	5
52	далеко не	5	5
53	как раз	2	5
54	этом отношении	3	5
55	и даже	3	5
56	и на	3	5
57	в то	3	5
58	же как	3	4
59	столь же	3	4
60	утверждать что	2	4
61	что на	2	4
62	тем не	3	4
63	как это	6	4
64	несмотря на	2	4
65	иначе говоря	6	4
66	и когда	2	4
67	совершенно не	2	4
68	и тем	4	4
69	в нем	4	4
70	все же	7	4
71	из них	3	4
72	жизни и	3	4
73	наряду с	2	4
74	и до	2	4
75	данном случае	4	4
76	а в	11	4
77	и все	2	4
78	мы имеем	2	4
79	не имеет	2	4
80	и для	2	4
81	в данном	5	4
82	о ней	3	4
83	и с	4	4
84	могут быть	3	4
85	в произведении	3	4
86	ничего не	2	4
87	между тем	3	4
88	состоит в	13	3
89	в частности	14	3
90	конечном счете	2	3
91	хотя бы	4	3
92	с другой	8	3
93	не как	2	3
94	точно так	2	3
95	по существу	2	3
96	что именно	2	3
97	как говорит	3	3
98	но как	2	3
99	в свою	3	3
100	например в	2	3
101	сами по	2	3
102	один из	3	3
103	с ее	3	3
104	так и	9	3
105	и ее	2	3
106	и сейчас	2	3
107	что не	4	3
108	в конечном	3	3
109	и он	3	3
110	при всем	2	3
111	приходит к	2	3
112	тому как	2	3
113	как к	2	3
114	того или	2	3
115	та же	2	3
116	но в	6	3
117	не существует	3	2
118	зависит от	2	2
119	с его	6	2
120	то ни	3	2
121	в какой	2	2
122	это не	2	2
123	точка зрения	6	2
124	они в	2	2
125	в полном	2	2
126	или иного	2	2
127	этой точки	2	2
128	сводится к	3	2
129	ни в	3	2
130	говорит о	2	2
131	же время	4	2
132	тем более	2	2
133	сознания к	2	2
134	свою очередь	3	2
135	еще не	7	2
136	но не	5	2
137	на другой	2	2
138	она не	2	2
139	и тот	2	2
140	из которых	4	2
141	к нему	5	2
142	подход к	2	2
143	в его	9	2
144	все те	4	2
145	если в	3	2
146	в ее	3	2
147	оно не	2	2
148	он прямо	2	2
149	его жизни	2	2
150	бы то	3	2
151	отношение к	2	2
152	на том	3	2
153	отличается от	4	2
154	на него	3	2
155	вплоть до	2	2
156	не на	2	2
157	бы не	2	2
158	другой стороны	4	2
159	в особенности	4	2
160	а с	3	2
161	не было	2	2
162	роль в	2	2
163	то или	3	2
164	отличие от	5	2
165	в таком	2	2
166	каждый из	2	2
167	подобно тому	2	2
168	в себе	8	2
169	и только	2	2
170	может оказаться	2	2
171	когда мы	2	2
172	что по	2	2
173	к которому	2	2
