N	2gram	Tiupa_Vved_1	Komedia
1	и в	13	26
2	и не	12	14
3	едва ли	3	14
4	к тому	6	12
5	так и	8	12
6	и его	5	12
7	в том	10	11
8	тому же	4	11
9	может быть	18	11
10	но и	19	10
11	в этом	21	10
12	что в	3	9
13	том что	7	9
14	если бы	7	9
15	было бы	4	8
16	и на	3	7
17	не только	20	7
18	что и	2	7
19	ли не	2	7
20	в своем	5	6
21	то что	6	6
22	еще не	7	6
23	наряду с	2	6
24	в нем	5	6
25	потому что	5	6
26	в то	4	6
27	о том	5	6
28	таким образом	4	6
29	к этому	2	5
30	в качестве	8	5
31	один из	3	5
32	и с	2	5
33	действующих лиц	2	5
34	место в	2	4
35	не менее	4	4
36	в частности	13	4
37	восходит к	2	4
38	в этих	3	4
39	в них	2	4
40	и от	2	4
41	прежде всего	7	4
42	из этих	3	4
43	как мы	3	4
44	как и	11	4
45	в целом	3	4
46	как будто	4	4
47	хотя и	7	4
48	в его	4	4
49	еще в	2	4
50	мира в	8	4
51	все же	6	4
52	в самом	2	4
53	судя по	2	4
54	и для	3	4
55	можно было	2	4
56	в начале	3	4
57	в наиболее	2	4
58	только в	6	4
59	этот раз	2	4
60	о чем	2	3
61	представить себе	2	3
62	что на	2	3
63	жизни и	7	3
64	отношению к	7	3
65	но не	5	3
66	во всех	2	3
67	же время	3	3
68	для нас	2	3
69	по поводу	2	3
70	например в	2	3
71	как правило	6	3
72	в ней	4	3
73	в котором	8	3
74	не имеет	2	3
75	в своей	5	3
76	по отношению	7	3
77	дело с	2	3
78	то же	5	3
79	не было	2	3
80	как в	4	3
81	а в	6	3
82	войны и	3	3
83	или иначе	2	3
84	тем что	2	3
85	не может	7	3
86	как он	2	3
87	что касается	5	3
88	это время	2	3
89	могла бы	3	3
90	но в	6	3
91	мы можем	2	3
92	если в	2	2
93	отнюдь не	7	2
94	однако в	4	2
95	в нашем	6	2
96	не всегда	2	2
97	в какой	4	2
98	с другой	5	2
99	это не	6	2
100	нового времени	3	2
101	в одной	2	2
102	и к	2	2
103	об этом	4	2
104	не в	6	2
105	жизни так	2	2
106	в силу	2	2
107	одна из	4	2
108	по своему	2	2
109	а на	2	2
110	когда в	2	2
111	одной стороны	5	2
112	у нее	2	2
113	вслед за	2	2
114	одним из	5	2
115	он не	3	2
116	как бы	4	2
117	не вполне	3	2
118	частности в	2	2
119	не является	3	2
120	в мире	8	2
121	отношение к	2	2
122	со стороны	5	2
123	целый ряд	2	2
124	в отличие	2	2
125	так в	4	2
126	с одной	5	2
127	в той	4	2
128	времени в	3	2
129	бы и	4	2
130	отличие от	2	2
131	мы не	4	2
132	не следует	3	2
133	следует признать	4	2
134	к его	3	2
135	говорить о	2	2
136	и все	4	2
137	в первом	2	2
138	бы в	3	2
139	мы имеем	5	2
140	в состав	4	2
