N	2gram	Savitsky_E_1	Komedia
1	и в	37	26
2	и не	14	14
3	к тому	8	12
4	так и	10	12
5	в том	11	11
6	может быть	6	11
7	но и	14	10
8	в этом	12	10
9	что в	21	9
10	столь же	5	9
11	том что	6	9
12	если бы	2	9
13	вместе с	2	9
14	было бы	8	8
15	и на	6	7
16	из них	3	7
17	не только	18	7
18	что и	3	7
19	на себя	3	7
20	в своем	14	6
21	то что	6	6
22	наряду с	2	6
23	того чтобы	6	6
24	потому что	3	6
25	в то	16	6
26	о том	3	6
27	таким образом	2	6
28	с тем	3	5
29	независимо от	4	5
30	в качестве	14	5
31	в истории	2	5
32	на основании	2	5
33	с этим	2	5
34	для того	6	5
35	и с	2	5
36	место в	3	4
37	в частности	5	4
38	в этих	2	4
39	в них	3	4
40	и от	3	4
41	прежде всего	9	4
42	как мы	5	4
43	же в	2	4
44	как и	7	4
45	как будто	2	4
46	одной из	5	4
47	хотя и	2	4
48	в его	2	4
49	мира в	4	4
50	в самом	4	4
51	в последние	6	4
52	и для	3	4
53	более чем	2	4
54	можно было	3	4
55	точки зрения	23	4
56	с и	10	4
57	только в	9	4
58	что это	2	4
59	так как	7	4
60	на этот	2	4
61	как это	4	4
62	между тем	8	4
63	с этой	6	3
64	вопрос о	4	3
65	что на	2	3
66	но если	5	3
67	жизни и	2	3
68	но не	5	3
69	того же	3	3
70	во всех	6	3
71	же время	14	3
72	для нас	4	3
73	из числа	4	3
74	в ней	4	3
75	в котором	2	3
76	не имеет	4	3
77	в своей	8	3
78	в их	11	3
79	то же	15	3
80	как в	3	3
81	к нему	2	3
82	а в	2	3
83	войны и	2	3
84	или в	2	3
85	тем что	3	3
86	не может	9	3
87	в этой	2	3
88	но в	14	3
89	и поэтому	2	3
90	мы можем	3	3
91	ни было	4	2
92	если в	2	2
93	в другой	2	2
94	отнюдь не	9	2
95	то ни	4	2
96	в какой	2	2
97	с другой	7	2
98	в одном	2	2
99	представление о	2	2
100	этом смысле	3	2
101	вовсе не	6	2
102	и к	3	2
103	в ее	8	2
104	идет о	3	2
105	не в	5	2
106	в силу	2	2
107	чем в	4	2
108	бы то	4	2
109	по своему	7	2
110	одной стороны	8	2
111	и если	2	2
112	как не	2	2
113	вслед за	6	2
114	он не	2	2
115	друг с	3	2
116	более поздние	2	2
117	как бы	6	2
118	всяком случае	3	2
119	частности в	2	2
120	даже в	4	2
121	не является	3	2
122	чем на	2	2
123	говоря уже	2	2
124	хотя бы	15	2
125	в развитии	2	2
126	в мире	2	2
127	не говоря	2	2
128	всего в	2	2
129	со стороны	5	2
130	также в	2	2
131	целый ряд	2	2
132	с одной	8	2
133	в течение	5	2
134	еще более	2	2
135	в той	5	2
136	и что	2	2
137	не более	3	2
138	бы и	3	2
139	в других	2	2
140	мы не	4	2
141	меньше чем	2	2
142	имеет в	2	2
143	во всяком	3	2
144	от этого	5	2
145	и во	2	2
146	и еще	2	2
147	с другом	3	2
148	и все	2	2
149	бы в	2	2
