N	2gram	Tiupa_Disk_1	TeoriaLi
1	не только	28	18
2	в качестве	34	17
3	тогда как	19	16
4	и не	11	16
5	а в	5	14
6	в частности	9	13
7	и в	16	13
8	состоит в	9	13
9	может быть	17	12
10	так и	8	12
11	то есть	20	12
12	представляет собой	17	11
13	при этом	13	11
14	в этом	15	11
15	в том	23	11
16	но не	11	10
17	в тексте	2	10
18	а не	22	10
19	и его	2	10
20	в его	7	9
21	то же	7	9
22	сводится к	5	8
23	что в	4	8
24	своего рода	8	8
25	такого рода	4	8
26	отношению к	9	8
27	но и	14	8
28	по отношению	9	8
29	себя в	2	7
30	в себе	7	7
31	том что	19	7
32	в отличие	5	7
33	в данном	5	7
34	точки зрения	3	7
35	по своей	11	7
36	в то	3	7
37	только в	7	7
38	отличие от	5	7
39	с его	4	6
40	же время	4	6
41	еще не	14	6
42	картина мира	3	6
43	эстетическая деятельность	3	6
44	лишь в	4	6
45	как бы	5	6
46	но в	8	6
47	в рамках	5	5
48	и одновременно	2	5
49	однако в	3	5
50	в своем	6	5
51	не сводится	3	5
52	или иной	5	5
53	а также	8	5
54	в ее	3	5
55	как и	16	5
56	не в	7	5
57	в пределах	2	5
58	в самом	3	5
59	того или	2	5
60	в нем	9	5
61	данном случае	2	5
62	как в	10	5
63	уже не	4	5
64	коммуникативного события	14	5
65	в принципе	2	5
66	с другой	10	5
67	между тем	4	5
68	мы имеем	2	5
69	героя и	2	5
70	не менее	2	4
71	в свою	3	4
72	можно сказать	5	4
73	в ходе	3	4
74	более или	2	4
75	не предполагает	4	4
76	в своей	5	4
77	то что	5	4
78	отношение к	4	4
79	литературного произведения	3	4
80	в форме	2	4
81	или менее	2	4
82	в их	5	4
83	приводит к	2	4
84	и т.п	12	4
85	не может	9	4
86	высказывания в	6	4
87	на смену	3	4
88	сказать что	3	4
89	хотя и	2	4
90	и ее	2	4
91	как правило	4	4
92	слова в	2	3
93	ни к	6	3
94	перед нами	3	3
95	по мысли	3	3
96	и др	2	3
97	никогда не	2	3
98	в противоположность	2	3
99	прежде всего	11	3
100	и к	4	3
101	в соответствии	2	3
102	в акте	3	3
103	свою очередь	3	3
104	по своему	3	3
105	для него	4	3
106	того что	3	3
107	например в	2	3
108	в сторону	4	3
109	совпадает с	2	3
110	той или	3	3
111	и потому	3	3
112	с ее	2	3
113	художественного письма	7	3
114	другой стороны	3	3
115	таким образом	3	3
116	а с	5	3
117	именно в	3	3
118	мира в	3	3
119	в другом	2	3
120	и что	2	3
121	и по	2	3
122	или в	2	3
123	потому что	4	3
124	являет собой	3	3
125	в основе	7	3
126	в этой	2	3
127	и т.д	4	3
128	в произведении	3	3
129	к которому	2	3
130	во мне	3	2
131	ситуации рассказывания	3	2
132	и составляет	3	2
133	одну из	2	2
134	о чем	2	2
135	могут быть	4	2
136	за пределы	2	2
137	между собой	2	2
138	жизни в	2	2
139	того же	3	2
140	текста в	2	2
141	это не	3	2
142	одного и	2	2
143	с.с аверинцева	3	2
144	биографического дискурса	2	2
145	форма авторства	4	2
146	по себе	3	2
147	в литературе	2	2
148	что он	4	2
149	к тому	5	2
150	об этом	2	2
151	но как	2	2
152	и того	3	2
153	и как	6	2
154	в дискурсе	2	2
155	эстетического субъекта	2	2
156	соответствии с	2	2
157	речевого замысла	2	2
158	и адресата	2	2
159	особого рода	2	2
160	одной стороны	9	2
161	коммуникативные стратегии	2	2
162	во втором	4	2
163	имеем дело	2	2
164	текст и	2	2
165	эстетической деятельности	3	2
166	коммуникативной природе	2	2
167	к области	2	2
168	одной из	4	2
169	имеет место	3	2
170	иначе говоря	2	2
171	к его	2	2
172	в виду	2	2
173	по бахтину	4	2
174	частной жизни	2	2
175	времени в	2	2
176	своей природе	2	2
177	не могло	2	2
178	в сказании	3	2
179	и тем	2	2
180	не с	3	2
181	коммуникативную стратегию	2	2
182	в целом	4	2
183	в культуре	2	2
184	во всех	5	2
185	дело не	2	2
186	коммуникативное событие	5	2
187	со стороны	7	2
188	в притче	4	2
189	жанровая форма	4	2
190	как к	2	2
191	хоровое слово	2	2
192	с одной	9	2
193	в себя	5	2
194	литературных жанров	22	2
195	в году	2	2
196	значении этого	3	2
197	и о	4	2
198	а.н веселовского	2	2
199	и даже	3	2
200	высказывания и	2	2
201	роль в	7	2
202	не ограничивается	2	2
203	как способ	2	2
204	я героя	2	2
205	тот или	2	2
206	высказывания не	2	2
207	в рассказе	2	2
208	воспринимающего сознания	2	2
209	следует признать	2	2
210	на себя	2	2
211	индивидуального речевого	2	2
212	могла бы	2	2
213	не следует	2	2
214	в равной	2	2
215	о том	8	2
216	в организации	2	2
217	м.м бахтин	2	2
218	отношения к	2	2
219	писал бахтин	4	2
220	это было	2	2
