N	2gram	Tiupa_Disk_2	OGranits
1	и в	16	13
2	и его	3	12
3	прежде всего	7	9
4	не может	9	8
5	и не	15	8
6	может быть	16	8
7	и т.п	12	7
8	точки зрения	4	7
9	в его	3	7
10	не только	10	6
11	то что	5	6
12	только в	3	6
13	как бы	4	6
14	все же	6	5
15	с точки	2	5
16	и наконец	3	5
17	то же	6	4
18	не является	4	4
19	в своей	6	4
20	все это	2	4
21	но в	11	4
22	произведения как	2	4
23	отношению к	4	3
24	что в	5	3
25	никогда не	2	3
26	но и	11	3
27	так и	9	3
28	что же	2	3
29	по отношению	4	3
30	и все	3	3
31	в одном	4	3
32	как и	16	3
33	не в	3	3
34	и то	4	3
35	не столько	3	3
36	в пределах	4	3
37	одно и	2	3
38	в себе	19	3
39	говорить о	2	3
40	и для	2	3
41	еще в	3	2
42	не менее	7	2
43	для себя	2	2
44	ни одно	2	2
45	в нем	7	2
46	может иметь	2	2
47	в целом	2	2
48	своего рода	10	2
49	данном случае	6	2
50	а не	14	2
51	другой стороны	2	2
52	с другой	5	2
53	в языке	2	2
54	не на	2	2
55	в них	3	2
56	входит в	2	2
57	а в	2	2
58	с одной	4	2
59	в полном	2	2
60	все эти	3	2
61	роль в	4	2
62	или иного	2	2
63	как в	8	2
64	в том	8	2
65	том что	10	2
66	в своих	6	2
67	в данном	7	2
68	в этом	16	2
69	между тем	2	2
70	могут быть	3	2
71	при этом	17	2
72	всей своей	3	2
73	и ее	3	2
74	соответствии с	3	2
75	для него	5	2
76	в другом	3	2
77	одной стороны	4	2
78	и может	3	2
79	общения и	2	2
80	в области	2	2
81	в ней	2	2
82	а также	8	2
