N	2gram	Propp_Russ_1	Istorich
1	и в	36	25
2	вместе с	10	22
3	и т	10	20
4	т д	9	18
5	представление о	3	17
6	может быть	8	17
7	т е	17	16
8	мы имеем	4	14
9	не только	22	13
10	но и	16	13
11	в его	2	12
12	и не	6	11
13	уже не	6	11
14	так как	15	11
15	все же	5	10
16	в этом	12	10
17	тем что	4	10
18	таким образом	6	9
19	в виде	6	9
20	с тем	8	8
21	связи с	4	8
22	что в	19	8
23	том что	19	8
24	мы видим	2	8
25	еще не	4	8
26	все эти	2	8
27	и что	4	8
28	и на	10	8
29	в частности	2	7
30	в качестве	3	7
31	во время	14	7
32	как и	10	7
33	но это	4	7
34	то что	6	7
35	этом случае	5	7
36	в нем	2	7
37	потому что	10	7
38	и здесь	2	7
39	представляет собой	4	7
40	только в	4	7
41	о том	8	7
42	в этих	3	6
43	это не	10	6
44	что и	7	6
45	как в	5	6
46	на небо	3	6
47	не может	4	6
48	не совсем	4	6
49	или в	2	6
50	могут быть	2	6
51	в том	17	6
52	там где	2	6
53	этот обряд	3	6
54	что это	3	5
55	с этим	2	5
56	в образе	2	5
57	показывает что	5	5
58	как мы	10	5
59	для нас	6	5
60	но все	3	5
61	но не	2	5
62	мы увидим	8	5
63	например в	2	5
64	в ней	2	5
65	не будем	3	5
66	так же	3	5
67	входит в	4	5
68	мы не	6	5
69	не менее	3	4
70	что у	2	4
71	тем не	3	4
72	в дальнейшем	2	4
73	этот обычай	11	4
74	в основном	3	4
75	на этой	2	4
76	в некоторых	4	4
77	все это	6	4
78	в связи	4	4
79	то же	3	4
80	мы должны	2	4
81	с ним	2	4
82	того как	5	4
83	и как	2	3
84	в более	2	3
85	в целом	2	3
86	в свою	3	3
87	в целях	3	3
88	после того	2	3
89	увидим ниже	3	3
90	этого обряда	3	3
91	и пр	2	3
92	и из	3	3
93	но эти	3	3
94	если в	3	3
95	и др	4	3
96	на себя	2	3
97	говорится что	3	3
98	представляют собой	7	3
99	показывают что	2	3
100	в свете	2	3
101	на этом	3	3
102	в особенности	2	3
103	а в	9	3
104	его к	2	3
105	в которых	5	3
106	их в	3	3
107	и с	2	3
108	е в	8	3
109	что от	2	2
110	встречается и	2	2
111	в дом	2	2
112	у него	2	2
113	связанные с	3	2
114	его и	2	2
115	он же	3	2
116	к этому	4	2
117	в различных	2	2
118	от них	3	2
119	это показывает	2	2
120	так что	2	2
121	об этом	9	2
122	по существу	4	2
123	такое же	2	2
124	такой же	2	2
125	одна из	4	2
126	на тех	2	2
127	после этого	4	2
128	животных и	4	2
129	с этого	6	2
130	она не	2	2
131	в это	3	2
132	но есть	2	2
133	несмотря на	3	2
134	или на	3	2
135	таким же	3	2
136	заупокойном культе	2	2
137	должно было	2	2
138	их на	4	2
139	как бы	5	2
140	и потому	2	2
141	это время	2	2
142	еще в	4	2
143	один из	8	2
144	как можно	2	2
145	только у	2	2
146	когда он	2	2
147	во всех	4	2
148	с ней	2	2
149	сделать из	2	2
150	так например	6	2
151	означает что	2	2
152	и для	2	2
153	не объясняет	2	2
154	очень ясно	2	2
155	в течение	5	2
156	и других	7	2
157	находится в	2	2
158	а не	2	2
159	того что	4	2
160	и по	8	2
161	в других	11	2
162	что этот	4	2
163	так в	4	2
164	что обряд	2	2
165	точки зрения	3	2
166	из них	8	2
167	под землей	3	2
168	по материалам	2	2
169	обрядов и	2	2
170	ничего не	3	2
171	о чем	3	2
172	значит что	2	2
173	у которых	2	2
174	мы можем	2	2
