N	2gram	Nazirov_Tv_2	Marksizm
1	может быть	8	26
2	и не	9	26
3	не может	7	24
4	и в	20	19
5	и его	9	19
6	таким образом	10	17
7	в этом	8	16
8	как бы	11	15
9	в процессе	2	14
10	прежде всего	8	13
11	как и	6	12
12	так и	6	11
13	в самом	3	10
14	в нем	3	10
15	самом деле	2	10
16	для него	3	9
17	только в	2	9
18	при этом	8	8
19	но и	8	8
20	друг друга	2	8
21	до сих	3	8
22	не только	13	8
23	все же	5	8
24	то что	3	8
25	сих пор	3	8
26	точка зрения	2	7
27	все эти	4	7
28	так же	5	7
29	но в	4	7
30	в ее	2	7
31	то же	7	7
32	а не	6	7
33	в том	8	6
34	другой стороны	2	6
35	отнюдь не	4	6
36	в основном	6	6
37	в его	10	6
38	мы не	4	6
39	так сказать	2	6
40	ничего не	4	6
41	с другой	2	5
42	в конце	6	5
43	именно в	6	5
44	не в	4	5
45	рядом с	2	5
46	в начале	3	5
47	и потому	4	5
48	к этому	3	5
49	вовсе не	2	5
50	по преимуществу	2	5
51	в отличие	2	5
52	этот вопрос	3	5
53	во всяком	2	5
54	отличие от	2	5
55	что в	7	4
56	не менее	2	4
57	не является	3	4
58	не столько	2	4
59	а в	4	4
60	и на	5	4
61	жизни в	3	4
62	еще не	5	4
63	нет и	2	4
64	как в	4	4
65	место в	3	3
66	и есть	2	3
67	и от	4	3
68	в дальнейшем	4	3
69	же время	7	3
70	в котором	3	3
71	из них	2	3
72	все это	6	3
73	по отношению	3	3
74	не было	2	3
75	с другими	2	3
76	между тем	3	3
77	xix века	7	3
78	в то	10	3
79	его в	3	3
80	нет ничего	3	3
81	том что	4	3
82	более того	2	3
83	одной из	3	3
84	он не	3	3
85	в своей	6	3
86	в истории	2	3
87	сводится к	2	3
88	на этот	2	3
89	и ее	2	3
90	и это	3	3
91	в которой	2	3
92	зависит от	2	2
93	же как	3	2
94	в частности	2	2
95	никогда не	11	2
96	точку зрения	2	2
97	первой части	4	2
98	одним из	3	2
99	но если	2	2
100	всяком случае	2	2
101	и др	3	2
102	в первой	2	2
103	и только	2	2
104	и других	2	2
105	и даже	5	2
106	в своих	3	2
107	с этой	3	2
108	в одной	3	2
109	о том	5	2
110	эта мысль	2	2
111	так как	3	2
112	и с	8	2
113	в основе	2	2
114	ни к	2	2
115	если бы	4	2
116	если он	5	2
117	в литературе	2	2
118	что он	6	2
119	в себе	3	2
120	в романе	15	2
121	у нас	2	2
122	одна из	3	2
123	отношению к	3	2
124	человека в	3	2
125	что не	3	2
126	и он	2	2
127	в таком	3	2
128	образ и	2	2
129	тем что	3	2
130	могут быть	2	2
131	и вообще	2	2
132	в русской	2	2
133	таком случае	2	2
134	из этого	2	2
135	в чем	4	2
