N	2gram	Bakhtin_Pr_1	RusskieA
1	и в	29	29
2	т е	21	24
3	что в	8	22
4	том что	7	22
5	в том	8	22
6	как бы	19	18
7	может быть	24	13
8	так как	6	13
9	как и	12	11
10	одна из	3	11
11	в этом	22	11
12	все это	6	10
13	е в	2	10
14	и с	4	10
15	не только	15	10
16	а в	7	9
17	но и	14	8
18	его в	6	8
19	данном случае	2	7
20	как в	6	7
21	же в	2	6
22	еще не	5	6
23	таким образом	12	6
24	при этом	2	6
25	и на	7	6
26	в данном	2	6
27	потому что	8	5
28	это не	9	5
29	должна была	4	5
30	то что	15	5
31	и что	2	5
32	но не	9	5
33	и т	4	5
34	не может	12	5
35	или же	2	5
36	но в	7	5
37	именно в	5	4
38	в них	3	4
39	вопрос о	2	4
40	уже не	13	4
41	по существу	3	4
42	так что	2	4
43	не в	7	4
44	к нему	6	4
45	так же	6	4
46	то и	2	4
47	то же	14	4
48	а не	22	4
49	в которых	2	4
50	их в	4	4
51	далеко не	3	4
52	тем что	4	3
53	и от	2	3
54	как например	2	3
55	за ним	3	3
56	она не	7	3
57	до конца	8	3
58	было бы	5	3
59	и о	5	3
60	что она	6	3
61	в котором	2	3
62	с другими	7	3
63	в последний	2	3
64	в свете	4	3
65	все эти	9	3
66	друг друга	3	3
67	или даже	2	3
68	как мы	4	3
69	тому как	3	3
70	между тем	5	3
71	но он	2	3
72	подобно тому	3	3
73	в этой	4	3
74	с этой	2	2
75	связи с	2	2
76	могут быть	6	2
77	никогда не	3	2
78	с другой	3	2
79	он есть	4	2
80	прежде всего	7	2
81	как можно	2	2
82	что и	4	2
83	это и	5	2
84	кроме того	3	2
85	и как	7	2
86	одним из	6	2
87	чем в	2	2
88	только как	2	2
89	и пр	3	2
90	все то	4	2
91	один из	2	2
92	все же	9	2
93	в своей	8	2
94	все в	3	2
95	в форме	7	2
96	в их	3	2
97	не было	4	2
98	на самом	5	2
99	там где	10	2
100	этот вопрос	2	2
101	здесь мы	2	2
102	из которых	2	2
103	и для	4	2
104	должно быть	4	2
105	можно было	2	2
106	в своих	3	2
107	одно из	2	2
108	с этим	2	2
109	на себя	2	2
110	и ее	2	2
111	в то	10	2
112	так чтобы	4	2
113	заметить что	2	2
114	в которой	2	2
115	можно больше	2	2
