N	3gram	Vinokur_Vv_1	KulturaY
1	и т п	5	18
2	в том что	12	15
3	для того чтобы	21	15
4	и т д	37	14
5	с точки зрения	2	9
6	по отношению к	4	8
7	в том чтобы	5	8
8	в самом деле	5	7
9	с другой стороны	5	6
10	мере в какой	4	5
11	по крайней мере	4	5
12	в этом отношении	3	5
13	о том что	12	5
14	во всяком случае	3	5
15	в той мере	4	5
16	той мере в	4	5
17	до сих пор	5	4
18	что же касается	2	4
19	не в том	2	4
20	тем не менее	8	4
21	не трудно видеть	6	3
22	только в том	2	3
23	можно было бы	3	3
24	состоит в том	2	3
25	в соответствии с	2	3
26	в связи с	2	3
27	не может быть	8	3
28	вместе с тем	3	3
29	в этом смысле	10	3
30	т е в	4	2
31	и того же	2	2
32	то же время	5	2
33	одного и того	2	2
34	обратить внимание на	2	2
35	хотя бы и	2	2
36	и в самом	3	2
37	в свое время	2	2
38	в то же	5	2
39	в данном отношении	2	2
40	так или иначе	4	2
41	заключается в том	3	2
42	но все же	3	2
43	в этом случае	6	2
