N	2gram	Vygotskiy__3	UchenyiS
1	и в	25	14
2	не только	6	10
3	и не	10	8
4	прежде всего	4	8
5	то что	15	7
6	в этом	14	7
7	не может	6	7
8	может быть	13	6
9	все это	6	5
10	и только	2	5
11	то же	2	5
12	но и	4	4
13	в этой	5	4
14	с другой	6	4
15	как и	15	3
16	и то	2	3
17	все же	6	3
18	в своей	2	3
19	в частности	4	3
20	для этого	2	3
21	формы в	3	3
22	другой стороны	3	3
23	для него	5	3
24	в то	4	3
25	не как	3	3
26	было бы	10	3
27	и т.д	5	3
28	в области	7	3
29	ни было	2	3
30	смысле этого	4	2
31	том что	20	2
32	но не	6	2
33	в том	23	2
34	является в	3	2
35	мы не	9	2
36	с его	2	2
37	не есть	3	2
38	не в	6	2
39	всех этих	2	2
40	и для	2	2
41	но это	5	2
42	мы и	2	2
43	этом смысле	2	2
44	не столько	4	2
45	если бы	5	2
46	только в	10	2
47	тем что	8	2
48	могут быть	5	2
49	что он	6	2
50	все они	2	2
51	и у	6	2
52	в себе	2	2
53	что мы	7	2
54	могли бы	11	2
55	к области	2	2
56	этом отношении	3	2
57	в самом	3	2
58	не могут	4	2
59	по себе	7	2
60	одним из	5	2
61	а как	2	2
62	что она	5	2
63	что и	10	2
64	в его	15	2
65	между тем	3	2
66	на первый	2	2
67	таким образом	17	2
