N	2gram	Bakhtin_Pr_1	VelikijI
1	великого инквизитора	2	36
2	и не	34	20
3	и в	23	16
4	то что	18	9
5	так как	7	9
6	еще не	5	8
7	в истории	2	8
8	и потому	3	7
9	а не	20	7
10	в мире	7	5
11	как бы	28	5
12	но и	11	5
13	все это	7	5
14	того что	2	5
15	на себя	3	5
16	и есть	5	4
17	что все	3	4
18	что он	10	4
19	в нем	20	4
20	как и	8	4
21	все что	3	4
22	в котором	2	4
23	так и	10	4
24	потому что	12	4
25	в этом	25	4
26	говорить о	2	4
27	и все	3	4
28	в его	24	4
29	с его	6	3
30	должна быть	2	3
31	что в	8	3
32	по этому	2	3
33	в этих	2	3
34	в них	3	3
35	в конце	5	3
36	в жизни	6	3
37	ни в	3	3
38	в том	11	3
39	не в	6	3
40	но это	5	3
41	за ним	2	3
42	тот же	2	3
43	во всех	5	3
44	этого мира	4	3
45	никогда не	5	3
46	оно не	2	3
47	что и	5	3
48	жизни и	6	3
49	как не	4	3
50	в своей	11	3
51	бы и	4	3
52	тому что	2	3
53	не было	3	3
54	лишь в	3	3
55	хотя бы	2	3
56	и для	3	3
57	их в	2	3
58	все эти	8	3
59	но в	4	3
60	не могут	6	2
61	это не	10	2
62	в духе	3	2
63	прежде всего	7	2
64	что было	3	2
65	его к	4	2
66	под этим	2	2
67	для нас	3	2
68	да и	2	2
69	том что	9	2
70	одна из	2	2
71	но не	8	2
72	для него	15	2
73	и сам	2	2
74	того чтобы	4	2
75	ивана карамазова	5	2
76	и во	2	2
77	не только	13	2
78	не могли	2	2
79	один из	2	2
80	в форме	6	2
81	все равно	2	2
82	тем что	3	2
83	в себя	3	2
84	мы не	2	2
85	уже не	8	2
86	а в	7	2
87	с ним	6	2
88	можно было	3	2
89	между тем	5	2
90	мир и	6	2
91	только в	8	2
92	и это	5	2
93	во всяком	4	2
94	мира в	6	2
