N	2gram	Losev_Dial_4	VeschiIm
1	не есть	40	49
2	т е	46	42
3	не может	11	33
4	не только	8	31
5	может быть	17	29
6	это –	25	29
7	и не	30	28
8	и в	15	26
9	то что	16	24
10	вещи и	2	24
11	и есть	19	23
12	имя есть	2	23
13	это значит	8	22
14	значит что	9	22
15	и т	17	21
16	т д	15	20
17	а не	18	20
18	не просто	7	18
19	есть только	3	17
20	что я	5	16
21	в смысле	5	15
22	и следовательно	3	15
23	что она	5	14
24	вещи с	2	14
25	только в	7	14
26	и что	9	13
27	того что	13	13
28	по себе	13	13
29	что это	13	12
30	было бы	9	12
31	и –	9	12
32	но и	4	12
33	сказать что	6	12
34	есть не	5	12
35	все же	2	12
36	в себя	5	12
37	и то	3	12
38	и ее	8	12
39	что же	2	11
40	таким образом	5	11
41	то же	9	10
42	уже не	9	10
43	в ней	5	10
44	как бы	14	10
45	потому что	10	10
46	что мы	7	10
47	не значит	2	10
48	есть нечто	2	10
49	что такое	5	10
50	в том	11	9
51	в самом	2	9
52	и с	4	9
53	прежде всего	11	9
54	то ни	4	9
55	что не	3	9
56	себя и	3	8
57	иное как	8	8
58	она есть	10	8
59	на то	5	8
60	но это	4	8
61	с ее	10	8
62	что иное	8	8
63	не что	8	8
64	в себе	8	8
65	смысл и	3	8
66	и это	8	8
67	ничего не	17	8
68	смысла и	3	7
69	совершенно не	3	7
70	– не	5	7
71	в свете	5	7
72	что оно	7	7
73	также и	4	7
74	говорить о	11	7
75	в то	6	7
76	так как	14	7
77	е в	2	7
78	если она	2	7
79	– в	15	7
80	том что	10	7
81	есть и	3	7
82	от всего	3	7
83	себя в	2	7
84	не будет	2	7
85	и их	2	7
86	как раз	4	7
87	и пр	9	7
88	д и	3	7
89	в этом	11	7
90	оно есть	4	6
91	так что	6	6
92	и как	4	6
93	это есть	13	6
94	что они	4	6
95	есть ни	9	6
96	но что	5	6
97	что в	7	6
98	но если	5	6
99	жизни и	4	6
100	ни с	4	6
101	со стороны	3	6
102	и только	2	6
103	должно быть	2	6
104	в результате	6	6
105	точки зрения	14	6
106	но в	3	6
107	по крайней	7	6
108	ясно что	11	6
109	необходимо чтобы	2	6
110	она не	4	6
111	крайней мере	7	6
112	бы и	3	6
113	если мы	5	6
114	с ним	3	6
115	а если	3	6
116	не менее	2	5
117	должна быть	7	5
118	ведь и	2	5
119	в отношении	2	5
120	это не	12	5
121	с этой	2	5
122	тем не	2	5
123	не в	8	5
124	свою очередь	2	5
125	еще не	4	5
126	для этого	2	5
127	– как	5	5
128	должны быть	4	5
129	и тут	3	5
130	и бытия	3	5
131	есть просто	6	5
132	или не	4	5
133	чем же	2	5
134	что тут	7	5
135	ни на	6	5
136	с тем	4	5
137	если бы	6	5
138	отнюдь не	4	5
139	в свою	3	5
140	тут –	2	5
141	в ее	2	5
142	у нас	3	5
143	это и	9	5
144	тут мы	2	5
145	же это	5	5
146	другими словами	5	5
147	в сущности	5	5
148	есть всегда	3	5
149	и для	5	5
150	ни от	2	5
151	в чем	8	5
152	нечто третье	2	5
153	как только	5	4
154	я не	5	4
155	собственном смысле	2	4
156	в своем	5	4
157	есть то	5	4
158	как же	5	4
159	оно и	3	4
160	же время	6	4
161	тут не	2	4
162	и мы	7	4
163	между собою	2	4
164	из них	2	4
165	в их	3	4
166	то и	2	4
167	что есть	2	4
168	мы говорим	2	4
169	быть не	2	4
170	от того	2	4
171	имя а	2	4
172	и даже	6	4
173	знания и	5	4
174	с этим	3	4
175	как таковая	2	4
176	о том	5	4
177	и все	11	4
178	– совершенно	4	4
179	бытия и	4	4
180	как и	7	4
181	так чтобы	3	4
182	во всех	2	4
183	на себе	5	4
184	– только	3	4
185	и о	8	4
186	и потому	3	4
187	нет и	2	4
188	оно не	2	4
189	что и	6	4
190	если есть	2	4
191	быть и	3	4
192	даже не	2	4
193	собственно говоря	2	4
194	оно –	3	4
195	с точки	9	4
196	то или	3	4
197	е не	2	4
198	мы не	9	4
199	в данном	3	4
200	тем что	2	4
201	так то	4	4
202	сама по	5	3
203	слово –	2	3
204	и другое	2	3
205	она должна	2	3
206	никогда не	2	3
207	явления но	2	3
208	она является	2	3
209	вещей как	2	3
210	но –	8	3
211	вопрос о	2	3
212	есть еще	2	3
213	в собственном	3	3
214	что именно	7	3
215	можно сказать	5	3
216	эти две	3	3
217	без всякого	2	3
218	и чисто	5	3
219	на этом	3	3
220	как о	2	3
221	вещи мы	2	3
222	в нем	5	3
223	сам по	2	3
224	все это	9	3
225	отношения к	3	3
226	никакого отношения	2	3
227	можно только	3	3
228	мы находим	2	3
229	всегда есть	2	3
230	о ней	2	3
231	думают что	2	3
232	но как	2	3
233	не понимает	2	3
234	есть тоже	2	3
235	и ни	2	3
236	а это	2	3
237	себя как	3	3
238	мы имеем	5	3
239	тогда когда	5	3
240	это учение	2	3
241	нисколько не	2	3
242	само по	4	3
243	даже и	3	3
244	в одном	4	3
245	в жизни	5	3
246	в понятии	2	3
247	один из	4	3
248	не мешает	2	3
249	что он	7	3
250	и притом	3	3
251	мы видим	4	3
252	ни о	3	3
253	я называю	3	3
254	себе не	2	3
255	можно и	2	3
256	по смыслу	2	3
257	в своей	3	3
258	вместе с	2	3
259	так и	5	3
260	реальное и	2	3
261	да и	2	3
262	и тогда	2	3
263	есть имя	2	3
264	бы в	4	3
265	того чтобы	5	3
266	хотя бы	4	3
267	тому как	4	3
268	тем более	6	3
269	подобно тому	4	3
270	и вообще	7	3
271	в основе	10	3
272	мы будем	2	2
273	в частности	2	2
274	или что	2	2
275	говорить об	2	2
276	то –	3	2
277	имя имя	2	2
278	человека и	2	2
279	на все	2	2
280	же есть	3	2
281	по законам	2	2
282	они –	5	2
283	что на	2	2
284	и можно	5	2
285	ни в	8	2
286	вообще но	2	2
287	но все	2	2
288	не говорит	5	2
289	она –	4	2
290	и нет	3	2
291	кроме того	2	2
292	когда же	2	2
293	мог бы	2	2
294	и если	3	2
295	и та	3	2
296	понять и	2	2
297	как смысл	2	2
298	мы уже	3	2
299	в виду	9	2
300	в сфере	5	2
301	себе что	2	2
302	и тем	6	2
303	и уже	4	2
304	смыслу своему	2	2
305	но только	5	2
306	в разных	2	2
307	этой точки	2	2
308	и вот	11	2
309	тех или	4	2
310	заключается в	2	2
311	не мог	2	2
312	сказали что	2	2
313	всякой иной	2	2
314	так же	4	2
315	жизнь и	2	2
316	от одного	2	2
317	есть обязательно	2	2
318	таково что	2	2
319	– мы	5	2
320	как это	2	2
321	ни просто	3	2
322	мы можем	3	2
323	личность как	4	2
324	но они	2	2
325	от этого	3	2
326	именно так	2	2
327	от чего	2	2
328	и во	2	2
329	просто как	2	2
330	в одну	3	2
331	бы ни	2	2
332	данной личности	2	2
333	– и	4	2
334	то в	5	2
335	в силу	4	2
336	в качестве	2	2
337	не нужно	2	2
338	но именно	2	2
339	и может	2	2
340	себе и	2	2
341	же вы	2	2
342	как вещь	2	2
343	для нее	2	2
344	же тогда	2	2
345	никак не	2	2
346	об этом	3	2
347	и когда	2	2
348	нем нет	2	2
349	– это	5	2
350	когда он	3	2
351	как в	3	2
352	находится в	2	2
353	все реальное	2	2
354	как нечто	2	2
355	может и	2	2
356	все равно	2	2
357	можно говорить	2	2
358	допустим что	2	2
359	реальность и	2	2
360	для того	5	2
361	и его	7	2
362	той же	5	2
363	или иначе	2	2
364	ничто не	2	2
