N	2gram	Vygotskiy__2	Marksizm
1	точки зрения	17	34
2	может быть	18	26
3	и не	10	26
4	не может	17	24
5	с точки	10	20
6	и в	32	19
7	и его	7	19
8	таким образом	21	17
9	в этом	13	16
10	как бы	6	15
11	в процессе	2	14
12	как и	10	12
13	так и	3	11
14	если мы	12	11
15	и для	4	11
16	в самом	12	10
17	в нем	4	10
18	самом деле	16	10
19	только в	7	9
20	при этом	13	8
21	бы то	2	8
22	но и	10	8
23	то ни	2	8
24	до сих	5	8
25	не только	12	8
26	все же	4	8
27	то что	21	8
28	сих пор	5	8
29	в каждом	2	7
30	точка зрения	2	7
31	все эти	7	7
32	так же	18	7
33	и те	4	7
34	но в	3	7
35	психологии и	2	7
36	в ее	2	7
37	во всех	3	7
38	то же	13	7
39	а не	7	7
40	в смысле	3	6
41	в том	37	6
42	другой стороны	2	6
43	и здесь	2	6
44	отнюдь не	5	6
45	того же	2	6
46	в его	2	6
47	мы не	3	6
48	ничего не	4	6
49	с другой	3	5
50	одного и	2	5
51	в конце	3	5
52	мы знаем	7	5
53	не в	8	5
54	до конца	3	5
55	те же	6	5
56	и все	4	5
57	вовсе не	2	5
58	того чтобы	14	5
59	хотя бы	3	5
60	одни и	2	5
61	этот вопрос	3	5
62	во всяком	2	5
63	ясно что	7	5
64	отличие от	2	5
65	что в	20	4
66	не менее	8	4
67	в отношении	3	4
68	в ней	5	4
69	от того	4	4
70	форм и	2	4
71	к одному	4	4
72	здесь мы	2	4
73	а в	4	4
74	и на	5	4
75	тот же	6	4
76	сказать что	7	4
77	с этим	4	4
78	по себе	12	4
79	еще не	2	4
80	было бы	11	4
81	и тот	2	4
82	что же	3	4
83	как в	9	4
84	только на	5	4
85	в языке	4	4
86	для того	13	4
87	в данном	4	4
88	отношении к	3	4
89	далеко не	5	4
90	место в	2	3
91	этом отношении	5	3
92	понятно что	2	3
93	в какой	2	3
94	формы и	6	3
95	и от	2	3
96	и как	7	3
97	же время	2	3
98	не имеют	2	3
99	из них	4	3
100	все это	5	3
101	не было	2	3
102	конце концов	3	3
103	того что	8	3
104	не имеет	4	3
105	с другими	2	3
106	между тем	4	3
107	в то	5	3
108	же самое	6	3
109	не существует	2	3
110	не могут	3	3
111	в каком	3	3
112	и к	3	3
113	том что	21	3
114	и при	2	3
115	мы должны	3	3
116	совершенно не	4	3
117	в сущности	7	3
118	он не	6	3
119	в своей	3	3
120	целый ряд	6	3
121	на самом	5	3
122	сводится к	2	3
123	должны быть	3	3
124	и следовательно	2	3
125	на этот	2	3
126	и ее	3	3
127	и это	4	3
128	в которой	2	3
129	в узком	2	2
130	этого материала	2	2
131	зависит от	2	2
132	же как	4	2
133	в частности	3	2
134	никогда не	9	2
135	тому что	4	2
136	формы в	3	2
137	что все	9	2
138	одной и	4	2
139	тем не	4	2
140	ни в	2	2
141	как она	4	2
142	свою очередь	2	2
143	в свою	3	2
144	два основных	2	2
145	в действительности	4	2
146	и той	4	2
147	в виду	3	2
148	всяком случае	2	2
149	себе и	2	2
150	с ее	3	2
151	жизни и	4	2
152	и их	3	2
153	всех остальных	2	2
154	как к	3	2
155	и только	2	2
156	и других	3	2
157	именно на	2	2
158	и даже	5	2
159	можно было	7	2
160	в своих	9	2
161	с этой	4	2
162	быть дано	2	2
163	говорит он	4	2
164	в объяснении	2	2
165	о том	6	2
166	как он	2	2
167	так как	12	2
168	в сознании	4	2
169	и с	4	2
170	в основе	11	2
171	и более	4	2
172	если бы	6	2
173	имеет значение	2	2
174	не как	3	2
175	что он	13	2
176	в себе	2	2
177	в романе	2	2
178	она не	2	2
179	к тому	7	2
180	то как	3	2
181	явлений и	2	2
182	и этот	2	2
183	однако не	2	2
184	что и	17	2
185	не остается	2	2
186	бы и	3	2
187	как раз	5	2
188	к своему	2	2
189	что не	3	2
190	из которых	2	2
191	и он	3	2
192	той же	8	2
193	в таком	2	2
194	мы можем	3	2
195	тем что	9	2
196	могут быть	4	2
197	и вообще	2	2
198	ту же	4	2
199	из этого	4	2
200	там где	2	2
201	в чем	4	2
