N	2gram	Propp_Russ_2	Hudozhes
1	том что	22	16
2	и в	29	14
3	а не	4	12
4	в том	22	12
5	не только	10	12
6	при этом	6	12
7	о том	9	12
8	прежде всего	2	11
9	и т	5	11
10	в этом	11	11
11	в своей	2	10
12	как и	11	9
13	в качестве	3	9
14	то же	4	9
15	как в	7	8
16	то что	5	8
17	между тем	3	8
18	в этой	3	8
19	в то	2	8
20	это не	5	7
21	уже не	4	7
22	не в	4	7
23	еще не	6	7
24	как бы	18	7
25	не может	5	7
26	именно в	4	7
27	а в	9	7
28	тогда как	2	7
29	никогда не	2	6
30	что в	22	6
31	было бы	3	6
32	жизни в	2	6
33	не менее	2	5
34	к жизни	5	5
35	в этих	3	5
36	об этом	2	5
37	может быть	13	5
38	но и	8	5
39	друг друга	3	5
40	можно было	2	5
41	потому что	5	5
42	но в	5	5
43	связи с	2	4
44	т е	24	4
45	та же	2	4
46	и от	3	4
47	и все	4	4
48	тем не	2	4
49	она не	3	4
50	и о	3	4
51	один из	2	4
52	что она	3	4
53	из них	4	4
54	xix в	3	4
55	не было	2	4
56	того что	3	4
57	на святках	5	4
58	и с	10	4
59	но не	5	3
60	но он	3	3
61	с этим	2	3
62	же в	6	3
63	это в	2	3
64	как мы	3	3
65	в ее	3	3
66	на этом	3	3
67	что при	2	3
68	еще в	2	3
69	все же	2	3
70	то и	4	3
71	т д	5	3
72	и для	2	3
73	все эти	3	3
74	того чтобы	6	3
75	и по	3	3
76	в таком	4	3
77	в своих	2	3
78	тем что	3	3
79	и на	6	3
80	будто бы	5	3
81	его в	8	3
82	а также	4	3
83	так в	2	2
84	и м	8	2
85	не столько	2	2
86	вопрос о	4	2
87	что на	2	2
88	состоит в	15	2
89	или с	3	2
90	живет в	3	2
91	так что	4	2
92	же как	4	2
93	одна из	11	2
94	и что	5	2
95	в землю	13	2
96	до конца	3	2
97	и дело	2	2
98	в него	2	2
99	в форме	2	2
100	в их	2	2
101	все это	10	2
102	также в	2	2
103	влияние на	2	2
104	а и	2	2
105	а а	8	2
106	а с	2	2
107	на самом	2	2
108	там же	12	2
109	не имеет	3	2
110	должно быть	2	2
111	и потом	4	2
112	с этой	2	2
113	пока еще	2	2
114	с другим	2	2
115	за ним	3	2
116	видно что	2	2
117	представляют собой	7	2
118	заметить что	2	2
119	характер в	2	2
120	мы не	6	2
