N	2gram	Vygotskiy__1	Problema
1	то что	17	38
2	и не	9	37
3	вовсе не	3	37
4	и в	23	35
5	сказать что	11	24
6	не только	16	24
7	том что	21	19
8	о том	6	18
9	может быть	14	18
10	в этом	17	17
11	но и	14	16
12	что мы	5	14
13	только в	6	14
14	и что	5	13
15	потому что	6	13
16	во всяком	3	13
17	не может	12	13
18	в том	24	12
19	того что	15	12
20	хотя бы	4	12
21	что в	14	11
22	прежде всего	10	11
23	значения и	2	11
24	и даже	2	11
25	всяком случае	3	10
26	и с	9	10
27	говорить о	2	10
28	тем более	5	10
29	а не	3	10
30	в данном	2	10
31	и то	3	10
32	ничего не	3	10
33	если мы	2	9
34	в этой	7	9
35	едва ли	2	9
36	для себя	4	9
37	уже не	2	8
38	было бы	4	8
39	ясно что	2	8
40	по себе	5	8
41	как раз	4	8
42	все же	3	8
43	в конце	2	7
44	смысле слова	3	7
45	не является	9	7
46	все эти	4	7
47	не имеет	2	7
48	в его	14	7
49	так и	5	7
50	бы и	2	7
51	так как	7	7
52	тем самым	5	7
53	мы не	7	7
54	с другой	10	6
55	что все	4	6
56	можно сказать	5	6
57	ни в	4	6
58	мы и	3	6
59	о чем	2	6
60	настоящей работы	3	6
61	был бы	2	6
62	к сожалению	2	6
63	в то	7	6
64	на то	5	6
65	есть не	2	6
66	же самое	3	6
67	мы можем	6	6
68	в виде	2	6
69	но в	5	6
70	в области	3	6
71	в частности	2	5
72	представление о	2	5
73	в самом	7	5
74	данном случае	2	5
75	с этим	6	5
76	с одной	8	5
77	так же	16	5
78	и на	8	5
79	и более	5	5
80	между собой	5	5
81	и все	5	5
82	как и	14	5
83	связи с	3	5
84	указывает на	2	5
85	то же	8	5
86	как мы	5	5
87	одной стороны	9	5
88	другой стороны	9	5
89	можно было	3	5
90	с другими	2	5
91	в себе	6	5
92	и это	3	5
93	что если	2	4
94	в этих	2	4
95	в своем	3	4
96	в отношении	10	4
97	человеческой речи	8	4
98	как таковой	2	4
99	и как	5	4
100	есть прежде	2	4
101	в общем	3	4
102	и той	2	4
103	и следовательно	3	4
104	как бы	11	4
105	и тем	6	4
106	значение в	3	4
107	что она	4	4
108	все это	6	4
109	таким образом	26	4
110	заключается в	8	4
111	а в	2	4
112	в результате	4	4
113	их в	4	4
114	значение слова	5	4
115	значения слова	3	4
116	тем что	6	4
117	всех этих	2	4
118	если бы	5	4
119	представить себе	5	4
120	что он	7	4
121	на первый	2	4
122	но не	4	4
123	до сих	4	4
124	сих пор	4	4
125	если не	3	4
126	самом деле	3	4
127	то и	3	4
128	в каком	3	4
129	слова и	5	4
130	уже в	3	3
131	в нашем	2	3
132	тому что	5	3
133	или даже	2	3
134	и от	3	3
135	из этих	3	3
136	первый план	2	3
137	вопрос о	7	3
138	теории и	3	3
139	к тому	4	3
140	что они	3	3
141	нашего исследования	8	3
142	и должны	2	3
143	несмотря на	2	3
144	и если	3	3
145	которые мы	2	3
146	хотя и	2	3
147	один из	2	3
148	в целом	20	3
149	в их	3	3
150	для этого	5	3
151	при этом	4	3
152	лишь в	6	3
153	и наконец	2	3
154	что для	5	3
155	в своих	5	3
156	в основе	8	3
157	о котором	2	3
158	мы должны	5	3
159	могли бы	6	3
160	бы в	5	3
161	с тем	7	3
162	тогда когда	3	3
163	и к	4	3
164	только тогда	2	3
165	она не	3	3
166	всей этой	2	3
167	и речи	38	3
168	слова как	2	3
169	должны были	3	3
170	в значительной	2	3
171	с самого	8	3
172	в свете	4	3
173	для того	15	3
174	в слове	2	3
175	перед нами	5	2
176	самого начала	8	2
177	она должна	4	2
178	значении слова	2	2
179	мы могли	7	2
180	что может	5	2
181	бы что	2	2
182	не в	4	2
183	но все	2	2
184	независимо от	6	2
185	что с	2	2
186	а скорее	2	2
187	и мы	3	2
188	из которых	3	2
189	себе и	2	2
190	в зависимости	2	2
191	в состоянии	2	2
192	друг от	3	2
193	хотели бы	3	2
194	речь не	3	2
195	мышления и	40	2
196	что оно	3	2
197	даже в	2	2
198	между этими	6	2
199	как такового	2	2
200	должно быть	2	2
201	как на	4	2
202	и мышления	11	2
203	точки зрения	26	2
204	что звук	2	2
205	нас сейчас	2	2
206	сознания и	3	2
207	в поисках	2	2
208	для всех	4	2
209	думается что	5	2
210	в них	2	2
211	содержится в	2	2
212	в такой	3	2
213	и представить	2	2
214	об этом	3	2
215	учение о	3	2
216	и при	2	2
217	представляет собой	11	2
218	зависимости от	2	2
219	нашего сознания	3	2
220	в качестве	9	2
221	от друга	3	2
222	является для	2	2
223	он не	5	2
224	речь идет	2	2
225	во всех	3	2
226	к другу	2	2
227	все другие	2	2
228	вместе с	9	2
229	на него	2	2
230	мысли и	6	2
231	нами в	2	2
232	одной и	2	2
233	того чтобы	17	2
234	исследования в	4	2
235	той же	2	2
236	и ее	7	2
237	собой все	3	2
238	из этого	5	2
239	которые не	3	2
240	если это	2	2
241	и поэтому	2	2
242	значение как	2	2
