N	2gram	Voloshinov_1	OGranits
1	и в	38	13
2	и его	7	12
3	прежде всего	21	9
4	не может	12	8
5	и не	14	8
6	может быть	13	8
7	и их	5	7
8	и т.п	21	7
9	точки зрения	10	7
10	и пр	4	7
11	в его	6	7
12	таким образом	7	6
13	не только	27	6
14	социального общения	14	6
15	то что	8	6
16	только в	6	6
17	мы должны	10	6
18	как бы	28	6
19	все же	7	5
20	с точки	5	5
21	языка и	4	5
22	и эта	3	5
23	но ведь	6	5
24	в материале	2	5
25	хотя бы	18	5
26	и т.д	21	5
27	словесного материала	3	5
28	и наконец	5	5
29	в процессе	6	5
30	то же	14	4
31	не является	5	4
32	но мы	2	4
33	в своей	2	4
34	вопроса о	4	4
35	все это	4	4
36	еще и	2	4
37	социальной группы	3	4
38	лишь в	4	4
39	мы не	9	4
40	мы можем	7	4
41	слов и	7	4
42	было бы	7	4
43	в сознании	3	4
44	но в	5	4
45	и уже	3	3
46	никогда не	7	3
47	но и	13	3
48	так и	6	3
49	что же	8	3
50	вряд ли	3	3
51	и все	4	3
52	в одном	3	3
53	точку зрения	3	3
54	здесь мы	3	3
55	самом деле	4	3
56	в ее	3	3
57	да и	4	3
58	как и	10	3
59	не в	6	3
60	в которой	7	3
61	и то	3	3
62	членораздельной речи	2	3
63	одно и	4	3
64	ни один	2	3
65	в себе	9	3
66	с этим	2	3
67	и для	3	3
68	так как	7	3
69	но для	3	3
70	слово в	2	3
71	т.п и	2	3
72	подойти к	2	2
73	уже в	5	2
74	не сумеем	2	2
75	самого начала	4	2
76	и тем	6	2
77	в нем	4	2
78	в целом	4	2
79	который мы	2	2
80	связанных с	3	2
81	о языке	2	2
82	а не	6	2
83	в отношении	2	2
84	конечно мы	2	2
85	может стать	2	2
86	выбор и	2	2
87	в связи	2	2
88	а в	5	2
89	жизненной речи	2	2
90	речи не	2	2
91	все эти	2	2
92	вовсе не	2	2
93	те же	4	2
94	роль в	3	2
95	или иного	5	2
96	есть не	2	2
97	лишь путем	2	2
98	в тех	3	2
99	с самого	4	2
100	же слово	2	2
101	к тому	4	2
102	и к	4	2
103	как в	2	2
104	если бы	4	2
105	литературное произведение	2	2
106	интонацию и	4	2
107	в том	2	2
108	что иное	2	2
109	так же	4	2
110	не мог	3	2
111	том что	3	2
112	в зависимости	5	2
113	мы видим	3	2
114	с помощью	6	2
115	в своих	2	2
116	человеческой речи	3	2
117	зависимости от	5	2
118	жизненного высказывания	4	2
119	которое может	3	2
120	в этом	10	2
121	тем что	2	2
122	между тем	3	2
123	и следовательно	5	2
124	при этом	9	2
125	нуждается в	2	2
126	связанные с	2	2
127	и внутренняя	3	2
128	не что	4	2
129	для него	3	2
130	тот же	2	2
131	несмотря на	2	2
132	того или	5	2
133	мы уже	10	2
134	общения и	4	2
135	слова и	5	2
136	в области	5	2
137	нет ничего	2	2
138	в самом	4	2
139	и при	2	2
140	бы в	5	2
141	в ней	8	2
142	иное как	2	2
143	и является	5	2
