N	2gram	Medvedev_U_1	Psycholo
1	в том	2	37
2	и в	14	32
3	том что	2	21
4	то что	7	21
5	таким образом	2	21
6	в искусстве	6	21
7	может быть	6	18
8	что и	2	17
9	не может	7	17
10	что она	2	16
11	самом деле	2	16
12	что он	2	13
13	то же	5	13
14	в этом	7	13
15	художественной формы	2	12
16	по себе	2	12
17	в самом	2	12
18	не только	10	12
19	было бы	3	11
20	как и	3	10
21	но и	4	10
22	и не	8	10
23	что все	2	9
24	тем что	2	9
25	не в	2	8
26	а не	10	7
27	только в	2	7
28	в этой	4	6
29	в художественном	5	6
30	художественное произведение	5	6
31	формы и	2	6
32	же самое	2	6
33	если бы	2	6
34	художественного произведения	2	5
35	художественном произведении	2	5
36	до сих	2	5
37	сих пор	2	5
38	все это	5	5
39	как раз	2	5
40	этом отношении	2	5
41	в то	3	5
42	материал для	2	4
43	произведения искусства	3	4
44	все же	3	4
45	при таком	2	4
46	и для	2	4
47	и с	2	4
48	могут быть	2	4
49	ничего не	2	4
50	между тем	2	4
51	не могут	2	3
52	в частности	3	3
53	конечном счете	4	3
54	для этого	3	3
55	хотя бы	5	3
56	с другой	4	3
57	не как	3	3
58	формы в	3	3
59	в конце	2	3
60	как прием	2	3
61	материал не	2	3
62	по существу	2	3
63	к области	2	3
64	в своей	3	3
65	конце концов	2	3
66	бы и	2	3
67	в их	4	3
68	в конечном	4	3
69	и то	3	3
70	но в	3	3
71	мы не	2	3
72	это было	2	3
73	с его	2	2
74	искусства как	2	2
75	но даже	2	2
76	материала и	2	2
77	то ни	3	2
78	это не	3	2
79	сводится к	2	2
80	же время	3	2
81	но не	2	2
82	очевидно что	3	2
83	в его	2	2
84	бы то	3	2
85	другой стороны	3	2
86	что материал	2	2
87	этой области	3	2
88	и у	2	2
89	форму и	2	2
90	но это	2	2
91	мы получаем	2	2
92	в себе	2	2
93	и только	5	2
94	могли бы	2	2
95	эстетического объекта	6	2
