N	2gram	Voloshinov_1	Tvorches
1	и в	16	20
2	не только	7	13
3	никогда не	2	11
4	как бы	5	11
5	в его	4	10
6	таким образом	9	10
7	и его	8	9
8	и не	4	9
9	прежде всего	9	8
10	в том	3	8
11	при этом	6	8
12	но и	4	8
13	может быть	17	8
14	в этом	9	8
15	и с	8	8
16	что в	3	7
17	не может	8	7
18	то же	2	7
19	у него	2	6
20	что он	2	6
21	как и	2	6
22	в своей	2	6
23	так и	4	6
24	все это	4	6
25	в основном	3	6
26	но это	2	5
27	еще не	5	5
28	и даже	4	5
29	так же	2	5
30	и на	4	5
31	в этой	4	5
32	о том	2	5
33	в душе	2	4
34	мы не	2	4
35	том что	3	4
36	мы видим	2	4
37	отнюдь не	4	4
38	все эти	5	4
39	а в	3	4
40	в чем	5	4
41	и потому	3	4
42	но в	4	4
43	же как	2	3
44	с этой	2	3
45	к этому	2	3
46	с ним	2	3
47	но зато	2	3
48	быть может	2	3
49	для него	6	3
50	что не	2	3
51	в самом	2	3
52	и мы	2	3
53	в область	2	3
54	он не	2	3
55	и др	3	3
56	один из	2	3
57	в нем	4	3
58	то что	3	3
59	и это	6	3
60	вместе с	3	3
61	сих пор	3	3
62	и через	2	3
63	так как	4	3
64	в начале	2	3
65	его в	4	3
66	до сих	3	3
67	не менее	2	2
68	и есть	3	2
69	современной ему	2	2
70	по крайней	3	2
71	в одном	3	2
72	и лишь	2	2
73	в этот	2	2
74	во всяком	3	2
75	и ее	4	2
76	что на	2	2
77	крайней мере	3	2
78	в частности	2	2
79	всяком случае	3	2
80	нет и	2	2
81	только для	5	2
82	и других	2	2
83	сводится к	2	2
84	самом деле	6	2
85	и наконец	4	2
86	и по	2	2
87	с другими	3	2
88	на ранних	2	2
89	с ними	4	2
90	в основе	3	2
91	могут быть	3	2
92	говорить о	2	2
93	и вообще	2	2
94	и только	9	2
95	только в	4	2
96	но ведь	2	2
97	их в	3	2
98	едва ли	3	2
