N	2gram	Nazirov_Tv_1	Problema
1	и в	21	30
2	в своей	4	22
3	то есть	12	21
4	то что	8	18
5	не только	7	18
6	том что	11	17
7	в этом	6	17
8	и даже	3	14
9	но и	3	13
10	таким образом	5	13
11	людей и	2	13
12	потому что	5	13
13	в том	7	12
14	в его	13	12
15	и не	7	12
16	о том	6	12
17	в своем	4	11
18	у него	7	11
19	так что	2	11
20	в виде	3	10
21	в этой	5	10
22	на земле	3	9
23	все же	5	9
24	который в	3	9
25	сказать что	2	9
26	но в	7	9
27	только в	5	9
28	и все	6	9
29	вовсе не	5	8
30	хотя и	3	8
31	никогда не	3	7
32	что он	6	7
33	как и	12	7
34	в дальнейшем	3	7
35	но не	3	7
36	может быть	5	7
37	вместе с	2	7
38	так и	2	7
39	говорит о	3	7
40	мы находим	2	7
41	не в	2	7
42	с другой	3	6
43	прежде всего	4	6
44	можно сказать	2	6
45	уже не	3	6
46	и как	4	6
47	как бы	17	6
48	в нем	3	6
49	что и	2	6
50	а в	6	6
51	и его	6	6
52	и на	7	6
53	при помощи	2	6
54	так как	3	6
55	не менее	6	5
56	что в	12	5
57	в которой	3	5
58	тем не	2	5
59	людей в	2	5
60	так же	3	5
61	в самом	3	5
62	еще в	2	5
63	не может	4	5
64	в году	7	5
65	а не	5	5
66	и у	2	5
67	и притом	2	5
68	но он	2	5
69	и с	3	5
70	в частности	2	4
71	отнюдь не	5	4
72	жизни в	6	4
73	по крайней	2	4
74	человека и	4	4
75	об этом	2	4
76	при этом	7	4
77	того же	2	4
78	в качестве	2	4
79	не так	3	4
80	крайней мере	2	4
81	гораздо более	2	4
82	свободы и	2	4
83	не мог	2	4
84	и он	2	4
85	или в	2	4
86	в себе	2	4
87	в то	15	4
88	далеко не	3	4
89	он видит	3	3
90	он сам	6	3
91	на краю	2	3
92	именно в	2	3
93	и другие	3	3
94	однако в	2	3
95	страдания и	2	3
96	еще более	2	3
97	точно так	2	3
98	в духе	2	3
99	о котором	2	3
100	но только	2	3
101	что его	2	3
102	тот же	2	3
103	как будто	5	3
104	он не	8	3
105	в русской	5	3
106	и тем	2	3
107	русской литературе	4	3
108	на первом	2	3
109	того что	3	3
110	в ней	2	3
111	настоящее время	2	3
112	первом плане	2	3
113	с ним	3	3
114	в виду	2	3
115	мира в	2	3
116	я не	3	2
117	верит в	2	2
118	это уже	5	2
119	хотя бы	5	2
120	как в	8	2
121	это не	4	2
122	уже в	3	2
123	за то	2	2
124	один из	4	2
125	представление о	3	2
126	к этому	2	2
127	к тому	2	2
128	то же	13	2
129	из всех	4	2
130	не будет	2	2
131	в глаза	2	2
132	в свою	7	2
133	в нашей	2	2
134	со всеми	3	2
135	жизни и	3	2
136	в данном	2	2
137	что не	2	2
138	на его	3	2
139	вслед за	2	2
140	преступления и	5	2
141	в котором	6	2
142	из них	2	2
143	в первой	2	2
144	когда он	2	2
145	ее в	3	2
146	данном случае	2	2
147	по мнению	3	2
148	самом деле	2	2
149	он говорит	3	2
150	свидетельствует о	2	2
151	и добра	2	2
152	больше чем	2	2
153	в одной	2	2
154	это время	2	2
155	дело в	3	2
156	ли в	2	2
157	в чем	2	2
158	в мир	2	2
159	человека но	3	2
160	не то	2	2
