N	2gram	Propp_Russ_2	UchenyiS
1	и в	29	14
2	а не	4	10
3	не только	10	10
4	прежде всего	2	8
5	то что	5	7
6	в этом	11	7
7	не может	5	7
8	может быть	13	6
9	все это	10	5
10	то же	4	5
11	но и	8	4
12	в этой	3	4
13	в их	2	4
14	с другой	2	4
15	но в	5	3
16	как и	11	3
17	и то	2	3
18	все же	2	3
19	в своей	2	3
20	очевидно что	2	3
21	для этого	5	3
22	это не	5	3
23	вряд ли	2	3
24	в то	2	3
25	было бы	3	3
26	у нас	4	3
27	том что	22	2
28	но не	5	2
29	в том	22	2
30	не все	4	2
31	по существу	4	2
32	мы не	6	2
33	не в	4	2
34	и для	2	2
35	должна была	5	2
36	не столько	2	2
37	о чем	4	2
38	и с	10	2
39	тем что	3	2
40	могут быть	2	2
41	на эту	2	2
42	и через	3	2
43	в некоторых	9	2
44	одним из	2	2
45	что она	3	2
46	что и	2	2
47	между тем	3	2
48	на первый	3	2
49	таким образом	6	2
