N	2gram	Berdyaev_V_1	VeschiIm
1	не есть	6	49
2	не только	2	31
3	и не	20	28
4	и в	16	26
5	то что	9	24
6	и есть	4	23
7	и т	2	21
8	т д	2	20
9	а не	7	20
10	что я	3	16
11	только в	2	14
12	и что	3	13
13	того что	5	13
14	но и	5	12
15	в себя	2	12
16	и то	2	12
17	уже не	2	10
18	в ней	4	10
19	как бы	5	10
20	потому что	4	10
21	что мы	4	10
22	в том	3	9
23	прежде всего	2	9
24	что не	4	9
25	но это	3	8
26	и это	2	8
27	говорить о	4	7
28	так как	9	7
29	том что	2	7
30	не будет	2	7
31	в этом	4	7
32	что они	7	6
33	что в	3	6
34	для него	2	6
35	жизни и	3	6
36	должно быть	3	6
37	но в	3	6
38	бы и	3	6
39	с ним	2	6
40	можно было	2	6
41	должна быть	3	5
42	это не	2	5
43	не в	3	5
44	еще не	8	5
45	а есть	2	5
46	а в	2	5
47	с тем	2	5
48	одна из	2	5
49	но не	2	5
50	и для	3	5
51	на себя	5	5
52	в чем	3	5
53	и мы	3	4
54	когда я	2	4
55	что есть	5	4
56	и все	4	4
57	то это	3	4
58	как и	4	4
59	во всех	3	4
60	и потому	7	4
61	нет и	2	4
62	оно не	3	4
63	что и	3	4
64	мы не	2	4
65	тем что	2	4
66	о смысле	4	4
67	никогда не	3	3
68	к тому	3	3
69	и сам	2	3
70	в нем	4	3
71	все это	5	3
72	их в	3	3
73	раз навсегда	2	3
74	в жизни	3	3
75	один из	2	3
76	что он	4	3
77	тот же	3	3
78	в своей	3	3
79	так и	4	3
80	да и	2	3
81	и тогда	2	3
82	а с	2	3
83	того чтобы	2	3
84	хотя бы	3	3
85	его и	2	2
86	тому что	3	2
87	человека и	6	2
88	есть уже	2	2
89	ни в	3	2
90	самого себя	2	2
91	к личности	4	2
92	личность как	2	2
93	является в	2	2
94	от этого	3	2
95	на нас	2	2
96	превращается в	3	2
97	и во	2	2
98	не с	2	2
99	зачем же	2	2
100	нем нет	2	2
101	если не	3	2
102	все равно	2	2
103	и они	3	2
104	к чему	3	2
105	во всяком	2	2
106	это все	2	2
