N	2gram	Medvedev_S_1	Analitik
1	в этом	5	18
2	в частности	2	16
3	и в	3	16
4	не только	3	16
5	в том	5	12
6	но и	2	12
7	том что	2	12
8	как бы	2	10
9	то что	2	7
10	может быть	2	6
11	в конце	2	4
12	не в	3	4
13	за пределы	2	4
14	отношению к	2	4
15	все это	7	4
16	по отношению	2	4
17	то же	2	4
18	только в	2	4
19	было бы	2	3
20	в результате	2	3
21	как будто	2	3
22	или даже	2	2
23	по существу	2	2
24	ведь это	2	2
25	что в	2	2
26	еще не	2	2
27	дело не	2	2
28	таким образом	2	2
29	по природе	2	2
30	в его	3	2
